series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	educationLevel_code	educationLevel_desc	years	min_year	max_year	n_years
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	1	World	1			Region						ISCED11_2	Lower secondary	[2015, 2016, 2017]	2015	2017	3
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	1	World	1			Region						ISCED11_1	Primary	[2015, 2016, 2017]	2015	2017	3
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	1	World	1			Region						ISCED11_3	Upper secondary	[2015, 2016, 2017]	2015	2017	3
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	ISCED11_1	Primary	[2016, 2017]	2016	2017	2
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	ISCED11_2	Lower secondary	[2017]	2017	2017	1
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	ISCED11_3	Upper secondary	[2017]	2017	2017	1
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	ISCED11_1	Primary	[2016, 2017]	2016	2017	2
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	ISCED11_3	Upper secondary	[2016, 2017]	2016	2017	2
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	ISCED11_2	Lower secondary	[2016, 2017]	2016	2017	2
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	ISCED11_2	Lower secondary	[2016, 2017]	2016	2017	2
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	ISCED11_1	Primary	[2016, 2017]	2016	2017	2
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	ISCED11_3	Upper secondary	[2016, 2017]	2016	2017	2
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	ISCED11_1	Primary	[2016, 2017]	2016	2017	2
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	127	Southern Asia (excluding India)	1			Group						ISCED11_3	Upper secondary	[2016, 2017]	2016	2017	2
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	127	Southern Asia (excluding India)	1			Group						ISCED11_1	Primary	[2016, 2017]	2016	2017	2
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1	ISCED11_2	Lower secondary	[2016, 2017]	2016	2017	2
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1	ISCED11_3	Upper secondary	[2016, 2017]	2016	2017	2
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1	ISCED11_1	Primary	[2016, 2017]	2016	2017	2
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	136	Cayman Islands	5	29	Caribbean	Country	-81.16740559	19.32266656	CYM	0	1	ISCED11_2	Lower secondary	[2018]	2018	2018	1
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	136	Cayman Islands	5	29	Caribbean	Country	-81.16740559	19.32266656	CYM	0	1	ISCED11_1	Primary	[2018]	2018	2018	1
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	136	Cayman Islands	5	29	Caribbean	Country	-81.16740559	19.32266656	CYM	0	1	ISCED11_3	Upper secondary	[2018]	2018	2018	1
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	140	Central African Republic	5	17	Middle Africa	Country	20.93559492	7.003720791	CAF	1	1	ISCED11_1	Primary	[2016]	2016	2016	1
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	144	Sri Lanka	4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1	ISCED11_1	Primary	[2016, 2017]	2016	2017	2
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	144	Sri Lanka	4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1	ISCED11_2	Lower secondary	[2016, 2017]	2016	2017	2
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	144	Sri Lanka	4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1	ISCED11_3	Upper secondary	[2016, 2017]	2016	2017	2
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	145	Western Asia	3	142	Asia	Region						ISCED11_3	Upper secondary	[2015, 2016, 2017]	2015	2017	3
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	145	Western Asia	3	142	Asia	Region						ISCED11_2	Lower secondary	[2016, 2017]	2016	2017	2
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	15	Northern Africa	3	2	Africa	Region						ISCED11_3	Upper secondary	[2015, 2016, 2017]	2015	2017	3
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	150	Europe	2	1	World	Region						ISCED11_1	Primary	[2000, 2001, 2002]	2000	2002	3
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	150	Europe	2	1	World	Region						ISCED11_2	Lower secondary	[2000, 2001, 2002, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2013, 2014, 2016, 2017]	2000	2017	15
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	150	Europe	2	1	World	Region						ISCED11_3	Upper secondary	[2003, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2003	2017	13
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	156	China	4	30	Eastern Asia	Country	104.1403375	32.30955217	CHN	1	1	ISCED11_2	Lower secondary	[2016, 2017]	2016	2017	2
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	156	China	4	30	Eastern Asia	Country	104.1403375	32.30955217	CHN	1	1	ISCED11_1	Primary	[2016, 2017]	2016	2017	2
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	156	China	4	30	Eastern Asia	Country	104.1403375	32.30955217	CHN	1	1	ISCED11_3	Upper secondary	[2017]	2017	2017	1
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	184	Cook Islands	4	61	Polynesia	Country	-159.7711391	-21.22696458	COK	0	1	ISCED11_2	Lower secondary	[2016]	2016	2016	1
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	184	Cook Islands	4	61	Polynesia	Country	-159.7711391	-21.22696458	COK	0	1	ISCED11_1	Primary	[2016]	2016	2016	1
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	184	Cook Islands	4	61	Polynesia	Country	-159.7711391	-21.22696458	COK	0	1	ISCED11_3	Upper secondary	[2016]	2016	2016	1
