series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	quantile_code	quantile_desc	years	min_year	max_year	n_years
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	1	World	1			Region						Q1	Quintile 1 (poorest)	[2016]	2016	2016	1
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	1	World	1			Region						_T	Total (national average) or no breakdown	[2016]	2016	2016	1
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	Q1	Quintile 1 (poorest)	[2007]	2007	2007	1
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	_T	Total (national average) or no breakdown	[2007]	2007	2007	1
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	11	Western Africa	4	202	Sub-Saharan Africa	Region						Q1	Quintile 1 (poorest)	[2016]	2016	2016	1
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	11	Western Africa	4	202	Sub-Saharan Africa	Region						_T	Total (national average) or no breakdown	[2016]	2016	2016	1
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	Q1	Quintile 1 (poorest)	[2008, 2009, 2010, 2012, 2013, 2015, 2016]	2008	2016	7
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	_T	Total (national average) or no breakdown	[2008, 2009, 2010, 2012, 2013, 2015, 2016]	2008	2016	7
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	_T	Total (national average) or no breakdown	[2007, 2014]	2007	2014	2
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	Q1	Quintile 1 (poorest)	[2007, 2014]	2007	2014	2
