series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	sex_code	sex_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2003	value_2004	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2015	value_2016	value_2017	value_2019	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
SI_COV_WKINJRY	[ILO] Proportion of employed population covered in the event of work injury, by sex (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	_T	Both sexes	[2019]	2019	2019	1	PT	Percentage	G	Global													86.8	86.8				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_WKINJRY	[ILO] Proportion of employed population covered in the event of work injury, by sex (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	_T	Both sexes	[2015]	2015	2015	1	PT	Percentage	G	Global										2.9				2.9				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_WKINJRY	[ILO] Proportion of employed population covered in the event of work injury, by sex (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	_T	Both sexes	[2010]	2010	2010	1	PT	Percentage	G	Global							3.5							3.5				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_WKINJRY	[ILO] Proportion of employed population covered in the event of work injury, by sex (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	_T	Both sexes	[2019]	2019	2019	1	PT	Percentage	G	Global													70.9	70.9				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_WKINJRY	[ILO] Proportion of employed population covered in the event of work injury, by sex (%)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1	_T	Both sexes	[2019]	2019	2019	1	PT	Percentage	G	Global													53.8	53.8				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_WKINJRY	[ILO] Proportion of employed population covered in the event of work injury, by sex (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	_T	Both sexes	[2015]	2015	2015	1	PT	Percentage	G	Global										7.9				7.9				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_WKINJRY	[ILO] Proportion of employed population covered in the event of work injury, by sex (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1	_T	Both sexes	[2019]	2019	2019	1	PT	Percentage	G	Global													69.1	69.1				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_WKINJRY	[ILO] Proportion of employed population covered in the event of work injury, by sex (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1	_T	Both sexes	[2019]	2019	2019	1	PT	Percentage	G	Global													56.6	56.6				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_WKINJRY	[ILO] Proportion of employed population covered in the event of work injury, by sex (%)	140	Central African Republic	5	17	Middle Africa	Country	20.93559492	7.003720791	CAF	1	1	_T	Both sexes	[2019]	2019	2019	1	PT	Percentage	G	Global													13.9	13.9				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_WKINJRY	[ILO] Proportion of employed population covered in the event of work injury, by sex (%)	144	Sri Lanka	4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1	_T	Both sexes	[2017]	2017	2017	1	PT	Percentage	G	Global												80.0		80.0				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_WKINJRY	[ILO] Proportion of employed population covered in the event of work injury, by sex (%)	148	Chad	5	17	Middle Africa	Country	18.66618401	15.36279341	TCD	1	1	_T	Both sexes	[2019]	2019	2019	1	PT	Percentage	G	Global													4.7	4.7				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_WKINJRY	[ILO] Proportion of employed population covered in the event of work injury, by sex (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1	_T	Both sexes	[2019]	2019	2019	1	PT	Percentage	G	Global													76.0	76.0				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_WKINJRY	[ILO] Proportion of employed population covered in the event of work injury, by sex (%)	156	China	4	30	Eastern Asia	Country	104.1403375	32.30955217	CHN	1	1	_T	Both sexes	[2017]	2017	2017	1	PT	Percentage	G	Global												28.2		28.2				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_WKINJRY	[ILO] Proportion of employed population covered in the event of work injury, by sex (%)	170	Colombia	5	5	South America	Country	-73.07446751	3.888209046	COL	1	1	_T	Both sexes	[2015, 2019]	2015	2019	2	PT	Percentage	G	Global										39.6			45.2	45.2				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_WKINJRY	[ILO] Proportion of employed population covered in the event of work injury, by sex (%)	178	Congo	5	11	Western Africa	Country	15.22052612	-0.840544119	COG	1	1	_T	Both sexes	[2012, 2019]	2012	2019	2	PT	Percentage	G	Global									3.9				14.2	14.2				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_WKINJRY	[ILO] Proportion of employed population covered in the event of work injury, by sex (%)	180	Democratic Republic of the Congo	5	17	Middle Africa	Country	23.65496507	-2.877154732	COD	1	1	_T	Both sexes	[2019]	2019	2019	1	PT	Percentage	G	Global													26.2	26.2				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_WKINJRY	[ILO] Proportion of employed population covered in the event of work injury, by sex (%)	188	Costa Rica	5	13	Central America	Country	-84.19712782	9.970998683	CRI	1	1	_T	Both sexes	[2019]	2019	2019	1	PT	Percentage	G	Global													68.1	68.1				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_WKINJRY	[ILO] Proportion of employed population covered in the event of work injury, by sex (%)	191	Croatia	4	39	Southern Europe	Country	17.95874553	45.45172212	HRV	1	1	_T	Both sexes	[2011]	2011	2011	1	PT	Percentage	G	Global								68.0						68.0				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_WKINJRY	[ILO] Proportion of employed population covered in the event of work injury, by sex (%)	192	Cuba	5	29	Caribbean	Country	-79.54460144	22.10030366	CUB	1	1	_T	Both sexes	[2019]	2019	2019	1	PT	Percentage	G	Global													94.4	94.4				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_WKINJRY	[ILO] Proportion of employed population covered in the event of work injury, by sex (%)	196	Cyprus	4	145	Western Asia	Country	33.22285964	35.05659437	CYP	1	1	_T	Both sexes	[2007]	2007	2007	1	PT	Percentage	G	Global				68.2										68.2				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_WKINJRY	[ILO] Proportion of employed population covered in the event of work injury, by sex (%)	203	Czechia	4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1	_T	Both sexes	[2019]	2019	2019	1	PT	Percentage	G	Global													66.2	66.2				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_WKINJRY	[ILO] Proportion of employed population covered in the event of work injury, by sex (%)	204	Benin	5	11	Western Africa	Country	2.339933594	9.65401646	BEN	1	1	_T	Both sexes	[2006]	2006	2006	1	PT	Percentage	G	Global			4.0											4.0				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_WKINJRY	[ILO] Proportion of employed population covered in the event of work injury, by sex (%)	208	Denmark	4	154	Northern Europe	Country	9.326571283	56.03829721	DNK	1	1	_T	Both sexes	[2019]	2019	2019	1	PT	Percentage	G	Global													88.0	88.0				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_WKINJRY	[ILO] Proportion of employed population covered in the event of work injury, by sex (%)	214	Dominican Republic	5	29	Caribbean	Country	-70.49847576	18.89832088	DOM	1	1	_T	Both sexes	[2015]	2015	2015	1	PT	Percentage	G	Global										39.2				39.2				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_WKINJRY	[ILO] Proportion of employed population covered in the event of work injury, by sex (%)	218	Ecuador	5	5	South America	Country	-78.37005241	-1.447785891	ECU	1	1	_T	Both sexes	[2019]	2019	2019	1	PT	Percentage	G	Global													49.0	49.0				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_WKINJRY	[ILO] Proportion of employed population covered in the event of work injury, by sex (%)	222	El Salvador	5	13	Central America	Country	-88.86862995	13.73603564	SLV	1	1	_T	Both sexes	[2015, 2019]	2015	2019	2	PT	Percentage	G	Global										26.8			31.7	31.7				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_WKINJRY	[ILO] Proportion of employed population covered in the event of work injury, by sex (%)	226	Equatorial Guinea	5	17	Middle Africa	Country	10.46535826	1.565792376	GNQ	1	1	_T	Both sexes	[2019]	2019	2019	1	PT	Percentage	G	Global													14.5	14.5				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_WKINJRY	[ILO] Proportion of employed population covered in the event of work injury, by sex (%)	231	Ethiopia	5	14	Eastern Africa	Country	39.63505296	8.631223181	ETH	1	1	_T	Both sexes	[2019]	2019	2019	1	PT	Percentage	G	Global													0.7	0.7				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_WKINJRY	[ILO] Proportion of employed population covered in the event of work injury, by sex (%)	233	Estonia	4	154	Northern Europe	Country	25.84093481	58.68487172	EST	1	1	_T	Both sexes	[2019]	2019	2019	1	PT	Percentage	G	Global													76.8	76.8				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
