series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
SH_ACS_MCV2	Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) (%)	1	World	1			Region						[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	18.0	19.0	20.0	21.0	22.0	33.0	35.0	36.0	38.0	41.0	42.0	48.0	51.0	56.0	59.0	63.0	67.0	68.0	69.0	69.0				WHO/UNICEF coverage estimates 2018 revision, July 2019		E: Estimated data
SH_ACS_MCV2	Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	83.0	85.0	79.0	89.0	91.0	92.0	93.0	94.0	94.0	93.0	96.0	94.0	94.0	94.0	89.0	87.0	88.0	92.0	87.0	87.0				WHO/UNICEF coverage estimates 2018 revision, July 2019		E: Estimated data
SH_ACS_MCV2	Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	[2008, 2009, 2010, 2011, 2013, 2014, 2015, 2016, 2017, 2018]	2008	2018	10	PT	Percentage	G	Global									57.0	65.0	75.0	80.0		80.0	82.0	78.0	86.0	80.0	87.0	87.0				WHO/UNICEF coverage estimates 2018 revision, July 2019		E: Estimated data
SH_ACS_MCV2	Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	[2013, 2014, 2015, 2016, 2017, 2018]	2013	2018	6	PT	Percentage	G	Global														51.0	60.0	65.0	72.0	75.0	77.0	77.0				WHO/UNICEF coverage estimates 2018 revision, July 2019		E: Estimated data
SH_ACS_MCV2	Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) (%)	11	Western Africa	4	202	Sub-Saharan Africa	Region						[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	7.0	12.0	15.0	16.0	17.0	17.0				WHO/UNICEF coverage estimates 2018 revision, July 2019		E: Estimated data
SH_ACS_MCV2	Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	92.0	97.0	98.0	98.0	98.0	98.0	95.0	99.0	99.0	99.0	99.0	99.0	97.0	99.0	98.0	99.0	98.0	98.0	98.0	98.0				WHO/UNICEF coverage estimates 2018 revision, July 2019		E: Estimated data
SH_ACS_MCV2	Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	[2012, 2013, 2014, 2015, 2016, 2017, 2018]	2012	2018	7	PT	Percentage	G	Global													41.0	52.0	62.0	61.0	67.0	72.0	70.0	70.0				WHO/UNICEF coverage estimates 2018 revision, July 2019		E: Estimated data
SH_ACS_MCV2	Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) (%)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	78.0	73.0	93.0	96.0	94.0	94.0	98.0	95.0	96.0	98.0	95.0	96.0	95.0	93.0	99.0	99.0	96.0	92.0	77.0	77.0				WHO/UNICEF coverage estimates 2018 revision, July 2019		E: Estimated data
SH_ACS_MCV2	Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1	[2012, 2013, 2014, 2015, 2016, 2017, 2018]	2012	2018	7	PT	Percentage	G	Global													83.0	86.0	86.0	86.0	86.0	87.0	87.0	87.0				WHO/UNICEF coverage estimates 2018 revision, July 2019		E: Estimated data
SH_ACS_MCV2	Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) (%)	13	Central America	4	419	Latin America and the Caribbean	Region						[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	69.0	70.0	63.0	71.0	72.0	72.0	68.0	64.0	72.0	70.0	69.0	74.0	71.0	59.0	73.0	74.0	83.0	64.0	95.0	95.0				WHO/UNICEF coverage estimates 2018 revision, July 2019		E: Estimated data
