series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	lowerbound_2000	upperbound_2000	value_2001	lowerbound_2001	upperbound_2001	value_2002	lowerbound_2002	upperbound_2002	value_2003	lowerbound_2003	upperbound_2003	value_2004	lowerbound_2004	upperbound_2004	value_2005	lowerbound_2005	upperbound_2005	value_2006	lowerbound_2006	upperbound_2006	value_2007	lowerbound_2007	upperbound_2007	value_2008	lowerbound_2008	upperbound_2008	value_2009	lowerbound_2009	upperbound_2009	value_2010	lowerbound_2010	upperbound_2010	value_2011	lowerbound_2011	upperbound_2011	value_2012	lowerbound_2012	upperbound_2012	value_2013	lowerbound_2013	upperbound_2013	value_2014	lowerbound_2014	upperbound_2014	value_2015	lowerbound_2015	upperbound_2015	value_2016	lowerbound_2016	upperbound_2016	value_2017	lowerbound_2017	upperbound_2017	value_2018	lowerbound_2018	upperbound_2018	value_2019	lowerbound_2019	upperbound_2019	latest_value	basePeriod	valueDetails	lowerBoundDetails	upperBoundDetails	footnotes	sources	timeDetails	nature
ER_PTD_FRWRT	Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)	1	World	1			Region						[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]	2000	2019	20	PT	Percentage	G	Global	28.70833	28.56812	28.84892	29.79595	29.65089	29.92979	30.60384	30.48327	30.74344	31.28956	31.16584	31.41253	34.15294	34.03645	34.2781	35.034	34.92646	35.14827	35.63584	35.55101	35.7534	37.01606	36.92188	37.13492	37.574	37.47666	37.68026	38.09423	37.99218	38.17602	38.40522	38.30928	38.48973	38.78222	38.69572	38.86313	39.56311	39.47481	39.63314	40.00078	39.91638	40.04712	40.21677	40.13429	40.26696	40.33018	40.26299	40.37756	40.39078	40.32457	40.43665	40.56876	40.50544	40.60106	40.80191	40.80191	40.80191	40.80193	40.80193	40.80193	40.80193						BirdLife International, IUCN and UNEP-WCMC (2019). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)		C: Country data
ER_PTD_FRWRT	Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]	2000	2019	20	PT	Percentage	G	Global	14.82016	52.11639	52.11639	19.6803	52.11639	52.11639	26.74086	52.11639	52.11639	26.74086	52.11639	52.11639	26.74086	52.11639	52.11639	26.7412	52.11639	52.11639	27.02512	52.11639	52.11639	91.4844	52.11639	52.11639	91.4844	52.11639	52.11639	91.4844	52.11639	52.11639	91.4844	52.11639	52.11639	91.4844	52.11639	52.11639	91.4844	52.11639	52.11639	91.4844	52.11639	52.11639	91.4844	52.11649	52.11649	91.4844	52.11649	52.11649	91.4844	52.11649	52.11649	91.4844	52.11649	52.11649	91.4844	52.11649	52.11649	91.4844	52.11649	52.11649	91.4844						BirdLife International, IUCN and UNEP-WCMC (2019). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)		C: Country data
ER_PTD_FRWRT	Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]	2000	2019	20	PT	Percentage	G	Global	14.20987	30.68791	30.68791	14.20987	30.68791	30.68791	14.20987	30.68791	30.68791	17.18809	30.69085	30.69085	26.87701	33.21089	33.21089	26.87701	33.21089	33.21089	26.87701	33.21089	33.21089	26.87701	33.21089	33.21089	26.87701	33.21089	33.21089	26.87701	33.21089	33.21089	27.05875	35.3026	35.3026	27.05875	35.56551	35.56551	27.05875	35.62477	35.62477	27.05875	35.62477	35.62477	27.05875	35.62477	35.62477	27.05875	35.62477	35.62477	27.05875	35.62477	35.62477	27.05875	38.6413	38.6413	27.05875	38.6413	38.6413	27.05875	38.6413	38.6413	27.05875						BirdLife International, IUCN and UNEP-WCMC (2019). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)		C: Country data
ER_PTD_FRWRT	Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]	2000	2019	20	PT	Percentage	G	Global	69.08096	50.0	50.0	69.08096	50.0	50.0	69.08096	50.0	50.0	69.08096	50.0	50.0	69.08096	50.0	50.0	69.08096	50.0	50.0	69.08096	50.0	50.0	69.08096	50.0	50.0	69.08096	50.0	50.0	69.08096	50.0	50.0	69.08096	50.0	50.0	69.08096	50.0	50.0	69.08096	50.0	50.0	69.08096	50.0	50.0	69.08096	50.0	50.0	69.08096	50.0	50.0	69.08096	50.0	50.0	69.08096	50.0	50.0	69.08096	50.0	50.0	69.08096	50.0	50.0	69.08096						BirdLife International, IUCN and UNEP-WCMC (2019). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)		C: Country data
ER_PTD_FRWRT	Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]	2000	2019	20	PT	Percentage	G	Global	35.44487	5.4975	5.4975	38.78579	5.4975	5.4975	39.26551	5.4975	5.4975	39.26551	14.14627	14.14627	39.26551	14.14627	14.14627	40.98712	14.52673	14.52673	40.98712	14.52673	14.52673	40.98712	14.52673	14.52673	40.98712	14.52673	14.52673	40.98712	14.52673	14.52673	40.98712	14.52673	14.52673	40.98712	14.52673	14.52673	44.27593	14.52673	14.52673	46.31209	14.52673	14.52673	52.61825	14.52673	14.52673	53.30894	14.52673	14.52673	53.30894	14.52673	14.52673	53.30894	14.52673	14.52673	53.30894	14.52673	14.52673	53.30894	14.52673	14.52673	53.30894						BirdLife International, IUCN and UNEP-WCMC (2019). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)		C: Country data
ER_PTD_FRWRT	Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]	2000	2019	20	PT	Percentage	G	Global	28.43355	14.82016	14.82016	28.43355	19.6803	19.6803	28.43355	26.74086	26.74086	28.43355	26.74086	26.74086	30.96578	26.74086	26.74086	30.96578	26.7412	26.7412	30.96578	27.02512	27.02512	32.71293	91.4844	91.4844	32.71293	91.4844	91.4844	32.98061	91.4844	91.4844	32.98061	91.4844	91.4844	32.98061	91.4844	91.4844	32.98061	91.4844	91.4844	32.98061	91.4844	91.4844	32.98061	91.4844	91.4844	32.98375	91.4844	91.4844	32.98375	91.4844	91.4844	32.98375	91.4844	91.4844	32.98375	91.4844	91.4844	32.98375	91.4844	91.4844	32.98375						BirdLife International, IUCN and UNEP-WCMC (2019). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)		C: Country data
ER_PTD_FRWRT	Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]	2000	2019	20	PT	Percentage	G	Global	18.75	21.36192	21.37966	18.75	21.79231	21.81005	18.75	21.79231	21.81005	18.75	22.12711	22.14485	18.75	22.39756	22.4153	18.75	22.39756	22.4153	18.75	22.39756	22.4153	18.75	22.40219	22.41964	18.75	22.64756	22.66471	18.75	22.9301	22.9404	18.75	23.00266	23.01261	18.75	23.00266	23.01261	18.75	24.42124	24.43118	18.75	24.66659	24.66659	18.75	24.79862	24.79862	18.75	24.79862	24.79862	18.75	24.81071	24.81071	18.75	24.81071	24.81071	18.75	24.81071	24.81071	18.75	24.81071	24.81071	18.75						BirdLife International, IUCN and UNEP-WCMC (2019). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)		C: Country data
ER_PTD_FRWRT	Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]	2000	2019	20	PT	Percentage	G	Global	11.69479	50.1815	50.1815	17.83946	50.1815	50.1815	17.83946	50.1815	50.1815	17.83946	50.1815	50.1815	17.83946	50.1815	50.1815	17.83946	50.1815	50.1815	17.83946	50.1815	50.1815	20.20201	50.1815	50.1815	20.20201	50.1815	50.1815	28.05311	50.1815	50.1815	28.05311	50.1815	50.1815	28.05311	50.1815	50.1815	41.26916	50.1815	50.1815	41.27076	50.1815	50.1815	41.27076	50.1815	50.1815	41.27076	50.1815	50.1815	41.27076	50.1815	50.1815	41.27076	50.1815	50.1815	41.27076	50.1815	50.1815	41.27076	50.1815	50.1815	41.27076						BirdLife International, IUCN and UNEP-WCMC (2019). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)		C: Country data
ER_PTD_FRWRT	Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]	2000	2019	20	PT	Percentage	G	Global	15.06702	69.08096	69.08096	15.68486	69.08096	69.08096	16.12087	69.08096	69.08096	16.87581	69.08096	69.08096	17.00904	69.08096	69.08096	19.56747	69.08096	69.08096	19.74856	69.08096	69.08096	19.83096	69.08096	69.08096	19.98407	69.08096	69.08096	20.02035	69.08096	69.08096	20.02035	69.08096	69.08096	20.20729	69.08096	69.08096	20.85049	69.08096	69.08096	20.85049	69.08096	69.08096	20.8961	69.08096	69.08096	20.90347	69.08096	69.08096	21.11049	69.08096	69.08096	21.11049	69.08096	69.08096	21.11049	69.08096	69.08096	21.11049	69.08096	69.08096	21.11049						BirdLife International, IUCN and UNEP-WCMC (2019). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)		C: Country data
ER_PTD_FRWRT	Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)	136	Cayman Islands	5	29	Caribbean	Country	-81.16740559	19.32266656	CYM	0	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]	2000	2019	20	PT	Percentage	G	Global	99.78782	28.43355	28.43355	99.78782	28.43355	28.43355	99.78782	28.43355	28.43355	99.78782	28.43355	28.43355	99.78782	30.96578	30.96578	99.78782	30.96578	30.96578	99.78782	30.96578	30.96578	99.78782	32.71293	32.71293	99.78782	32.71293	32.71293	99.78782	32.98061	32.98061	99.78782	32.98061	32.98061	99.78782	32.98061	32.98061	99.78782	32.98061	32.98061	99.78782	32.98061	32.98061	99.78782	32.98061	32.98061	99.78782	32.98375	32.98375	99.78782	32.98375	32.98375	99.78782	32.98375	32.98375	99.78782	32.98375	32.98375	99.78782	32.98375	32.98375	99.78782						BirdLife International, IUCN and UNEP-WCMC (2019). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)		C: Country data
