series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2011	value_2015	value_2017	value_2018	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
SI_RMT_COST	Remittance costs as a proportion of the amount remitted (%)	1	World	1			Region						[2011, 2015, 2017, 2018]	2011	2018	4	PT	Percentage	G	Global	9.3	7.5	7.2	6.9	6.9				World Development Indicators database, World Bank		_X: Data nature not available
SI_RMT_COST	Remittance costs as a proportion of the amount remitted (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	[2011, 2015, 2017, 2018]	2011	2018	4	PT	Percentage	G	Global	9.1	9.2	8.2	8.6	8.6				World Development Indicators database, World Bank		_X: Data nature not available
SI_RMT_COST	Remittance costs as a proportion of the amount remitted (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	[2017, 2018]	2017	2018	2	PT	Percentage	G	Global			12.1	14.4	14.4				World Development Indicators database, World Bank		_X: Data nature not available
SI_RMT_COST	Remittance costs as a proportion of the amount remitted (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	[2017, 2018]	2017	2018	2	PT	Percentage	G	Global			18.3	1.6	1.6				World Development Indicators database, World Bank		_X: Data nature not available
SI_RMT_COST	Remittance costs as a proportion of the amount remitted (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	[2017, 2018]	2017	2018	2	PT	Percentage	G	Global			4.4	14.5	14.5				World Development Indicators database, World Bank		_X: Data nature not available
SI_RMT_COST	Remittance costs as a proportion of the amount remitted (%)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1	[2011, 2015, 2017, 2018]	2011	2018	4	PT	Percentage	G	Global	14.1	11.9	8.3	10.9	10.9				World Development Indicators database, World Bank		_X: Data nature not available
SI_RMT_COST	Remittance costs as a proportion of the amount remitted (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	[2011, 2015, 2017, 2018]	2011	2018	4	PT	Percentage	G	Global	9.5	10.7	10.2	4.2	4.2				World Development Indicators database, World Bank		_X: Data nature not available
SI_RMT_COST	Remittance costs as a proportion of the amount remitted (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1	[2017, 2018]	2017	2018	2	PT	Percentage	G	Global			15.1	9.4	9.4				World Development Indicators database, World Bank		_X: Data nature not available
SI_RMT_COST	Remittance costs as a proportion of the amount remitted (%)	144	Sri Lanka	4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1	[2011, 2015, 2017, 2018]	2011	2018	4	PT	Percentage	G	Global	5.6	5.6	5.3	4.5	4.5				World Development Indicators database, World Bank		_X: Data nature not available
SI_RMT_COST	Remittance costs as a proportion of the amount remitted (%)	156	China	4	30	Eastern Asia	Country	104.1403375	32.30955217	CHN	1	1	[2011, 2015, 2017, 2018]	2011	2018	4	PT	Percentage	G	Global	11.9	10.2	10.0	8.0	8.0				World Development Indicators database, World Bank		_X: Data nature not available
SI_RMT_COST	Remittance costs as a proportion of the amount remitted (%)	170	Colombia	5	5	South America	Country	-73.07446751	3.888209046	COL	1	1	[2011, 2015, 2017, 2018]	2011	2018	4	PT	Percentage	G	Global	6.7	6.2	5.4	5.0	5.0				World Development Indicators database, World Bank		_X: Data nature not available
SI_RMT_COST	Remittance costs as a proportion of the amount remitted (%)	174	Comoros	5	14	Eastern Africa	Country	43.34234565	-11.66121732	COM	1	1	[2017, 2018]	2017	2018	2	PT	Percentage	G	Global			4.8	4.8	4.8				World Development Indicators database, World Bank		_X: Data nature not available
SI_RMT_COST	Remittance costs as a proportion of the amount remitted (%)	178	Congo	5	11	Western Africa	Country	15.22052612	-0.840544119	COG	1	1	[2017, 2018]	2017	2018	2	PT	Percentage	G	Global			5.7	8.2	8.2				World Development Indicators database, World Bank		_X: Data nature not available
SI_RMT_COST	Remittance costs as a proportion of the amount remitted (%)	188	Costa Rica	5	13	Central America	Country	-84.19712782	9.970998683	CRI	1	1	[2011, 2015, 2017, 2018]	2011	2018	4	PT	Percentage	G	Global	12.0	6.0	5.5	6.6	6.6				World Development Indicators database, World Bank		_X: Data nature not available
SI_RMT_COST	Remittance costs as a proportion of the amount remitted (%)	191	Croatia	4	39	Southern Europe	Country	17.95874553	45.45172212	HRV	1	1	[2017, 2018]	2017	2018	2	PT	Percentage	G	Global			11.0	6.2	6.2				World Development Indicators database, World Bank		_X: Data nature not available
SI_RMT_COST	Remittance costs as a proportion of the amount remitted (%)	192	Cuba	5	29	Caribbean	Country	-79.54460144	22.10030366	CUB	1	1	[2011, 2015, 2017, 2018]	2011	2018	4	PT	Percentage	G	Global	8.8	6.0	8.7	10.8	10.8				World Development Indicators database, World Bank		_X: Data nature not available
SI_RMT_COST	Remittance costs as a proportion of the amount remitted (%)	202	Sub-Saharan Africa	3	2	Africa	Region						[2011, 2015, 2017, 2018]	2011	2018	4	PT	Percentage	G	Global	12.4	9.8	9.2	9.0	9.0				World Development Indicators database, World Bank		_X: Data nature not available
SI_RMT_COST	Remittance costs as a proportion of the amount remitted (%)	204	Benin	5	11	Western Africa	Country	2.339933594	9.65401646	BEN	1	1	[2011, 2015, 2017, 2018]	2011	2018	4	PT	Percentage	G	Global	2.4	1.4	1.3	12.3	12.3				World Development Indicators database, World Bank		_X: Data nature not available
SI_RMT_COST	Remittance costs as a proportion of the amount remitted (%)	214	Dominican Republic	5	29	Caribbean	Country	-70.49847576	18.89832088	DOM	1	1	[2011, 2015, 2017, 2018]	2011	2018	4	PT	Percentage	G	Global	5.8	6.4	6.8	6.7	6.7				World Development Indicators database, World Bank		_X: Data nature not available
SI_RMT_COST	Remittance costs as a proportion of the amount remitted (%)	218	Ecuador	5	5	South America	Country	-78.37005241	-1.447785891	ECU	1	1	[2011, 2015, 2017, 2018]	2011	2018	4	PT	Percentage	G	Global	4.6	4.3	4.0	4.1	4.1				World Development Indicators database, World Bank		_X: Data nature not available
SI_RMT_COST	Remittance costs as a proportion of the amount remitted (%)	222	El Salvador	5	13	Central America	Country	-88.86862995	13.73603564	SLV	1	1	[2011, 2015, 2017, 2018]	2011	2018	4	PT	Percentage	G	Global	4.7	4.2	3.9	4.0	4.0				World Development Indicators database, World Bank		_X: Data nature not available
SI_RMT_COST	Remittance costs as a proportion of the amount remitted (%)	231	Ethiopia	5	14	Eastern Africa	Country	39.63505296	8.631223181	ETH	1	1	[2011, 2015, 2017, 2018]	2011	2018	4	PT	Percentage	G	Global	9.3	7.9	6.5	6.3	6.3				World Development Indicators database, World Bank		_X: Data nature not available
SI_RMT_COST	Remittance costs as a proportion of the amount remitted (%)	232	Eritrea	5	14	Eastern Africa	Country	38.11074289	16.12894644	ERI	1	1	[2011, 2015, 2017, 2018]	2011	2018	4	PT	Percentage	G	Global	12.1	9.1	11.5	8.0	8.0				World Development Indicators database, World Bank		_X: Data nature not available
