series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	age_code	age_desc	sex_code	sex_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2005	value_2006	value_2007	value_2008	value_2009	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	value_2019	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
VC_VAW_SXVLN	Proportion of population aged 18-29 years who experienced sexual violence by ageÂ 18, by sex (% of population aged 18-29)	1	World	1			Region						Y18T29	18 to 29 years old	F	Female	[2019]	2019	2019	1	PT	Percentage	G	Global														2.7	2.7			Based on 45 countries with a population coverage of 44 per cent	DHS and other national surveys		E: Estimated data
VC_VAW_SXVLN	Proportion of population aged 18-29 years who experienced sexual violence by ageÂ 18, by sex (% of population aged 18-29)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	Y18T29	18 to 29 years old	F	Female	[2016]	2016	2016	1	PT	Percentage	G	Global											1.2				1.2				DHS		CA: Country adjusted data
VC_VAW_SXVLN	Proportion of population aged 18-29 years who experienced sexual violence by ageÂ 18, by sex (% of population aged 18-29)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	Y18T29	18 to 29 years old	F	Female	[2017]	2017	2017	1	PT	Percentage	G	Global												3.5			3.5				DHS		CA: Country adjusted data
VC_VAW_SXVLN	Proportion of population aged 18-29 years who experienced sexual violence by ageÂ 18, by sex (% of population aged 18-29)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	Y18T29	18 to 29 years old	M	Male	[2017]	2017	2017	1	PT	Percentage	G	Global												0.2			0.2				DHS		CA: Country adjusted data
VC_VAW_SXVLN	Proportion of population aged 18-29 years who experienced sexual violence by ageÂ 18, by sex (% of population aged 18-29)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	Y18T29	18 to 29 years old	F	Female	[2014]	2014	2014	1	PT	Percentage	G	Global									1.703818596705627						1.703818596705627				DHS		CA: Country adjusted data
VC_VAW_SXVLN	Proportion of population aged 18-29 years who experienced sexual violence by ageÂ 18, by sex (% of population aged 18-29)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	Y18T29	18 to 29 years old	F	Female	[2011]	2011	2011	1	PT	Percentage	G	Global						15.989721712117833									15.989721712117833			Not included in aggregates as falls outside year range	EDS-MICS		CA: Country adjusted data
VC_VAW_SXVLN	Proportion of population aged 18-29 years who experienced sexual violence by ageÂ 18, by sex (% of population aged 18-29)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	Y18T29	18 to 29 years old	M	Male	[2011]	2011	2011	1	PT	Percentage	G	Global						4.132862									4.132862				EDS-MICS		CA: Country adjusted data
VC_VAW_SXVLN	Proportion of population aged 18-29 years who experienced sexual violence by ageÂ 18, by sex (% of population aged 18-29)	148	Chad	5	17	Middle Africa	Country	18.66618401	15.36279341	TCD	1	1	Y18T29	18 to 29 years old	F	Female	[2015]	2015	2015	1	PT	Percentage	G	Global										1.819308444969649					1.819308444969649				DHS		CA: Country adjusted data
VC_VAW_SXVLN	Proportion of population aged 18-29 years who experienced sexual violence by ageÂ 18, by sex (% of population aged 18-29)	170	Colombia	5	5	South America	Country	-73.07446751	3.888209046	COL	1	1	Y18T29	18 to 29 years old	F	Female	[2015]	2015	2015	1	PT	Percentage	G	Global										2.2					2.2				DHS		CA: Country adjusted data
VC_VAW_SXVLN	Proportion of population aged 18-29 years who experienced sexual violence by ageÂ 18, by sex (% of population aged 18-29)	170	Colombia	5	5	South America	Country	-73.07446751	3.888209046	COL	1	1	Y18T29	18 to 29 years old	M	Male	[2015]	2015	2015	1	PT	Percentage	G	Global										0.3					0.3				DHS		CA: Country adjusted data
VC_VAW_SXVLN	Proportion of population aged 18-29 years who experienced sexual violence by ageÂ 18, by sex (% of population aged 18-29)	174	Comoros	5	14	Eastern Africa	Country	43.34234565	-11.66121732	COM	1	1	Y18T29	18 to 29 years old	F	Female	[2012]	2012	2012	1	PT	Percentage	G	Global							3.137080021175974								3.137080021175974				DHS		CA: Country adjusted data
VC_VAW_SXVLN	Proportion of population aged 18-29 years who experienced sexual violence by ageÂ 18, by sex (% of population aged 18-29)	180	Democratic Republic of the Congo	5	17	Middle Africa	Country	23.65496507	-2.877154732	COD	1	1	Y18T29	18 to 29 years old	F	Female	[2014]	2014	2014	1	PT	Percentage	G	Global									13.368761463990106						13.368761463990106				DHS		CA: Country adjusted data
VC_VAW_SXVLN	Proportion of population aged 18-29 years who experienced sexual violence by ageÂ 18, by sex (% of population aged 18-29)	199	Least Developed Countries (LDC)	1			Group						Y18T29	18 to 29 years old	F	Female	[2019]	2019	2019	1	PT	Percentage	G	Global														4.8	4.8			Based on 25 countries with a population coverage of 79 per cent	DHS and other national surveys		E: Estimated data
VC_VAW_SXVLN	Proportion of population aged 18-29 years who experienced sexual violence by ageÂ 18, by sex (% of population aged 18-29)	202	Sub-Saharan Africa	3	2	Africa	Region						Y18T29	18 to 29 years old	F	Female	[2019]	2019	2019	1	PT	Percentage	G	Global														5.4	5.4			Based on 24 countries with a population coverage of 79 per cent	DHS and other national surveys		E: Estimated data
VC_VAW_SXVLN	Proportion of population aged 18-29 years who experienced sexual violence by ageÂ 18, by sex (% of population aged 18-29)	204	Benin	5	11	Western Africa	Country	2.339933594	9.65401646	BEN	1	1	Y18T29	18 to 29 years old	F	Female	[2018]	2018	2018	1	PT	Percentage	G	Global													4.5		4.5				DHS		CA: Country adjusted data
VC_VAW_SXVLN	Proportion of population aged 18-29 years who experienced sexual violence by ageÂ 18, by sex (% of population aged 18-29)	214	Dominican Republic	5	29	Caribbean	Country	-70.49847576	18.89832088	DOM	1	1	Y18T29	18 to 29 years old	F	Female	[2013]	2013	2013	1	PT	Percentage	G	Global								1.314992748959251							1.314992748959251				DHS		CA: Country adjusted data
VC_VAW_SXVLN	Proportion of population aged 18-29 years who experienced sexual violence by ageÂ 18, by sex (% of population aged 18-29)	231	Ethiopia	5	14	Eastern Africa	Country	39.63505296	8.631223181	ETH	1	1	Y18T29	18 to 29 years old	F	Female	[2016]	2016	2016	1	PT	Percentage	G	Global											5.1				5.1				DHS		CA: Country adjusted data
VC_VAW_SXVLN	Proportion of population aged 18-29 years who experienced sexual violence by ageÂ 18, by sex (% of population aged 18-29)	24	Angola	5	17	Middle Africa	Country	17.57817062	-12.33724746	AGO	1	1	Y18T29	18 to 29 years old	F	Female	[2016]	2016	2016	1	PT	Percentage	G	Global											4.6				4.6				DHS		E: Estimated data
VC_VAW_SXVLN	Proportion of population aged 18-29 years who experienced sexual violence by ageÂ 18, by sex (% of population aged 18-29)	266	Gabon	5	17	Middle Africa	Country	11.78727747	-0.60687619	GAB	1	1	Y18T29	18 to 29 years old	F	Female	[2012]	2012	2012	1	PT	Percentage	G	Global							9.277109997630566								9.277109997630566				DHS		CA: Country adjusted data
VC_VAW_SXVLN	Proportion of population aged 18-29 years who experienced sexual violence by ageÂ 18, by sex (% of population aged 18-29)	270	Gambia	5	11	Western Africa	Country	-15.39944785	13.45295927	GMB	1	1	Y18T29	18 to 29 years old	F	Female	[2013]	2013	2013	1	PT	Percentage	G	Global								0.356536380072225							0.356536380072225				DHS		CA: Country adjusted data
VC_VAW_SXVLN	Proportion of population aged 18-29 years who experienced sexual violence by ageÂ 18, by sex (% of population aged 18-29)	275	State of Palestine	4	145	Western Asia	Country	35.25694122	31.94347933	PSE	0	1	Y18T29	18 to 29 years old	F	Female	[2019]	2019	2019	1	PT	Percentage	G	Global														1.8	1.8			Refers only to unmarried women; definition of sexual violence differs from the standard	Violence Survey of the Palestinian Society		CA: Country adjusted data
VC_VAW_SXVLN	Proportion of population aged 18-29 years who experienced sexual violence by ageÂ 18, by sex (% of population aged 18-29)	275	State of Palestine	4	145	Western Asia	Country	35.25694122	31.94347933	PSE	0	1	Y18T29	18 to 29 years old	M	Male	[2019]	2019	2019	1	PT	Percentage	G	Global														3.5	3.5			Refers only to unmarried men; definition of sexual violence differs from the standard	Violence Survey of the Palestinian Society		CA: Country adjusted data
