series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Age	Sex	Reporting Type	Cause of death
VC_DTH_TOCVN	Number of conflict-related deaths (civilians), by sex, age and cause of death (Number)	1	World	2017.0	75801	Float						The figures include only direct conflict-related deaths of civilians recorded by the United Nations.  Office of the High Commissioner for Human Rights (OHCHR) 		['This figure includes only documented and verified civilian deaths caused directly by war operations for the armed conflicts in Afghanistan, Central African Republic, Democratic Republic of Congo, Iraq, Libya, Mali, State of Palestine and Israel, Somalia, South Sudan, Syria, Ukraine, and Yemen. This figure may vary from other UN civilian casualty figures due to the methodology used that build on UN casualty data while integrating new data sources.']	G	NUMBER	18+	BOTHSEX	G	_T
VC_DTH_TOCVN	Number of conflict-related deaths (civilians), by sex, age and cause of death (Number)	1	World	2017.0	9423	Float						The figures include only direct conflict-related deaths of civilians recorded by the United Nations.  Office of the High Commissioner for Human Rights (OHCHR) 		['This figure includes only documented and verified civilian deaths caused directly by war operations for the armed conflicts in Afghanistan, Central African Republic, Democratic Republic of Congo, Iraq, Libya, Mali, State of Palestine and Israel, Somalia, South Sudan, Syria, Ukraine, and Yemen. This figure may vary from other UN civilian casualty figures due to the methodology used that build on UN casualty data while integrating new data sources.']	G	NUMBER	ALLAGE	_U	G	_T
VC_DTH_TOCVN	Number of conflict-related deaths (civilians), by sex, age and cause of death (Number)	1	World	2017.0	12797	Float						The figures include only direct conflict-related deaths of civilians recorded by the United Nations.  Office of the High Commissioner for Human Rights (OHCHR) 		['This figure includes only documented and verified civilian deaths caused directly by war operations for the armed conflicts in Afghanistan, Central African Republic, Democratic Republic of Congo, Iraq, Libya, Mali, State of Palestine and Israel, Somalia, South Sudan, Syria, Ukraine, and Yemen. This figure may vary from other UN civilian casualty figures due to the methodology used that build on UN casualty data while integrating new data sources.']	G	NUMBER	<18Y	BOTHSEX	G	_T
VC_DTH_TOCVN	Number of conflict-related deaths (civilians), by sex, age and cause of death (Number)	1	World	2017.0	5912	Float						The figures include only direct conflict-related deaths of civilians recorded by the United Nations.  Office of the High Commissioner for Human Rights (OHCHR) 		['This figure includes only documented and verified civilian deaths caused directly by war operations for the armed conflicts in Afghanistan, Central African Republic, Democratic Republic of Congo, Iraq, Libya, Mali, State of Palestine and Israel, Somalia, South Sudan, Syria, Ukraine, and Yemen. This figure may vary from other UN civilian casualty figures due to the methodology used that build on UN casualty data while integrating new data sources.']	G	NUMBER	ALLAGE	BOTHSEX	G	OTHER
VC_DTH_TOCVN	Number of conflict-related deaths (civilians), by sex, age and cause of death (Number)	1	World	2017.0	18208	Float						The figures include only direct conflict-related deaths of civilians recorded by the United Nations.  Office of the High Commissioner for Human Rights (OHCHR) 		['This figure includes only documented and verified civilian deaths caused directly by war operations for the armed conflicts in Afghanistan, Central African Republic, Democratic Republic of Congo, Iraq, Libya, Mali, State of Palestine and Israel, Somalia, South Sudan, Syria, Ukraine, and Yemen. This figure may vary from other UN civilian casualty figures due to the methodology used that build on UN casualty data while integrating new data sources.']	G	NUMBER	_U	BOTHSEX	G	_T
VC_DTH_TOCVN	Number of conflict-related deaths (civilians), by sex, age and cause of death (Number)	1	World	2017.0	37165	Float						The figures include only direct conflict-related deaths of civilians recorded by the United Nations.  Office of the High Commissioner for Human Rights (OHCHR) 		['This figure includes only documented and verified civilian deaths caused directly by war operations for the armed conflicts in Afghanistan, Central African Republic, Democratic Republic of Congo, Iraq, Libya, Mali, State of Palestine and Israel, Somalia, South Sudan, Syria, Ukraine, and Yemen. This figure may vary from other UN civilian casualty figures due to the methodology used that build on UN casualty data while integrating new data sources.']	G	NUMBER	ALLAGE	BOTHSEX	G	HEAVYWEAPONS
VC_DTH_TOCVN	Number of conflict-related deaths (civilians), by sex, age and cause of death (Number)	1	World	2017.0	13268	Float						The figures include only direct conflict-related deaths of civilians recorded by the United Nations.  Office of the High Commissioner for Human Rights (OHCHR) 		['This figure includes only documented and verified civilian deaths caused directly by war operations for the armed conflicts in Afghanistan, Central African Republic, Democratic Republic of Congo, Iraq, Libya, Mali, State of Palestine and Israel, Somalia, South Sudan, Syria, Ukraine, and Yemen. This figure may vary from other UN civilian casualty figures due to the methodology used that build on UN casualty data while integrating new data sources.']	G	NUMBER	ALLAGE	FEMALE	G	_T
VC_DTH_TOCVN	Number of conflict-related deaths (civilians), by sex, age and cause of death (Number)	1	World	2017.0	25860	Float						The figures include only direct conflict-related deaths of civilians recorded by the United Nations.  Office of the High Commissioner for Human Rights (OHCHR) 		['This figure includes only documented and verified civilian deaths caused directly by war operations for the armed conflicts in Afghanistan, Central African Republic, Democratic Republic of Congo, Iraq, Libya, Mali, State of Palestine and Israel, Somalia, South Sudan, Syria, Ukraine, and Yemen. This figure may vary from other UN civilian casualty figures due to the methodology used that build on UN casualty data while integrating new data sources.']	G	NUMBER	ALLAGE	BOTHSEX	G	EXPLOSIVES
VC_DTH_TOCVN	Number of conflict-related deaths (civilians), by sex, age and cause of death (Number)	1	World	2017.0	23978	Float						The figures include only direct conflict-related deaths of civilians recorded by the United Nations.  Office of the High Commissioner for Human Rights (OHCHR) 		['This figure includes only documented and verified civilian deaths caused directly by war operations for the armed conflicts in Afghanistan, Central African Republic, Democratic Republic of Congo, Iraq, Libya, Mali, State of Palestine and Israel, Somalia, South Sudan, Syria, Ukraine, and Yemen. This figure may vary from other UN civilian casualty figures due to the methodology used that build on UN casualty data while integrating new data sources.']	G	NUMBER	ALLAGE	BOTHSEX	G	_U
VC_DTH_TOCVN	Number of conflict-related deaths (civilians), by sex, age and cause of death (Number)	1	World	2017.0	84115	Float						The figures include only direct conflict-related deaths of civilians recorded by the United Nations.  Office of the High Commissioner for Human Rights (OHCHR) 		['This figure includes only documented and verified civilian deaths caused directly by war operations for the armed conflicts in Afghanistan, Central African Republic, Democratic Republic of Congo, Iraq, Libya, Mali, State of Palestine and Israel, Somalia, South Sudan, Syria, Ukraine, and Yemen. This figure may vary from other UN civilian casualty figures due to the methodology used that build on UN casualty data while integrating new data sources.']	G	NUMBER	ALLAGE	MALE	G	_T
