series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Sex	Migratory status	Reporting Type
SL_EMP_INJUR	Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	498	Republic of Moldova	2000.0	77	Float						ES - Survey on Employment, Remuneration and Hours of Work		"[""Coverage of occupational injuries: Reported injuries | Type of rate: Incidence rate (per 100'000 employees) | Institutional sector coverage: Public sector only | Establishment size coverage: All establishments with at least 20 employees""]"	C	PER_100000_EMP	BOTHSEX	_T	G
SL_EMP_INJUR	Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	498	Republic of Moldova	2001.0	77.9	Float						ES - Survey on Employment, Remuneration and Hours of Work		"[""Coverage of occupational injuries: Reported injuries | Type of rate: Incidence rate (per 100'000 employees) | Institutional sector coverage: Public sector only | Establishment size coverage: All establishments with at least 20 employees""]"	C	PER_100000_EMP	BOTHSEX	_T	G
SL_EMP_INJUR	Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	498	Republic of Moldova	2002.0	73	Float						ES - Survey on Employment, Remuneration and Hours of Work		"[""Coverage of occupational injuries: Reported injuries | Type of rate: Incidence rate (per 100'000 employees) | Institutional sector coverage: Public sector only | Establishment size coverage: All establishments with at least 20 employees""]"	C	PER_100000_EMP	BOTHSEX	_T	G
SL_EMP_INJUR	Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	498	Republic of Moldova	2003.0	81	Float						ES - Survey on Employment, Remuneration and Hours of Work		"[""Coverage of occupational injuries: Reported injuries | Type of rate: Incidence rate (per 100'000 employees) | Institutional sector coverage: Public sector only | Establishment size coverage: All establishments with at least 20 employees""]"	C	PER_100000_EMP	BOTHSEX	_T	G
SL_EMP_INJUR	Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	498	Republic of Moldova	2004.0	88	Float						ES - Survey on Employment, Remuneration and Hours of Work		"[""Coverage of occupational injuries: Reported injuries | Type of rate: Incidence rate (per 100'000 employees) | Institutional sector coverage: Public sector only | Establishment size coverage: All establishments with at least 20 employees""]"	C	PER_100000_EMP	BOTHSEX	_T	G
SL_EMP_INJUR	Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	498	Republic of Moldova	2005.0	82	Float						ES - Survey on Employment, Remuneration and Hours of Work		"[""Coverage of occupational injuries: Reported injuries | Type of rate: Incidence rate (per 100'000 employees) | Institutional sector coverage: Public sector only | Establishment size coverage: All establishments with at least 20 employees""]"	C	PER_100000_EMP	BOTHSEX	_T	G
SL_EMP_INJUR	Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	498	Republic of Moldova	2006.0	82	Float						ES - Survey on Employment, Remuneration and Hours of Work		"[""Coverage of occupational injuries: Reported injuries | Type of rate: Incidence rate (per 100'000 employees) | Institutional sector coverage: Public sector only | Establishment size coverage: All establishments with at least 20 employees""]"	C	PER_100000_EMP	BOTHSEX	_T	G
SL_EMP_INJUR	Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	498	Republic of Moldova	2007.0	71	Float						ES - Survey on Employment, Remuneration and Hours of Work		"[""Coverage of occupational injuries: Reported injuries | Type of rate: Incidence rate (per 100'000 employees) | Institutional sector coverage: Public sector only | Establishment size coverage: All establishments with at least 20 employees""]"	C	PER_100000_EMP	BOTHSEX	_T	G
SL_EMP_INJUR	Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	498	Republic of Moldova	2008.0	66.1	Float						ES - Survey on Employment, Remuneration and Hours of Work		"[""Coverage of occupational injuries: Reported injuries | Type of rate: Incidence rate (per 100'000 employees) | Institutional sector coverage: Public sector only | Establishment size coverage: All establishments with at least 20 employees""]"	C	PER_100000_EMP	BOTHSEX	_T	G
SL_EMP_INJUR	Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	498	Republic of Moldova	2009.0	102.1	Float						ES - Survey on Employment, Remuneration and Hours of Work		"[""Coverage of occupational injuries: Nonstandard coverage of occupational injuries | Type of cases of occupational injuries: Cases of occupational injury | Type of rate: Incidence rate (per 100'000 persons insured) | Minimum period of absence from work: Incapacities lasting more than 2 days | Data reference period: End of the year | Geographical coverage: Total national, excluding some areas | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 20 employees""]"	C	PER_100000_EMP	BOTHSEX	_T	G
SL_EMP_INJUR	Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	498	Republic of Moldova	2009.0	43.5	Float						ES - Survey on Employment, Remuneration and Hours of Work		"[""Coverage of occupational injuries: Nonstandard coverage of occupational injuries | Type of cases of occupational injuries: Cases of occupational injury | Type of rate: Incidence rate (per 100'000 persons insured) | Minimum period of absence from work: Incapacities lasting more than 2 days | Data reference period: End of the year | Geographical coverage: Total national, excluding some areas | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 20 employees""]"	C	PER_100000_EMP	FEMALE	_T	G
SL_EMP_INJUR	Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	498	Republic of Moldova	2009.0	171.9	Float						ES - Survey on Employment, Remuneration and Hours of Work		"[""Coverage of occupational injuries: Nonstandard coverage of occupational injuries | Type of cases of occupational injuries: Cases of occupational injury | Type of rate: Incidence rate (per 100'000 persons insured) | Minimum period of absence from work: Incapacities lasting more than 2 days | Data reference period: End of the year | Geographical coverage: Total national, excluding some areas | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 20 employees""]"	C	PER_100000_EMP	MALE	_T	G
SL_EMP_INJUR	Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	498	Republic of Moldova	2010.0	124.8	Float						ES - Survey on Employment, Remuneration and Hours of Work		"[""Coverage of occupational injuries: Nonstandard coverage of occupational injuries | Type of cases of occupational injuries: Cases of occupational injury | Type of rate: Incidence rate (per 100'000 persons insured) | Minimum period of absence from work: Incapacities lasting more than 2 days | Data reference period: End of the year | Geographical coverage: Total national, excluding some areas | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 20 employees""]"	C	PER_100000_EMP	MALE	_T	G
SL_EMP_INJUR	Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	498	Republic of Moldova	2010.0	60.2	Float						ES - Survey on Employment, Remuneration and Hours of Work		"[""Coverage of occupational injuries: Nonstandard coverage of occupational injuries | Type of cases of occupational injuries: Cases of occupational injury | Type of rate: Incidence rate (per 100'000 persons insured) | Minimum period of absence from work: Incapacities lasting more than 2 days | Data reference period: End of the year | Geographical coverage: Total national, excluding some areas | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 20 employees""]"	C	PER_100000_EMP	FEMALE	_T	G
SL_EMP_INJUR	Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	498	Republic of Moldova	2010.0	89.5	Float						ES - Survey on Employment, Remuneration and Hours of Work		"[""Coverage of occupational injuries: Nonstandard coverage of occupational injuries | Type of cases of occupational injuries: Cases of occupational injury | Type of rate: Incidence rate (per 100'000 persons insured) | Minimum period of absence from work: Incapacities lasting more than 2 days | Data reference period: End of the year | Geographical coverage: Total national, excluding some areas | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 20 employees""]"	C	PER_100000_EMP	BOTHSEX	_T	G
SL_EMP_INJUR	Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	498	Republic of Moldova	2013.0	158.4	Float						ES - Survey on Employment, Remuneration and Hours of Work		"[""Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Cases of occupational injury | Type of rate: Incidence rate (per 100'000 employees) | Minimum period of absence from work: Incapacities lasting more than 2 days | Data reference period: End of the year | Geographical coverage: Total national, excluding some areas | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 20 employees""]"	C	PER_100000_EMP	MALE	_T	G
SL_EMP_INJUR	Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	498	Republic of Moldova	2013.0	45.7	Float						ES - Survey on Employment, Remuneration and Hours of Work		"[""Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Cases of occupational injury | Type of rate: Incidence rate (per 100'000 employees) | Minimum period of absence from work: Incapacities lasting more than 2 days | Data reference period: End of the year | Geographical coverage: Total national, excluding some areas | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 20 employees""]"	C	PER_100000_EMP	FEMALE	_T	G
SL_EMP_INJUR	Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	498	Republic of Moldova	2013.0	96.4	Float						ES - Survey on Employment, Remuneration and Hours of Work		"[""Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Cases of occupational injury | Type of rate: Incidence rate (per 100'000 employees) | Minimum period of absence from work: Incapacities lasting more than 2 days | Data reference period: End of the year | Geographical coverage: Total national, excluding some areas | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 20 employees""]"	C	PER_100000_EMP	BOTHSEX	_T	G
SL_EMP_INJUR	Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	498	Republic of Moldova	2014.0	150.9	Float						ES - Survey on Employment, Remuneration and Hours of Work		"[""Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Cases of occupational injury | Type of rate: Incidence rate (per 100'000 employees) | Minimum period of absence from work: Incapacities lasting more than 2 days | Data reference period: End of the year | Geographical coverage: Total national, excluding some areas | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 20 employees""]"	C	PER_100000_EMP	MALE	_T	G
SL_EMP_INJUR	Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	498	Republic of Moldova	2014.0	31.4	Float						ES - Survey on Employment, Remuneration and Hours of Work		"[""Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Cases of occupational injury | Type of rate: Incidence rate (per 100'000 employees) | Minimum period of absence from work: Incapacities lasting more than 2 days | Data reference period: End of the year | Geographical coverage: Total national, excluding some areas | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 20 employees""]"	C	PER_100000_EMP	FEMALE	_T	G
SL_EMP_INJUR	Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	498	Republic of Moldova	2014.0	85	Float						ES - Survey on Employment, Remuneration and Hours of Work		"[""Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Cases of occupational injury | Type of rate: Incidence rate (per 100'000 employees) | Minimum period of absence from work: Incapacities lasting more than 2 days | Data reference period: End of the year | Geographical coverage: Total national, excluding some areas | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 20 employees""]"	C	PER_100000_EMP	BOTHSEX	_T	G
SL_EMP_INJUR	Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	498	Republic of Moldova	2015.0	70.3	Float						ES - Survey on Employment, Remuneration and Hours of Work		"[""Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Cases of occupational injury | Type of rate: Incidence rate (per 100'000 employees) | Minimum period of absence from work: Incapacities lasting more than 2 days | Geographical coverage: Total national, excluding some areas | Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 20 employees""]"	C	PER_100000_EMP	BOTHSEX	_T	G
SL_EMP_INJUR	Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	498	Republic of Moldova	2015.0	29.4	Float						ES - Survey on Employment, Remuneration and Hours of Work		"[""Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Cases of occupational injury | Type of rate: Incidence rate (per 100'000 employees) | Minimum period of absence from work: Incapacities lasting more than 2 days | Geographical coverage: Total national, excluding some areas | Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 20 employees""]"	C	PER_100000_EMP	FEMALE	_T	G
SL_EMP_INJUR	Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	498	Republic of Moldova	2015.0	121.6	Float						ES - Survey on Employment, Remuneration and Hours of Work		"[""Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Cases of occupational injury | Type of rate: Incidence rate (per 100'000 employees) | Minimum period of absence from work: Incapacities lasting more than 2 days | Geographical coverage: Total national, excluding some areas | Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 20 employees""]"	C	PER_100000_EMP	MALE	_T	G
SL_EMP_INJUR	Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	498	Republic of Moldova	2016.0	61	Float						ES - Survey on Employment, Remuneration and Hours of Work		['']	C	PER_100000_EMP	BOTHSEX	_T	G
SL_EMP_INJUR	Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	498	Republic of Moldova	2017.0	72	Float						ES - Survey on Employment, Remuneration and Hours of Work		['Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Cases of occupational injury | Geographical coverage: Total national, excluding some areas | Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 20 employees']	C	PER_100000_EMP	BOTHSEX	_T	G
