series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Age	Sex	Type of skill	Reporting Type
SE_ADT_FUNS	Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)	858	Uruguay	2006.0	97.8	Float						Household Surveys		['']	C	PERCENT	16-65	BOTHSEX	LITE	G
SE_ADT_FUNS	Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)	858	Uruguay	2007.0	97.9	Float						Household Surveys		['']	C	PERCENT	16-65	BOTHSEX	LITE	G
SE_ADT_FUNS	Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)	858	Uruguay	2008.0	98.1	Float						Household Surveys		['']	C	PERCENT	16-65	BOTHSEX	LITE	G
SE_ADT_FUNS	Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)	858	Uruguay	2009.0	98.2	Float						Household Surveys		['']	C	PERCENT	16-65	BOTHSEX	LITE	G
SE_ADT_FUNS	Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)	858	Uruguay	2010.0	98	Float						Household Surveys		['']	C	PERCENT	16-65	BOTHSEX	LITE	G
SE_ADT_FUNS	Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)	858	Uruguay	2011.0	98.3	Float						Household Surveys		['']	C	PERCENT	16-65	BOTHSEX	LITE	G
SE_ADT_FUNS	Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)	858	Uruguay	2012.0	98.4	Float						Household Surveys		['']	C	PERCENT	16-65	BOTHSEX	LITE	G
SE_ADT_FUNS	Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)	858	Uruguay	2013.0	98.4	Float						Household Surveys		['']	C	PERCENT	16-65	BOTHSEX	LITE	G
SE_ADT_FUNS	Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)	858	Uruguay	2014.0	98.5	Float						Household Surveys		['']	C	PERCENT	16-65	BOTHSEX	LITE	G
SE_ADT_FUNS	Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)	858	Uruguay	2015.0	98.5	Float						Household Surveys		['']	C	PERCENT	16-65	BOTHSEX	LITE	G
SE_ADT_FUNS	Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)	858	Uruguay	2016.0	98.6	Float						Household Surveys		['']	C	PERCENT	16-65	BOTHSEX	LITE	G
