series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Sex	Reporting Type	Age
SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)	116	Cambodia	2000.0	0.46	Float						UNAIDS		['']	E	PER_1000_UNINFECTED_POP	FEMALE	G	50+
SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)	116	Cambodia	2000.0	0.87	Float						UNAIDS		['']	E	PER_1000_UNINFECTED_POP	MALE	G	ALLAGE
SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)	116	Cambodia	2000.0	0.90	Float						UNAIDS		['']	E	PER_1000_UNINFECTED_POP	FEMALE	G	ALLAGE
SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)	116	Cambodia	2000.0	0.41	Float						UNAIDS		['']	E	PER_1000_UNINFECTED_POP	MALE	G	50+
SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)	116	Cambodia	2000.0	0.88	Float						UNAIDS		['']	E	PER_1000_UNINFECTED_POP	BOTHSEX	G	ALLAGE
SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)	116	Cambodia	2000.0	1.59	Float						UNAIDS		['']	E	PER_1000_UNINFECTED_POP	BOTHSEX	G	15-49
SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)	116	Cambodia	2000.0	1.59	Float						UNAIDS		['']	E	PER_1000_UNINFECTED_POP	FEMALE	G	15-49
SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)	116	Cambodia	2000.0	0.91	Float						UNAIDS		['']	E	PER_1000_UNINFECTED_POP	MALE	G	15-24
SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)	116	Cambodia	2000.0	1.06	Float						UNAIDS		['']	E	PER_1000_UNINFECTED_POP	BOTHSEX	G	15-24
SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)	116	Cambodia	2000.0	1.21	Float						UNAIDS		['']	E	PER_1000_UNINFECTED_POP	FEMALE	G	15-24
SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)	116	Cambodia	2000.0	0.20	Float						UNAIDS		['']	E	PER_1000_UNINFECTED_POP	BOTHSEX	G	<15Y
SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)	116	Cambodia	2000.0	1.58	Float						UNAIDS		['']	E	PER_1000_UNINFECTED_POP	MALE	G	15-49
SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)	116	Cambodia	2000.0	0.44	Float						UNAIDS		['']	E	PER_1000_UNINFECTED_POP	BOTHSEX	G	50+
SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)	116	Cambodia	2001.0	0.32	Float						UNAIDS		['']	E	PER_1000_UNINFECTED_POP	BOTHSEX	G	50+
SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)	116	Cambodia	2001.0	0.97	Float						UNAIDS		['']	E	PER_1000_UNINFECTED_POP	MALE	G	15-49
SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)	116	Cambodia	2001.0	0.19	Float						UNAIDS		['']	E	PER_1000_UNINFECTED_POP	BOTHSEX	G	<15Y
SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)	116	Cambodia	2001.0	0.78	Float						UNAIDS		['']	E	PER_1000_UNINFECTED_POP	BOTHSEX	G	15-24
SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)	116	Cambodia	2001.0	0.98	Float						UNAIDS		['']	E	PER_1000_UNINFECTED_POP	FEMALE	G	15-24
SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)	116	Cambodia	2001.0	0.57	Float						UNAIDS		['']	E	PER_1000_UNINFECTED_POP	MALE	G	15-24
SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)	116	Cambodia	2001.0	1.27	Float						UNAIDS		['']	E	PER_1000_UNINFECTED_POP	FEMALE	G	15-49
SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)	116	Cambodia	2001.0	1.12	Float						UNAIDS		['']	E	PER_1000_UNINFECTED_POP	BOTHSEX	G	15-49
SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)	116	Cambodia	2001.0	0.66	Float						UNAIDS		['']	E	PER_1000_UNINFECTED_POP	BOTHSEX	G	ALLAGE
SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)	116	Cambodia	2001.0	0.26	Float						UNAIDS		['']	E	PER_1000_UNINFECTED_POP	MALE	G	50+
SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)	116	Cambodia	2001.0	0.38	Float						UNAIDS		['']	E	PER_1000_UNINFECTED_POP	FEMALE	G	50+
SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)	116	Cambodia	2001.0	0.74	Float						UNAIDS		['']	E	PER_1000_UNINFECTED_POP	FEMALE	G	ALLAGE
SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)	116	Cambodia	2001.0	0.57	Float						UNAIDS		['']	E	PER_1000_UNINFECTED_POP	MALE	G	ALLAGE
SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)	116	Cambodia	2002.0	0.47	Float						UNAIDS		['']	E	PER_1000_UNINFECTED_POP	MALE	G	ALLAGE
SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)	116	Cambodia	2002.0	0.64	Float						UNAIDS		['']	E	PER_1000_UNINFECTED_POP	FEMALE	G	ALLAGE
SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)	116	Cambodia	2002.0	0.32	Float						UNAIDS		['']	E	PER_1000_UNINFECTED_POP	FEMALE	G	50+
SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)	116	Cambodia	2002.0	0.21	Float						UNAIDS		['']	E	PER_1000_UNINFECTED_POP	MALE	G	50+
SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)	116	Cambodia	2002.0	0.56	Float						UNAIDS		['']	E	PER_1000_UNINFECTED_POP	BOTHSEX	G	ALLAGE
