series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Reporting Type	IHR Capacity
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	438	Liechtenstein	2018.0	NaN	String						Global Health Observatory (GHO), World Health Organisation (WHO)		['SPAR new questionaire for IHR Annual reporting from year 2018, the capacities had changed.']	NA	PERCENT	N	SPAR13
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	438	Liechtenstein	2018.0	NaN	String						Global Health Observatory (GHO), World Health Organisation (WHO)		['SPAR new questionaire for IHR Annual reporting from year 2018, the capacities had changed.']	NA	PERCENT	N	SPAR10
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	438	Liechtenstein	2018.0	NaN	String						Global Health Observatory (GHO), World Health Organisation (WHO)		['SPAR new questionaire for IHR Annual reporting from year 2018, the capacities had changed.']	NA	PERCENT	N	SPAR05
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	438	Liechtenstein	2018.0	NaN	String						Global Health Observatory (GHO), World Health Organisation (WHO)		['SPAR new questionaire for IHR Annual reporting from year 2018, the capacities had changed.']	NA	PERCENT	N	SPAR04
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	438	Liechtenstein	2018.0	NaN	String						Global Health Observatory (GHO), World Health Organisation (WHO)		['SPAR new questionaire for IHR Annual reporting from year 2018, the capacities had changed.']	NA	PERCENT	N	SPAR09
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	438	Liechtenstein	2018.0	NaN	String						Global Health Observatory (GHO), World Health Organisation (WHO)		['SPAR new questionaire for IHR Annual reporting from year 2018, the capacities had changed.']	NA	PERCENT	N	SPAR08
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	438	Liechtenstein	2018.0	NaN	String						Global Health Observatory (GHO), World Health Organisation (WHO)		['SPAR new questionaire for IHR Annual reporting from year 2018, the capacities had changed.']	NA	PERCENT	N	SPAR06
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	438	Liechtenstein	2018.0	NaN	String						Global Health Observatory (GHO), World Health Organisation (WHO)		['SPAR new questionaire for IHR Annual reporting from year 2018, the capacities had changed.']	NA	PERCENT	N	SPAR12
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	438	Liechtenstein	2018.0	NaN	String						Global Health Observatory (GHO), World Health Organisation (WHO)		['SPAR new questionaire for IHR Annual reporting from year 2018, the capacities had changed.']	NA	PERCENT	N	SPAR11
SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	438	Liechtenstein	2018.0	NaN	String						Global Health Observatory (GHO), World Health Organisation (WHO)		['SPAR new questionaire for IHR Annual reporting from year 2018, the capacities had changed.']	NA	PERCENT	N	SPAR07
