series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Age	Sex	Type of skill	Reporting Type
SE_ADT_FUNS	Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)	840	United States of America	2014.0	72.44002	Float						PIAAC 2012/2014		['']	C	PERCENT	16-65	BOTHSEX	NUME	G
SE_ADT_FUNS	Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)	840	United States of America	2014.0	82.39442	Float						PIAAC 2012/2014		['']	C	PERCENT	16-65	BOTHSEX	LITE	G
SE_ADT_FUNS	Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)	840	United States of America	2014.0	81.96676	Float						PIAAC 2012/2014		['']	C	PERCENT	16-65	MALE	LITE	G
SE_ADT_FUNS	Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)	840	United States of America	2014.0	82.80381	Float						PIAAC 2012/2014		['']	C	PERCENT	16-65	FEMALE	LITE	G
SE_ADT_FUNS	Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)	840	United States of America	2014.0	69.06145	Float						PIAAC 2012/2014		['']	C	PERCENT	16-65	FEMALE	NUME	G
SE_ADT_FUNS	Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)	840	United States of America	2014.0	75.96935	Float						PIAAC 2012/2014		['']	C	PERCENT	16-65	MALE	NUME	G
SE_ADT_FUNS	Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)	840	United States of America	2017.0	69.70665	Float						PIAAC 2017		['']	C	PERCENT	16-65	FEMALE	NUME	G
SE_ADT_FUNS	Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)	840	United States of America	2017.0	71.97634	Float						PIAAC 2017		['']	C	PERCENT	16-65	MALE	NUME	G
SE_ADT_FUNS	Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)	840	United States of America	2017.0	70.81973	Float						PIAAC 2017		['']	C	PERCENT	16-65	BOTHSEX	NUME	G
SE_ADT_FUNS	Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)	840	United States of America	2017.0	80.53508	Float						PIAAC 2017		['']	C	PERCENT	16-65	MALE	LITE	G
SE_ADT_FUNS	Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)	840	United States of America	2017.0	82.31977	Float						PIAAC 2017		['']	C	PERCENT	16-65	FEMALE	LITE	G
SE_ADT_FUNS	Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)	840	United States of America	2017.0	81.44454	Float						PIAAC 2017		['']	C	PERCENT	16-65	BOTHSEX	LITE	G
