series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Age	Reporting Type
SH_STA_STUNT	Proportion of children moderately or severely stunted (%)	604	Peru	2000.0	31.29381	Float						Encuesta demografica y de salud familiar 2000. Demographic and Health Surveys. Lima, Peru and Calverton, Maryland, USA: Instituto Nacional de Estadistica e Informacion y ORC Macro, 2001 (and additional analysis).		['']	CA	PER_POP_U5	<5Y	G
SH_STA_STUNT	Proportion of children moderately or severely stunted (%)	604	Peru	2005.0	29.24652	Float						Peru, encuesta demografica y de salud familiar. Informe principal: ENDES continua 2004-2006.  Demographic and Health Surveys. Lima, Peru: INEI, USAID and ORC Macro, 2007 (and additional analysis).		['']	CA	PER_POP_U5	<5Y	G
SH_STA_STUNT	Proportion of children moderately or severely stunted (%)	604	Peru	2007.0	27.97197	Float						Encuesta demografica y de salud familiar. Informe principal: ENDES continua 2007-2008.  Demographic and Health Surveys. Lima, Peru: INEI, USAID y ORC Macro, 2009 (and additional analysis).		['']	CA	PER_POP_U5	<5Y	G
SH_STA_STUNT	Proportion of children moderately or severely stunted (%)	604	Peru	2009.0	23.89083	Float						Encuesta demografica y de salud familiar - ENDES continua 2009.  Demographic and Health Surveys. Lima, Peru: INEI, USAID y ORC Macro, 2010 (and additional analysis).		['']	CA	PER_POP_U5	<5Y	G
SH_STA_STUNT	Proportion of children moderately or severely stunted (%)	604	Peru	2010.0	23.29954	Float						Encuesta demografica y de salud familiar - ENDES continua 2010.  Demographic and Health Surveys. Lima, Peru: INEI, USAID y ORC Macro, 2011 (and additional analysis).		['']	CA	PER_POP_U5	<5Y	G
SH_STA_STUNT	Proportion of children moderately or severely stunted (%)	604	Peru	2011.0	19.54488	Float						Encuesta demografica y de salud familiar - ENDES continua 2011. Demographic and Health Surveys. Lima, Peru: INEI, USAID y ORC Macro, 2012 (and additional analysis).		['']	CA	PER_POP_U5	<5Y	G
SH_STA_STUNT	Proportion of children moderately or severely stunted (%)	604	Peru	2012.0	18.35114	Float						Encuesta demografica y de salud familiar - ENDES continua 2012. Demographic and Health Surveys. Lima, Peru: INEI, USAID y ORC Macro, 2013 (and additional analysis).		['']	CA	PER_POP_U5	<5Y	G
SH_STA_STUNT	Proportion of children moderately or severely stunted (%)	604	Peru	2013.0	17.67127	Float						Encuesta demografica y de salud familiar – ENDES continua 2013 Nacional y Departmental. Demographic and Health Surveys. Lima, Peru: INEI, 2013 (and additional analysis)		['']	CA	PER_POP_U5	<5Y	G
SH_STA_STUNT	Proportion of children moderately or severely stunted (%)	604	Peru	2014.0	14.81649	Float						Encuesta demografica y de salud familiar - ENDES continua 2014. Demographic and Health Surveys. Lima, Peru: INEI,2015 (and additional analysis)		['']	CA	PER_POP_U5	<5Y	G
SH_STA_STUNT	Proportion of children moderately or severely stunted (%)	604	Peru	2015.0	14.70939	Float						Encuesta Demográfica y de Salud Familiar-ENDES 2015 Nacional y Departamental (and additional analysis)		['']	CA	PER_POP_U5	<5Y	G
SH_STA_STUNT	Proportion of children moderately or severely stunted (%)	604	Peru	2016.0	13.07596	Float						Perú Encuesta Demografica y de salud Familiar 2016: nacional y regional, 2017 (and additional analysis)		['']	CA	PER_POP_U5	<5Y	G
SH_STA_STUNT	Proportion of children moderately or severely stunted (%)	604	Peru	2017.0	12.87862	Float						Encuesta Demográfica y de Salud Familiar-ENDES 2017 Nacional y Departamental (and additional analysis)		['']	CA	PER_POP_U5	<5Y	G
SH_STA_STUNT	Proportion of children moderately or severely stunted (%)	604	Peru	2018.0	12.16748	Float						Encuesta Demográfica y de Salud Familiar-ENDES 2018 Nacional y Departamental		['']	CA	PER_POP_U5	<5Y	G
