series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Sex	Reporting Type	Disability status	Grounds of discrimination
VC_VOV_GDSD	Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)	348	Hungary	2015.0	0.9	Float						National Statistical Office - Labour Force Survey		['Time period: refers to occurrences in his/her life instead of the last 5 years and last 12 months. Population: Living in private households. Age: 15-64 years. Sample size: 18749 women and 17824 men. Discrimination grounds (7): origin (nationality, citizenship), educational attainment, health state, gender, age, family circumstances (e.g. kid, elderly care, patient care), other reason. ']	C	PERCENT	MALE	G	_T	OTHER
VC_VOV_GDSD	Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)	348	Hungary	2015.0	0.7	Float						National Statistical Office - Labour Force Survey		['Time period: refers to occurrences in his/her life instead of the last 5 years and last 12 months. Population: Living in private households. Age: 15-64 years. Sample size: 18749 women and 17824 men. Discrimination grounds (7): origin (nationality, citizenship), educational attainment, health state, gender, age, family circumstances (e.g. kid, elderly care, patient care), other reason. ']	C	PERCENT	FEMALE	G	_T	OTHER
VC_VOV_GDSD	Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)	348	Hungary	2015.0	0.7	Float						National Statistical Office - Labour Force Survey		['Time period: refers to occurrences in his/her life instead of the last 5 years and last 12 months. Population: Living in private households. Age: 15-64 years. Sample size: 18749 women and 17824 men. Discrimination grounds (7): origin (nationality, citizenship), educational attainment, health state, gender, age, family circumstances (e.g. kid, elderly care, patient care), other reason. ']	C	PERCENT	BOTHSEX	G	PWD	OTHER
VC_VOV_GDSD	Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)	348	Hungary	2015.0	1.2	Float						National Statistical Office - Labour Force Survey		['Time period: refers to occurrences in his/her life instead of the last 5 years and last 12 months. Population: Living in private households. Age: 15-64 years. Sample size: 18749 women and 17824 men. Discrimination grounds (7): origin (nationality, citizenship), educational attainment, health state, gender, age, family circumstances (e.g. kid, elderly care, patient care), other reason. ']	C	PERCENT	BOTHSEX	G	PD	OTHER
VC_VOV_GDSD	Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)	348	Hungary	2015.0	0.8	Float						National Statistical Office - Labour Force Survey		['Time period: refers to occurrences in his/her life instead of the last 5 years and last 12 months. Population: Living in private households. Age: 15-64 years. Sample size: 18749 women and 17824 men. Discrimination grounds (7): origin (nationality, citizenship), educational attainment, health state, gender, age, family circumstances (e.g. kid, elderly care, patient care), other reason. ']	C	PERCENT	BOTHSEX	G	_T	OTHER
VC_VOV_GDSD	Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)	348	Hungary	2015.0	0.8	Float						National Statistical Office - Labour Force Survey		['Time period: refers to occurrences in his/her life instead of the last 5 years and last 12 months. Population: Living in private households. Age: 15-64 years. Sample size: 18749 women and 17824 men. Discrimination grounds (7): origin (nationality, citizenship), educational attainment, health state, gender, age, family circumstances (e.g. kid, elderly care, patient care), other reason. ']	C	PERCENT	MALE	G	_T	MARFAM
VC_VOV_GDSD	Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)	348	Hungary	2015.0	5.6	Float						National Statistical Office - Labour Force Survey		['Time period: refers to occurrences in his/her life instead of the last 5 years and last 12 months. Population: Living in private households. Age: 15-64 years. Sample size: 18749 women and 17824 men. Discrimination grounds (7): origin (nationality, citizenship), educational attainment, health state, gender, age, family circumstances (e.g. kid, elderly care, patient care), other reason. ']	C	PERCENT	FEMALE	G	_T	MARFAM
VC_VOV_GDSD	Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)	348	Hungary	2015.0	3.1	Float						National Statistical Office - Labour Force Survey		['Time period: refers to occurrences in his/her life instead of the last 5 years and last 12 months. Population: Living in private households. Age: 15-64 years. Sample size: 18749 women and 17824 men. Discrimination grounds (7): origin (nationality, citizenship), educational attainment, health state, gender, age, family circumstances (e.g. kid, elderly care, patient care), other reason. ']	C	PERCENT	BOTHSEX	G	PWD	MARFAM
VC_VOV_GDSD	Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)	348	Hungary	2015.0	4.2	Float						National Statistical Office - Labour Force Survey		['Time period: refers to occurrences in his/her life instead of the last 5 years and last 12 months. Population: Living in private households. Age: 15-64 years. Sample size: 18749 women and 17824 men. Discrimination grounds (7): origin (nationality, citizenship), educational attainment, health state, gender, age, family circumstances (e.g. kid, elderly care, patient care), other reason. ']	C	PERCENT	BOTHSEX	G	PD	MARFAM
VC_VOV_GDSD	Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)	348	Hungary	2015.0	3.3	Float						National Statistical Office - Labour Force Survey		['Time period: refers to occurrences in his/her life instead of the last 5 years and last 12 months. Population: Living in private households. Age: 15-64 years. Sample size: 18749 women and 17824 men. Discrimination grounds (7): origin (nationality, citizenship), educational attainment, health state, gender, age, family circumstances (e.g. kid, elderly care, patient care), other reason. ']	C	PERCENT	BOTHSEX	G	_T	MARFAM
VC_VOV_GDSD	Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)	348	Hungary	2015.0	16.0	Float						National Statistical Office - Labour Force Survey		['Time period: refers to occurrences in his/her life instead of the last 5 years and last 12 months. Population: Living in private households. Age: 15-64 years. Sample size: 18749 women and 17824 men. Discrimination grounds (7): origin (nationality, citizenship), educational attainment, health state, gender, age, family circumstances (e.g. kid, elderly care, patient care), other reason. ']	C	PERCENT	FEMALE	G	_T	ALL
VC_VOV_GDSD	Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)	348	Hungary	2015.0	12.7	Float						National Statistical Office - Labour Force Survey		['Time period: refers to occurrences in his/her life instead of the last 5 years and last 12 months. Population: Living in private households. Age: 15-64 years. Sample size: 18749 women and 17824 men. Discrimination grounds (7): origin (nationality, citizenship), educational attainment, health state, gender, age, family circumstances (e.g. kid, elderly care, patient care), other reason. ']	C	PERCENT	BOTHSEX	G	PWD	ALL
VC_VOV_GDSD	Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)	348	Hungary	2015.0	30.1	Float						National Statistical Office - Labour Force Survey		['Time period: refers to occurrences in his/her life instead of the last 5 years and last 12 months. Population: Living in private households. Age: 15-64 years. Sample size: 18749 women and 17824 men. Discrimination grounds (7): origin (nationality, citizenship), educational attainment, health state, gender, age, family circumstances (e.g. kid, elderly care, patient care), other reason. ']	C	PERCENT	BOTHSEX	G	PD	ALL
VC_VOV_GDSD	Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)	348	Hungary	2015.0	14.6	Float						National Statistical Office - Labour Force Survey		['Time period: refers to occurrences in his/her life instead of the last 5 years and last 12 months. Population: Living in private households. Age: 15-64 years. Sample size: 18749 women and 17824 men. Discrimination grounds (7): origin (nationality, citizenship), educational attainment, health state, gender, age, family circumstances (e.g. kid, elderly care, patient care), other reason. ']	C	PERCENT	BOTHSEX	G	_T	ALL
VC_VOV_GDSD	Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)	348	Hungary	2015.0	13.3	Float						National Statistical Office - Labour Force Survey		['Time period: refers to occurrences in his/her life instead of the last 5 years and last 12 months. Population: Living in private households. Age: 15-64 years. Sample size: 18749 women and 17824 men. Discrimination grounds (7): origin (nationality, citizenship), educational attainment, health state, gender, age, family circumstances (e.g. kid, elderly care, patient care), other reason. ']	C	PERCENT	MALE	G	_T	ALL
