series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Sex	Reporting Type	Disability status
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	554	New Zealand	2017.0	4.6	Float						LFS - Household Labour Force Survey		['']	C	PERCENT	BOTHSEX	G	_T
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	554	New Zealand	2017.0	11.4	Float						LFS - Household Labour Force Survey		['']	C	PERCENT	BOTHSEX	G	PD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	554	New Zealand	2017.0	4.6	Float						LFS - Household Labour Force Survey		['']	C	PERCENT	FEMALE	G	PWD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	554	New Zealand	2017.0	13.2	Float						LFS - Household Labour Force Survey		['']	C	PERCENT	FEMALE	G	PD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	554	New Zealand	2017.0	4.8	Float						LFS - Household Labour Force Survey		['']	C	PERCENT	FEMALE	G	_T
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	554	New Zealand	2017.0	4.4	Float						LFS - Household Labour Force Survey		['']	C	PERCENT	MALE	G	PWD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	554	New Zealand	2017.0	9.9	Float						LFS - Household Labour Force Survey		['']	C	PERCENT	MALE	G	PD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	554	New Zealand	2017.0	4.5	Float						LFS - Household Labour Force Survey		['']	C	PERCENT	MALE	G	_T
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	554	New Zealand	2017.0	4.5	Float						LFS - Household Labour Force Survey		['']	C	PERCENT	BOTHSEX	G	PWD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	554	New Zealand	2018.0	4.2	Float						LFS - Household Labour Force Survey		['']	C	PERCENT	MALE	G	_T
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	554	New Zealand	2018.0	4.3	Float						LFS - Household Labour Force Survey		['']	C	PERCENT	BOTHSEX	G	PWD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	554	New Zealand	2018.0	10.6	Float						LFS - Household Labour Force Survey		['']	C	PERCENT	BOTHSEX	G	PD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	554	New Zealand	2018.0	4.4	Float						LFS - Household Labour Force Survey		['']	C	PERCENT	BOTHSEX	G	_T
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	554	New Zealand	2018.0	4	Float						LFS - Household Labour Force Survey		['']	C	PERCENT	MALE	G	PWD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	554	New Zealand	2018.0	11.2	Float						LFS - Household Labour Force Survey		['']	C	PERCENT	MALE	G	PD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	554	New Zealand	2018.0	4.5	Float						LFS - Household Labour Force Survey		['']	C	PERCENT	FEMALE	G	PWD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	554	New Zealand	2018.0	10.1	Float						LFS - Household Labour Force Survey		['']	C	PERCENT	FEMALE	G	PD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	554	New Zealand	2018.0	4.6	Float						LFS - Household Labour Force Survey		['']	C	PERCENT	FEMALE	G	_T
