series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Sex	Disability status	Reporting Type
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	51	Armenia	2008.0	25.51	Float						LFS - Household Labour Force Survey		['Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old']	C	PERCENT	FEMALE	PWD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	51	Armenia	2008.0	45.67	Float						LFS - Household Labour Force Survey		['Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old']	C	PERCENT	FEMALE	PD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	51	Armenia	2008.0	25.86	Float						LFS - Household Labour Force Survey		['Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old']	C	PERCENT	FEMALE	_T	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	51	Armenia	2008.0	25.76	Float						LFS - Household Labour Force Survey		['Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old']	C	PERCENT	BOTHSEX	PD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	51	Armenia	2008.0	22.91	Float						LFS - Household Labour Force Survey		['Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old']	C	PERCENT	BOTHSEX	PWD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	51	Armenia	2008.0	20.47	Float						LFS - Household Labour Force Survey		['Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old']	C	PERCENT	MALE	_T	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	51	Armenia	2008.0	20.62	Float						LFS - Household Labour Force Survey		['Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old']	C	PERCENT	MALE	PWD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	51	Armenia	2008.0	15.65	Float						LFS - Household Labour Force Survey		['Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old']	C	PERCENT	MALE	PD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	51	Armenia	2008.0	22.97	Float						LFS - Household Labour Force Survey		['Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old']	C	PERCENT	BOTHSEX	_T	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	51	Armenia	2014.0	19.52	Float						LFS - Household Labour Force Survey		['Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old']	C	PERCENT	FEMALE	PWD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	51	Armenia	2014.0	15.59	Float						LFS - Household Labour Force Survey		['Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old']	C	PERCENT	MALE	PWD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	51	Armenia	2014.0	19.38	Float						LFS - Household Labour Force Survey		['Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old']	C	PERCENT	FEMALE	_T	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	51	Armenia	2014.0	18.39	Float						LFS - Household Labour Force Survey		['Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old']	C	PERCENT	MALE	PD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	51	Armenia	2014.0	12.4	Float						LFS - Household Labour Force Survey		['Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old']	C	PERCENT	FEMALE	PD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	51	Armenia	2014.0	15.68	Float						LFS - Household Labour Force Survey		['Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old']	C	PERCENT	MALE	_T	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	51	Armenia	2014.0	17.5	Float						LFS - Household Labour Force Survey		['Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old']	C	PERCENT	BOTHSEX	_T	G
