series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
EN_HAZ_PCAP	Hazardous waste generated, per capita (Kg)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			[2004, 2006, 2008, 2010, 2012, 2014, 2016]	2004	2016	7	KG	Kilograms	G	Global					1536.536659		1777.255327		1736.631848		1830.416404		1833.972584		1684.620754		1863.609327		1863.609327				UNSTATS / Environment Live 		C: Country data
EN_HAZ_PCAP	Hazardous waste generated, per capita (Kg)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			[2012, 2013, 2014, 2015, 2016, 2017]	2012	2017	6	KG	Kilograms	G	Global													0.00555	0.004648	0.005604	0.006815	0.009991	0.014686	0.014686				UNSTATS / Environment Live 		C: Country data
EN_HAZ_PCAP	Hazardous waste generated, per capita (Kg)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	KG	Kilograms	G	Global	7.353118	10.038528	11.915206	12.722209	15.934852	19.959065	24.943344	33.735264	54.916678	80.167348	96.927385	99.614056	139.656866	150.201234	182.784341	127.952484	172.207531	176.509934	176.509934			[2005-2017]: Hazardous waste generated during the year includes the import of waste during the year.	UNSTATS / Environment Live 		C: Country data
EN_HAZ_PCAP	Hazardous waste generated, per capita (Kg)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			[2003, 2007]	2003	2007	2	KG	Kilograms	G	Global				10.029776				9.478113											9.478113			[2003]: Quantity of hazardous waste in permanent storage.	UNSTATS / Environment Live 		C: Country data
EN_HAZ_PCAP	Hazardous waste generated, per capita (Kg)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1			[2004, 2005, 2006, 2007, 2008, 2009]	2004	2009	6	KG	Kilograms	G	Global					0.341145	0.541296	0.569506	0.455337	0.490998	0.448557									0.448557				UNSTATS / Environment Live 		C: Country data
EN_HAZ_PCAP	Hazardous waste generated, per capita (Kg)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1			[2014]	2014	2014	1	KG	Kilograms	G	Global															6.847566				6.847566			"[""Source: 'Inventory Report, Cabo Verde - Final Draft' from the Basel Convention.""]"	UNSTATS / Environment Live 		C: Country data
EN_HAZ_PCAP	Hazardous waste generated, per capita (Kg)	156	China	4	30	Eastern Asia	Country	104.1403375	32.30955217	CHN	1	1			[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	KG	Kilograms	G	Global	6.46821	7.374485	7.708025	8.956294	7.572256	8.792216	8.155226	8.071511	10.093608	10.57639	11.66938	25.091549	25.198106	22.680707	25.963841	28.262544	37.81551	48.816207	48.816207			[2011]: Statistical coverage has broadened from industrial and daily living sources to the following five parts: industrial, agricultural, urban living, motor vehicles and centralized pollution treatment facilities.	UNSTATS / Environment Live 		C: Country data
EN_HAZ_PCAP	Hazardous waste generated, per capita (Kg)	191	Croatia	4	39	Southern Europe	Country	17.95874553	45.45172212	HRV	1	1			[2004, 2006, 2008, 2010, 2012, 2014, 2016]	2004	2016	7	KG	Kilograms	G	Global					25.843994		176.42853		50.809571		16.76304		28.259808		30.604735		41.421029		41.421029				UNSTATS / Environment Live 		C: Country data
EN_HAZ_PCAP	Hazardous waste generated, per capita (Kg)	192	Cuba	5	29	Caribbean	Country	-79.54460144	22.10030366	CUB	1	1			[2004, 2005, 2006, 2007, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2004	2017	12	KG	Kilograms	G	Global					54.481159	83.425017	110.98151	125.384576			58.303452	44.092152	49.658122	44.011543	36.446742	26.743131	20.370075	20.733108	20.733108				UNSTATS / Environment Live 		C: Country data
EN_HAZ_PCAP	Hazardous waste generated, per capita (Kg)	196	Cyprus	4	145	Western Asia	Country	33.22285964	35.05659437	CYP	1	1			[2004, 2006, 2008, 2010, 2012, 2014, 2016]	2004	2016	7	KG	Kilograms	G	Global					109.97219		16.22272		21.992246		21.364237		27.372073		150.178296		135.943852		135.943852				UNSTATS / Environment Live 		C: Country data
EN_HAZ_PCAP	Hazardous waste generated, per capita (Kg)	20	Andorra	4	39	Southern Europe	Country	1.576257417	42.54548611	AND	1	1			[2013, 2014, 2015, 2016, 2017]	2013	2017	5	KG	Kilograms	G	Global														12.083694	26.27094	22.925134	24.883887	19.838435	19.838435			[2015-2017]: Basel Convention: Y1-Y45.	UNSTATS / Environment Live 		C: Country data
EN_HAZ_PCAP	Hazardous waste generated, per capita (Kg)	203	Czechia	4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1			[2004, 2006, 2008, 2010, 2012, 2014, 2016]	2004	2016	7	KG	Kilograms	G	Global					141.219387		126.922067		144.908466		129.349564		139.918322		109.74701		102.526371		102.526371				UNSTATS / Environment Live 		C: Country data
EN_HAZ_PCAP	Hazardous waste generated, per capita (Kg)	204	Benin	5	11	Western Africa	Country	2.339933594	9.65401646	BEN	1	1			[2002]	2002	2002	1	KG	Kilograms	G	Global			0.23275																0.23275			Data refer to biomedical waste.	UNSTATS / Environment Live 		C: Country data
