series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
IT_USE_ii99	Internet users per 100 inhabitants	1	World	1			Region								[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PER_100_POP	Per 100 population	G	Global	6.53	8.06	10.66	12.31	14.19	15.68	17.35	20.41	22.88	25.27	28.71	31.15	34.21	36.64	39.74	41.55	44.56	49.72	51.37	51.37				Data based on the World Telecommunication/ICT Indicators Database, 2019, International Telecommunication Union (ITU)		_X: Data nature not available
IT_USE_ii99	Internet users per 100 inhabitants	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PER_100_POP	Per 100 population	G	Global	5.371	7.612	9.08	12.04	18.13	19.97	27.09	33.64	39.67	45.0	46.23	47.98	51.9	53.062	55.49	56.656	59.826	63.41	64.782	64.782			[2004-2008,2013-2015]: Population age 16-74. // [2009-2010]: Population age 16-74.   // [2011]:  Users in the last 3 months. Age 16-74. // [2012]:  Users in the last 3 months.	[2000-2001]: Bulgarian Telecommunications Company Ltd. // [2002-2003,2005]: Communications Regulation Commission. // [2004,2006,2014]: Eurostat // [2007-2010]: Communications Regulation Commission // [2011-2013,2015]: Eurostat. // [2016-2018]: National Statistical Institute		_X: Data nature not available
IT_USE_ii99	Internet users per 100 inhabitants	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2001	2017	17	PER_100_POP	Per 100 population	G	Global		0.0	0.0	0.024	0.024	0.065	0.182	0.217	0.22	0.22	0.25	0.98	4.0	8.0	11.52	21.726	25.073	30.678		30.678				[2001-2005]: ITU // [2006-2007]: Ministry of Communications, Posts and Telegraphs. // [2008,2010-2011]: Ministry of Communications, Posts and Telegraphs // [2009,2012-2015,2017]: ITU estimate. // [2016]: ITU Estimate.		_X: Data nature not available
IT_USE_ii99	Internet users per 100 inhabitants	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PER_100_POP	Per 100 population	G	Global	0.077	0.106	0.118	0.201	0.349	0.542	0.658	0.7	0.81	0.9	1.0	1.11	1.22	1.264	1.38	4.866	5.174	2.661		2.661			[2013]: Population age 5+.	[2000-2006]: ITU // [2007-2008]: Agence de RĂŠgulation et de ContrĂ´le des TĂŠlĂŠcommunications (ARCT) // [2009-2010]: ITU estimate.  // [2011-2012,2014-2015]: ITU estimate. // [2013,2017]: Institut de Statistiques et d'tudes Economiques // [2016]: ITU Estimate.		_X: Data nature not available
IT_USE_ii99	Internet users per 100 inhabitants	11	Western Africa	4	202	Sub-Saharan Africa	Region								[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PER_100_POP	Per 100 population	G	Global	0.13	0.21	0.42	0.67	1.23	2.47	3.69	4.53	5.31	6.17	7.73	9.25	10.92	13.82	16.75	27.21	nan	33.71	35.82	35.82				Data based on the World Telecommunication/ICT Indicators Database, 2019, International Telecommunication Union (ITU)		_X: Data nature not available
IT_USE_ii99	Internet users per 100 inhabitants	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			[2000, 2001, 2002, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	16	PER_100_POP	Per 100 population	G	Global	1.86	4.301	8.951				16.2	19.7	23.0	27.43	31.8	39.649	46.91	54.17	59.02	62.23	71.113	74.436	79.13	79.13			[2006-2012]: Population age 16+. // [2013]: Population age 6+ (break in comparability, before 16+). // [2014]: Population age 6+. // [2015]: During the recent 12 months. // [2016-2017]: during the recent 12 months	[2000-2002]: Beltelecom. // [2006-2008]: National Statistical Committee. // [2009-2010,2012-2017]: National Statistical Committee of the Republic of Belarus (Belstat) // [2011]: National Statistical Committee of the Republic of Belarus // [2018]: ĐĐ°ŃĐ¸ĐžĐ˝Đ°ĐťŃĐ˝ŃĐš ŃŃĐ°ŃĐ¸ŃŃĐ¸ŃĐľŃĐşĐ¸Đš ĐşĐžĐźĐ¸ŃĐľŃ Đ ĐľŃĐżŃĐąĐťĐ¸ĐşĐ¸ ĐĐľĐťĐ°ŃŃŃŃ		_X: Data nature not available
IT_USE_ii99	Internet users per 100 inhabitants	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1			[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PER_100_POP	Per 100 population	G	Global	0.047	0.077	0.227	0.261	0.3	0.317	0.468	0.49	0.51	0.53	1.26	3.1	4.94	6.8	14.0	6.433	32.398	32.447	40.0	40.0			"[2013]: [""Based on Cambodia's Inter-censal Population Survey 2013 and growth of mobile broadband.""]"	[2000-2005]: Ministry of Post and Telecommunications (MPTC). // [2006,2011,2014]: ITU estimate. // [2007-2009]: MINISTRY OF POSTS & TELECOMMUNICATIONS OF CAMBODIA (MPTC) // [2010]: Ministry of Posts and Telecommunications // [2012,2015-2018]: National Institute of Statistics // [2013]: ITU estimate based on National Institute of Statistics		_X: Data nature not available
IT_USE_ii99	Internet users per 100 inhabitants	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PER_100_POP	Per 100 population	G	Global	0.492	0.646	1.592	2.195	4.634	5.844	7.376	9.451	10.18	11.23	12.5	14.9	18.2	22.5	29.5	38.2	42.946	47.691	49.038	49.038				[2000-2005]: ITU // [2006-2007]: AutoritĂŠ de RĂŠgulation de la Poste et des TĂŠlecommunications (ARPT). // [2008-2010]: AutoritĂŠ de RĂŠgulation de la Poste et des TĂŠlĂŠcommunications // [2011]: ITU estimate.  // [2012-2015,2017]: ITU estimate. // [2016]: ITU Estimate. // [2018]: Ministry of Post, Telecommunications, Technologies and Digital		_X: Data nature not available
IT_USE_ii99	Internet users per 100 inhabitants	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1			[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PER_100_POP	Per 100 population	G	Global	0.252	0.277	0.361	0.588	0.976	1.403	2.029	2.93	3.4	3.84	4.3	5.0	7.5	10.0	16.215	20.68	23.203	23.203		23.203			[2014]: Population age 15+. // [2017]: masculin + fĂŠminin	[2000-2006]: ITU // [2007,2009]: Agence de RĂŠgulation des Statistiques // [2008,2010,2012-2013,2015]: ITU estimate. // [2011]: ITU estimate.  // [2014,2017]: Institut National de la Statistique // [2016]: ITU Estimate2.		_X: Data nature not available
IT_USE_ii99	Internet users per 100 inhabitants	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PER_100_POP	Per 100 population	G	Global	51.3	60.2	61.593	64.2	65.956	71.66	72.4	73.2	76.7	80.3	80.3	83.0	83.0	85.8	87.12	90.0	91.16	91.0		91.0			"[2000-2004]: Survey result, scope age unknown. // [2005,2007,2009]: Population age 16+. // [2006]: [""Estimated based on Survey's results 2005 and 2007. Population age 16+.""] // [2008]: [""Estimate based on Survey's results 2007 and 2009. Population age 16+.""] // [2010]: Population age 16+. Survey was redesigned, therefore comparison with previous years should not be done. // [2012]: Residents of Canada 16 years of age or older excluding: Residents of the Yukon, Northwest Territories and Nunavut, Inmates of Institutions, Persons living on Indian Reserves, and Full time members of the Canadian Forces. // [2015,2017]: 18+"	[2000-2005,2007,2009-2010]: Statistics Canada. // [2006,2008,2011,2013-2014]: ITU estimate. // [2012]: CIUS. // [2015,2017]: Pew // [2016]: Statistics Canada		_X: Data nature not available
