series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	sex_code	sex_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	value_2019	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	37.46	40.52	42.31	37.8	41.43	40.61	37.56	36.41	36.51	35.79	38.63	37.0	35.5	36.0	35.36	37.38	39.28	39.29	39.28		39.28			Repository: Eurostat special tabulation	LFS - EU Labour Force Survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			F	Female	[2015, 2017, 2018]	2015	2018	3	PT	Percentage	G	Global																28.34		31.48	32.06		32.06			[2015]: Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised // [2017-2018]: Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers	LFS - Labour force survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1			F	Female	[2000, 2001, 2012]	2000	2012	3	PT	Percentage	G	Global	15.36	10.56											16.67								16.67			[2000,2012]: Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised // [2001]: Repository: ILO-STATISTICS - Micro data processing	LFS - Labour force survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	144	Sri Lanka	4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1			F	Female	[2010, 2011, 2013, 2014, 2015, 2016]	2010	2016	6	PT	Percentage	G	Global											23.73	25.35		23.32	24.0	23.74	25.64				25.64			[2010-2011]: Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised // [2013-2016]: Repository: ILO-STATISTICS - Micro data processing	LFS - Sri Lanka Labour Force Survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	180	Democratic Republic of the Congo	5	17	Middle Africa	Country	23.65496507	-2.877154732	COD	1	1			F	Female	[2005]	2005	2005	1	PT	Percentage	G	Global						5.73															5.73			Repository: ILO-STATISTICS - Micro data processing	LFS - Survey 1-2-3, Employment, informal sector and household's living conditions		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	191	Croatia	4	39	Southern Europe	Country	17.95874553	45.45172212	HRV	1	1			F	Female	[2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2002	2018	17	PT	Percentage	G	Global			26.75	28.26	17.51	28.21	27.47	22.72	32.1	37.2	27.43	23.57	25.77	23.87	24.37	26.12	29.5	27.88	26.09		26.09			Repository: Eurostat special tabulation	LFS - EU Labour Force Survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	196	Cyprus	4	145	Western Asia	Country	33.22285964	35.05659437	CYP	1	1			F	Female	[2000, 2001, 2002, 2004, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	16	PT	Percentage	G	Global	18.49	18.55	17.3		17.0		17.23	17.69	20.44	13.76	14.32	14.67	16.44	18.7	18.14	25.22	26.99	22.35			22.35			Repository: Eurostat special tabulation	LFS - EU Labour Force Survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	203	Czechia	4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1			F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	26.79	29.33	28.54	31.73	30.2	31.6	30.7	29.5	29.29	28.91	27.84	24.04	23.11	24.54	26.62	27.8	23.11	24.14	26.63		26.63			Repository: Eurostat special tabulation	LFS - EU Labour Force Survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	208	Denmark	4	154	Northern Europe	Country	9.326571283	56.03829721	DNK	1	1			F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	19.74	17.57	17.88	20.48	20.62	21.36	20.36	25.3	19.85	20.39	19.49	28.64	28.82	27.46	26.2	26.9	28.58	27.58	26.99		26.99			Repository: Eurostat special tabulation	LFS - EU Labour Force Survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	214	Dominican Republic	5	29	Caribbean	Country	-70.49847576	18.89832088	DOM	1	1			F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	36.94	40.03	31.5	39.05	40.33	45.09	45.0	38.58	37.51	45.37	46.2	51.83	57.97	46.59	46.67	48.92	47.44	50.49			50.49			[2000]: Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised // [2001-2017]: Repository: ILO-STATISTICS - Micro data processing	[2000-2014]: LFS - National Labour Force Survey // [2015-2017]: LFS - Continuous National Labour Force Survey		C: Country data
