series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	sex_code	sex_desc	typeOfOccupation_code	typeOfOccupation_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
SH_MED_HWRKDIS	Health worker distribution, by sex and type of occupation (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			M	Male	ISCO08_221	Medical doctors	[2014, 2015]	2014	2015	2	PT	Percentage	G	Global															44.4	44.9				44.9				Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.		C: Country data
SH_MED_HWRKDIS	Health worker distribution, by sex and type of occupation (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			F	Female	ISCO08_221	Medical doctors	[2014, 2015]	2014	2015	2	PT	Percentage	G	Global															55.6	55.1				55.1				Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.		C: Country data
SH_MED_HWRKDIS	Health worker distribution, by sex and type of occupation (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			F	Female	ISCO08_221	Medical doctors	[2017, 2018]	2017	2018	2	PT	Percentage	G	Global																		57.5	56.8	56.8				Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.		C: Country data
SH_MED_HWRKDIS	Health worker distribution, by sex and type of occupation (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			M	Male	ISCO08_221	Medical doctors	[2017, 2018]	2017	2018	2	PT	Percentage	G	Global																		42.5	43.2	43.2				Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.		C: Country data
SH_MED_HWRKDIS	Health worker distribution, by sex and type of occupation (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			F	Female	ISCO08_222	Nursing personnel	[2017, 2018]	2017	2018	2	PT	Percentage	G	Global																		97.0	96.1	96.1				Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.		C: Country data
SH_MED_HWRKDIS	Health worker distribution, by sex and type of occupation (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			M	Male	ISCO08_222	Nursing personnel	[2017, 2018]	2017	2018	2	PT	Percentage	G	Global																		3.0	4.0	4.0				Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.		C: Country data
SH_MED_HWRKDIS	Health worker distribution, by sex and type of occupation (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			M	Male	ISCO08_221	Medical doctors	[2011, 2017]	2011	2017	2	PT	Percentage	G	Global												81.8						75.3		75.3				Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.		C: Country data
SH_MED_HWRKDIS	Health worker distribution, by sex and type of occupation (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			F	Female	ISCO08_221	Medical doctors	[2011, 2017]	2011	2017	2	PT	Percentage	G	Global												18.2						24.7		24.7				Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.		C: Country data
SH_MED_HWRKDIS	Health worker distribution, by sex and type of occupation (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			M	Male	ISCO08_222	Nursing personnel	[2011, 2017]	2011	2017	2	PT	Percentage	G	Global												37.0						42.5		42.5				Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.		C: Country data
SH_MED_HWRKDIS	Health worker distribution, by sex and type of occupation (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			F	Female	ISCO08_222	Nursing personnel	[2011, 2017]	2011	2017	2	PT	Percentage	G	Global												63.0						57.5		57.5				Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.		C: Country data
