series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	location_code	location_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_1990	value_1991	value_1992	value_1993	value_1994	value_1995	value_1996	value_1997	value_1998	value_1999	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			_T	All areas	[2000, 2001, 2002, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	15	PT	Percentage	G	Global											14.0	16.0	14.0			18.4	22.0	21.4	21.8	20.7	22.2	21.2	21.0	21.8	22.0	22.9	23.4			23.4			[2000-2002]: Source: Eurostat. // [2005-2016]: Source: Eurostat. Poverty line is relative. Government estimate.	World Development Indicators database, World Bank		CA: Country adjusted data
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			_T	All areas	[2005, 2010, 2015]	2005	2015	3	PT	Percentage	G	Global																48.2					42.4					32.1				32.1			Source: Ministry of Planning and Finance and World Bank. An analysis of Poverty in Myanmar. Poverty line is absolute. Government estimate.	World Development Indicators database, World Bank		CA: Country adjusted data
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			_T	All areas	[2006, 2013, 2014]	2006	2014	3	PT	Percentage	G	Global																	67.1							64.9	64.9					64.9			[2006,2014]: Source: ECVMB 2014. Poverty line is absolute. Government estimate. // [2013]: Source: ECVMB 2013/2014. Poverty line is absolute. Government estimate.	World Development Indicators database, World Bank		CA: Country adjusted data
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			U	Urban	[2014]	2014	2014	1	PT	Percentage	G	Global																									27.6					27.6			Source: ECVMB 2014. Poverty line is absolute. Government estimate.	World Development Indicators database, World Bank		CA: Country adjusted data
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			R	Rural	[2014]	2014	2014	1	PT	Percentage	G	Global																									68.8					68.8			Source: ECVMB 2014. Poverty line is absolute. Government estimate.	World Development Indicators database, World Bank		CA: Country adjusted data
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			U	Urban	[2000, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]	2000	2015	12	PT	Percentage	G	Global											37.9					10.9	9.1	5.6	4.4	4.0	3.8	5.8	5.2	4.2	3.7	3.7				3.7			Source: Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate.	World Development Indicators database, World Bank		CA: Country adjusted data
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			R	Rural	[2000, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]	2000	2015	12	PT	Percentage	G	Global											50.8					16.7	15.5	12.4	9.7	9.5	8.9	11.5	9.4	9.0	7.9	8.7				8.7			Source: Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate.	World Development Indicators database, World Bank		CA: Country adjusted data
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			_T	All areas	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global											41.9	28.9	30.5	27.1	17.8	12.7	11.1	7.7	6.1	5.4	5.2	7.3	6.3	5.5	4.8	5.1	5.7	5.9		5.9			Source: Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate.	World Development Indicators database, World Bank		CA: Country adjusted data
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1			_T	All areas	[2003, 2006, 2008, 2009, 2010, 2011, 2012]	2003	2012	7	PT	Percentage	G	Global														50.2			45.0		34.0	23.9	22.1	20.5	17.7							17.7			"[2003,2006,2008-2011]: Source: WB Staff estimates. Cambodia Poverty Assessment 2013 ""Where Have All The Poor Gone?"", May 2013. The welfare measure used is consumption per capita. Poverty line is absolute. World Bank estimate. // [2012]: Source: WB estimates The welfare measure used is consumption per capita. Poverty line is absolute. World Bank estimate."	World Development Indicators database, World Bank		CA: Country adjusted data
SI_POV_NAHC	Proportion of population living below the national poverty line (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1			U	Urban	[2003, 2006, 2008, 2009, 2010, 2011, 2012]	2003	2012	7	PT	Percentage	G	Global														28.5			18.3		15.1	8.0	8.5	8.7	6.4							6.4			"[2003,2006,2008-2011]: Source: WB Staff estimates. Cambodia Poverty Assessment 2013 ""Where Have All The Poor Gone?"", May 2013. The welfare measure used is consumption per capita. Poverty line is absolute. World Bank estimate. // [2012]: Source: WB estimates The welfare measure used is consumption per capita. Poverty line is absolute. World Bank estimate."	World Development Indicators database, World Bank		CA: Country adjusted data
