series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
NV_IND_SSIS	Proportion of small-scale industries in total industry value added (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			[2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2002	2017	16	PT	Percentage	G	Global			9.09	9.67	8.36	7.87	8.49	8.96	11.32	11.73	10.13	9.19	10.16	10.32	10.07	10.16	9.42	9.27	9.27			Value added at factor costs	[2002-2014]: OECD Structural and Demographic Business Statistics (SDBS) database // [2015-2017]: National Statistical Institute of Bulgaria		C: Country data
NV_IND_SSIS	Proportion of small-scale industries in total industry value added (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			[2016, 2017]	2016	2017	2	PT	Percentage	G	Global																	4.01	2.88	2.88			[2016]: Value added in basic prices // [2017]: NA	National Statistical Committee of the Republic of Belarus		C: Country data
NV_IND_SSIS	Proportion of small-scale industries in total industry value added (%)	144	Sri Lanka	4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1			[2006, 2007, 2008, 2016]	2006	2016	4	PT	Percentage	G	Global							2.99	4.14	5.13								3.79		3.79			Value added in producersâ prices	Annual Survey of Industries, Department of Census and Statistics		C: Country data
NV_IND_SSIS	Proportion of small-scale industries in total industry value added (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1			[2013, 2014, 2015, 2016]	2013	2016	4	PT	Percentage	G	Global														17.3	5.41	3.56	3.08		3.08			Value added in basic prices	OECD Structural and Demographic Business Statistics (SDBS) database		C: Country data
NV_IND_SSIS	Proportion of small-scale industries in total industry value added (%)	170	Colombia	5	5	South America	Country	-73.07446751	3.888209046	COL	1	1			[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	3.66	3.5	3.13	4.6	2.47	2.67	2.31	2.23	3.08	3.24	3.41	5.04	4.85	4.39	4.47	4.71	3.95	4.05	4.05			Value added in basic prices	Encuesta Anual Manufacturera (EAM), Departamento Administrativo Nacional de EstadĂ­stica (DANE)		C: Country data
NV_IND_SSIS	Proportion of small-scale industries in total industry value added (%)	191	Croatia	4	39	Southern Europe	Country	17.95874553	45.45172212	HRV	1	1			[2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2008	2017	10	PT	Percentage	G	Global									14.98	15.88	15.32	14.17	13.87	15.16	15.44	15.48	13.93	14.59	14.59			Value added at factor costs	[2008-2014]: OECD Structural and Demographic Business Statistics (SDBS) database // [2015-2017]: Croatian Bureau of Statistics		C: Country data
NV_IND_SSIS	Proportion of small-scale industries in total industry value added (%)	196	Cyprus	4	145	Western Asia	Country	33.22285964	35.05659437	CYP	1	1			[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	39.9	38.47	37.99	39.27	39.67	38.44	38.9	37.66	38.42	38.11	36.88	37.72	36.73	36.27	35.36	34.49	33.26	31.58	31.58			Value added at factor costs	OECD Structural and Demographic Business Statistics (SDBS) database		C: Country data
NV_IND_SSIS	Proportion of small-scale industries in total industry value added (%)	203	Czechia	4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1			[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	9.64	7.89	13.23	12.79	12.03	13.33	14.06	12.63	12.85	12.77	11.06	10.98	10.82	10.25	9.68	10.04	9.59	9.9	9.9			Value added at factor costs	OECD Structural and Demographic Business Statistics (SDBS) database		C: Country data
NV_IND_SSIS	Proportion of small-scale industries in total industry value added (%)	208	Denmark	4	154	Northern Europe	Country	9.326571283	56.03829721	DNK	1	1			[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17	PT	Percentage	G	Global	12.43	12.03	11.8	12.13	12.01	11.24	11.33	11.33	11.01	11.69	11.02	9.27	8.9	8.74	8.43	8.08	9.58		9.58			NA	OECD Structural and Demographic Business Statistics (SDBS) database		C: Country data
NV_IND_SSIS	Proportion of small-scale industries in total industry value added (%)	218	Ecuador	5	5	South America	Country	-78.37005241	-1.447785891	ECU	1	1			[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	0.51	1.21	1.56	1.05	7.87	1.23	1.15	0.86	1.6	1.02	0.84	1.47	0.58	1.33	0.36	0.48	0.14	0.31	0.31			Value added in basic prices	Encuesta Anual de Manufactura y MinerĂ­a, Instituto Nacional de EstadĂ­stica y Censos		C: Country data
