series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	observationStatus_code	observationStatus_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
AG_PRD_AGVAS	Agriculture value added share of GDP (%)	1	World	1			Region								A	Normal value	[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2001	2018	18	PT	Percentage	G	Global	4.12918	3.96747	4.04013	4.07003	3.92984	4.15091	5.09202	5.21685	5.30014	5.44203	5.49697	5.55783	5.8177	5.36627	5.53753	5.56915	5.35469	5.27649	5.27649				UNSD national account estimates.		_X: Data nature not available
AG_PRD_AGVAS	Agriculture value added share of GDP (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			A	Normal value	[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2001	2018	18	PT	Percentage	G	Global	10.60326	9.71067	9.0955	8.45216	7.28372	6.09625	4.65464	5.87427	4.23776	4.01106	4.64342	4.40876	4.48404	4.52388	4.02405	4.02568	4.03605	3.37126	3.37126				UNSD national account estimates.		C: Country data
AG_PRD_AGVAS	Agriculture value added share of GDP (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			A	Normal value	[2012, 2013, 2014, 2015, 2016, 2017, 2018]	2012	2018	7	PT	Percentage	G	Global												30.5902	29.53373	27.8298	26.77178	25.46851	23.33474	26.26506	26.26506				UNSD national account estimates.		C: Country data
AG_PRD_AGVAS	Agriculture value added share of GDP (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			A	Normal value	[2010, 2011, 2012, 2013]	2010	2013	4	PT	Percentage	G	Global										38.4305	36.70447	35.51049	38.36721						38.36721				UNSD national account estimates.		C: Country data
AG_PRD_AGVAS	Agriculture value added share of GDP (%)	11	Western Africa	4	202	Sub-Saharan Africa	Region								A	Normal value	[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2001	2018	18	PT	Percentage	G	Global	27.67521	27.53285	33.63148	27.16868	26.31075	24.88501	24.7581	25.51542	26.44252	23.95802	22.89441	22.05194	20.80931	24.65446	24.15688	19.76477	20.73072	20.83459	20.83459				UNSD national account estimates.		_X: Data nature not available
AG_PRD_AGVAS	Agriculture value added share of GDP (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			A	Normal value	[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2001	2018	18	PT	Percentage	G	Global	10.0999	9.76692	8.27695	8.448	8.27314	8.33156	8.06409	8.41661	8.13091	8.89191	8.00187	8.13095	6.8091	7.30305	6.28321	6.89533	7.56583	6.40222	6.40222				UNSD national account estimates.		C: Country data
AG_PRD_AGVAS	Agriculture value added share of GDP (%)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			A	Normal value	[2006, 2007, 2008, 2009]	2006	2009	4	PT	Percentage	G	Global						7.54308	7.57063	6.58668	9.34337										9.34337				UNSD national account estimates.		C: Country data
AG_PRD_AGVAS	Agriculture value added share of GDP (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			A	Normal value	[2009, 2010, 2011, 2012, 2014, 2015, 2016, 2017, 2018]	2009	2018	9	PT	Percentage	G	Global									1.54989	1.49324	1.76566	1.8114		1.58655	1.86974	1.85976	1.77202	1.83384	1.83384				UNSD national account estimates.		C: Country data
AG_PRD_AGVAS	Agriculture value added share of GDP (%)	13	Central America	4	419	Latin America and the Caribbean	Region								A	Normal value	[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2001	2018	18	PT	Percentage	G	Global	9.49884	9.42707	9.28709	9.15338	8.99022	8.4594	8.32584	7.90036	7.75897	7.41238	7.14495	6.59011	3.51501	3.53073	3.63068	3.79355	3.79975	3.69925	3.69925				UNSD national account estimates.		_X: Data nature not available
AG_PRD_AGVAS	Agriculture value added share of GDP (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1			A	Normal value	[2001, 2002, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2001	2018	16	PT	Percentage	G	Global	13.53464	12.26926			10.67004	9.86441	8.51772	7.75186	8.31902	7.98978	7.84317	8.44654	8.27907	8.01575	8.73739	7.99574	6.73869	5.26438	5.26438				UNSD national account estimates.		C: Country data
