series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2005	value_2010	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	1	World	1			Region								[2000, 2005, 2010]	2000	2010	3	PT	Percentage	G	Global	51.00603	54.00151	56.60658	56.60658			Aggregate. Only countries with data for all years included;Data nature not available	FAO, Global Forest Resources Assessment		_X: Data nature not available
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			[2000, 2005, 2010]	2000	2010	3	PT	Percentage	G	Global	100.0	100.0	100.0	100.0				FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			[2000, 2005, 2010]	2000	2010	3	PT	Percentage	G	Global	78.6939	93.8537	98.4263	98.4263				FAO, Global Forest Resources Assessment		E: Estimated data
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			[2000, 2005, 2010]	2000	2010	3	PT	Percentage	G	Global	nan	nan	nan	nan			NA = A figure was not provided.	FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	11	Western Africa	4	202	Sub-Saharan Africa	Region								[2000, 2005, 2010]	2000	2010	3	PT	Percentage	G	Global	14.35434	15.30668	18.15188	18.15188			Aggregate. Only countries with data for all years included;Data nature not available	FAO, Global Forest Resources Assessment		_X: Data nature not available
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			[2000, 2005, 2010]	2000	2010	3	PT	Percentage	G	Global	100.0	100.0	100.0	100.0				FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1			[2000, 2005, 2010]	2000	2010	3	PT	Percentage	G	Global	nan	nan	nan	nan			NA = A figure was not provided.	FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			[2000, 2005, 2010]	2000	2010	3	PT	Percentage	G	Global	53.7049	68.8802	88.807	88.807				FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1			[2000, 2005, 2010]	2000	2010	3	PT	Percentage	G	Global	nan	nan	39.4005	39.4005			[2000,2005]: NA = A figure was not provided.	FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			[2000, 2005, 2010]	2000	2010	3	PT	Percentage	G	Global	nan	nan	nan	nan			NA = A figure was not provided.	FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	13	Central America	4	419	Latin America and the Caribbean	Region								[2000, 2005, 2010]	2000	2010	3	PT	Percentage	G	Global	2.01744	1.92423	2.57066	2.57066			Aggregate. Only countries with data for all years included;Data nature not available	FAO, Global Forest Resources Assessment		_X: Data nature not available
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1			[2000, 2005, 2010]	2000	2010	3	PT	Percentage	G	Global	nan	nan	nan	nan			NA = A figure was not provided.	FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	135	Caucasus and Central Asia	1			Group								[2000, 2005, 2010]	2000	2010	3	PT	Percentage	G	Global	54.59257	56.31713	56.98095	56.98095			Aggregate. Only countries with data for all years included;Data nature not available	FAO, Global Forest Resources Assessment		_X: Data nature not available
