series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	sex_code	sex_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2013	value_2014	value_2016	value_2017	value_2018	value_2019	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
SI_COV_DISAB	[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)	1	World	1			Region								_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global			27.8				27.8				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_DISAB	[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			_T	Both sexes	[2013, 2014, 2017]	2013	2017	3	PT	Percentage	G	Global	100.0	100.0		100.0			100.0				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_DISAB	[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			M	Male	[2013, 2014]	2013	2014	2	PT	Percentage	G	Global	100.0	100.0					100.0				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_DISAB	[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			F	Female	[2013, 2014]	2013	2014	2	PT	Percentage	G	Global	100.0	100.0					100.0				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_DISAB	[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			_T	Both sexes	[2017]	2017	2017	1	PT	Percentage	G	Global				0.4			0.4				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_DISAB	[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)	11	Western Africa	4	202	Sub-Saharan Africa	Region								_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global			14.6				14.6			To interpret with caution: estimates based on reported data coverage below 40% of the population	ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_DISAB	[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1			_T	Both sexes	[2016, 2017, 2019]	2016	2019	3	PT	Percentage	G	Global			6.8	6.7		0.7	0.7				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_DISAB	[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1			F	Female	[2017]	2017	2017	1	PT	Percentage	G	Global				0.8			0.8				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_DISAB	[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1			M	Male	[2017]	2017	2017	1	PT	Percentage	G	Global				12.9			12.9				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_DISAB	[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global			3.6				3.6				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_DISAB	[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1			_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global			0.1				0.1				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_DISAB	[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			_T	Both sexes	[2016, 2017, 2019]	2016	2019	3	PT	Percentage	G	Global			67.2	34.4		68.0	68.0				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_DISAB	[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)	13	Central America	4	419	Latin America and the Caribbean	Region								_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global			47.2				47.2			To interpret with caution: estimates based on reported data coverage below 40% of the population	ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_DISAB	[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1			_T	Both sexes	[2016, 2017]	2016	2017	2	PT	Percentage	G	Global			30.3	30.2			30.2				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_DISAB	[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)	14	Eastern Africa	4	202	Sub-Saharan Africa	Region								_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global			0.4				0.4			To interpret with caution: estimates based on reported data coverage below 40% of the population	ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_DISAB	[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)	142	Asia	2	1	World	Region								_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global			10.4				10.4				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_DISAB	[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)	143	Central Asia	3	142	Asia	Region								_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global			94.8				94.8			To interpret with caution: estimates based on reported data coverage below 40% of the population	ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_DISAB	[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)	144	Sri Lanka	4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1			_T	Both sexes	[2016, 2018]	2016	2018	2	PT	Percentage	G	Global			20.8		20.7		20.7				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_DISAB	[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)	145	Western Asia	3	142	Asia	Region								_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global			17.5				17.5				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_DISAB	[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)	15	Northern Africa	3	2	Africa	Region								_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global			8.4				8.4			To interpret with caution: estimates based on reported data coverage below 40% of the population	ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_DISAB	[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)	150	Europe	2	1	World	Region								_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global			94.6				94.6				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_DISAB	[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)	151	Eastern Europe	3	150	Europe	Region								_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global			97.9				97.9				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_DISAB	[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1			F	Female	[2013, 2014]	2013	2014	2	PT	Percentage	G	Global	56.1	53.7					53.7			ILO estimates based on country data; contributory pension only	ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_DISAB	[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1			M	Male	[2013, 2014]	2013	2014	2	PT	Percentage	G	Global	55.5	52.6					52.6			ILO estimates based on country data; contributory pension only	ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_DISAB	[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1			_T	Both sexes	[2013, 2014, 2016, 2017, 2019]	2013	2019	5	PT	Percentage	G	Global	55.8	53.2	100.0	47.6		100.0	100.0			[2013-2014]: ILO estimates based on country data; contributory pension only	ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_DISAB	[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)	154	Northern Europe	3	150	Europe	Region								_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global			100.0				100.0				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_DISAB	[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)	155	Western Europe	3	150	Europe	Region								_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global			88.7				88.7				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_DISAB	[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)	17	Middle Africa	4	202	Sub-Saharan Africa	Region								_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global			5.8				5.8			To interpret with caution: estimates based on reported data coverage below 40% of the population	ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_DISAB	[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)	170	Colombia	5	5	South America	Country	-73.07446751	3.888209046	COL	1	1			_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global			6.0				6.0				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
SI_COV_DISAB	[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)	18	Southern Africa	4	202	Sub-Saharan Africa	Region								_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global			59.7				59.7				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
