series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	sex_code	sex_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2004	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
VC_PRR_ROBB	Police reporting rate for robbery, by sex (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			_T	Both sexes	[2004, 2009, 2014]	2004	2014	3	PT	Percentage	G	Global	46.0				43.0					45.0					45.0				United Nations Office on Drugs and Crime		_X: Data nature not available
VC_PRR_ROBB	Police reporting rate for robbery, by sex (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			M	Male	[2014]	2014	2014	1	PT	Percentage	G	Global										42.48					42.48				United Nations Office on Drugs and Crime		_X: Data nature not available
VC_PRR_ROBB	Police reporting rate for robbery, by sex (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			F	Female	[2014]	2014	2014	1	PT	Percentage	G	Global										49.64					49.64				United Nations Office on Drugs and Crime		_X: Data nature not available
VC_PRR_ROBB	Police reporting rate for robbery, by sex (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1			M	Male	[2016]	2016	2016	1	PT	Percentage	G	Global												50.6			50.6				United Nations Office on Drugs and Crime		_X: Data nature not available
VC_PRR_ROBB	Police reporting rate for robbery, by sex (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1			F	Female	[2016]	2016	2016	1	PT	Percentage	G	Global												53.8			53.8				United Nations Office on Drugs and Crime		_X: Data nature not available
VC_PRR_ROBB	Police reporting rate for robbery, by sex (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1			_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global												51.7			51.7				United Nations Office on Drugs and Crime		_X: Data nature not available
VC_PRR_ROBB	Police reporting rate for robbery, by sex (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1			_T	Both sexes	[2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2006	2018	13	PT	Percentage	G	Global		39.9	38.5	42.2	44.9	44.6	46.5	50.5	38.7	36.0	49.7	46.2	43.1	44.1	44.1			Since 2013: new methodology, considering reporting of 5 types of robbery or theft (of the last event)	United Nations Office on Drugs and Crime		_X: Data nature not available
VC_PRR_ROBB	Police reporting rate for robbery, by sex (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1			F	Female	[2015, 2016, 2017, 2018]	2015	2018	4	PT	Percentage	G	Global											48.6	46.6	46.0	38.6	38.6			Since 2013: new methodology, considering reporting of 5 types of robbery or theft (of the last event)	United Nations Office on Drugs and Crime		_X: Data nature not available
VC_PRR_ROBB	Police reporting rate for robbery, by sex (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1			M	Male	[2015, 2016, 2017, 2018]	2015	2018	4	PT	Percentage	G	Global											51.6	45.8	39.2	51.1	51.1			Since 2013: new methodology, considering reporting of 5 types of robbery or theft (of the last event)	United Nations Office on Drugs and Crime		_X: Data nature not available
VC_PRR_ROBB	Police reporting rate for robbery, by sex (%)	170	Colombia	5	5	South America	Country	-73.07446751	3.888209046	COL	1	1			_T	Both sexes	[2012, 2013, 2014, 2015, 2016, 2017, 2018]	2012	2018	7	PT	Percentage	G	Global								24.0	22.6	26.0	23.3	25.8	23.66	32.4	32.4			Reporting rate for robbery with violence 	United Nations Office on Drugs and Crime		_X: Data nature not available
VC_PRR_ROBB	Police reporting rate for robbery, by sex (%)	188	Costa Rica	5	13	Central America	Country	-84.19712782	9.970998683	CRI	1	1			_T	Both sexes	[2008, 2010]	2008	2010	2	PT	Percentage	G	Global				34.3		27.7									27.7			Refers to households that were victims of robbery or theft	United Nations Office on Drugs and Crime		_X: Data nature not available
VC_PRR_ROBB	Police reporting rate for robbery, by sex (%)	191	Croatia	4	39	Southern Europe	Country	17.95874553	45.45172212	HRV	1	1			_T	Both sexes	[2008, 2010]	2008	2010	2	PT	Percentage	G	Global				33.0		61.2									61.2				United Nations Office on Drugs and Crime		_X: Data nature not available
VC_PRR_ROBB	Police reporting rate for robbery, by sex (%)	203	Czechia	4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1			_T	Both sexes	[2010, 2013]	2010	2013	2	PT	Percentage	G	Global						55.0			41.0						41.0				United Nations Office on Drugs and Crime		_X: Data nature not available
VC_PRR_ROBB	Police reporting rate for robbery, by sex (%)	208	Denmark	4	154	Northern Europe	Country	9.326571283	56.03829721	DNK	1	1			_T	Both sexes	[2008, 2009, 2010, 2011, 2012, 2013, 2014]	2008	2014	7	PT	Percentage	G	Global				71.0	74.0	83.0	84.0	71.0	78.0	77.0					77.0				United Nations Office on Drugs and Crime		_X: Data nature not available
VC_PRR_ROBB	Police reporting rate for robbery, by sex (%)	218	Ecuador	5	5	South America	Country	-78.37005241	-1.447785891	ECU	1	1			_T	Both sexes	[2011]	2011	2011	1	PT	Percentage	G	Global							15.68								15.68				United Nations Office on Drugs and Crime		_X: Data nature not available
