series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2010	value_2015	value_2016	value_2017	value_2018	value_2019	value_2020	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	1	World	1			Region								[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	PT	Percentage	G	Global	51.6	54.35	56.08	56.76	57.0	57.56	57.9	58.15	58.15			Aggregate. Only countries with data for all years included	FAO, Global Forest Resources Assessment		_X: Data nature not available
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	PT	Percentage	G	Global	84.27	93.79	95.83	96.01	96.35	96.71	97.05	97.39	97.39			Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	PT	Percentage	G	Global	81.9	94.31	93.02	93.02	93.02	93.02	93.02	93.02	93.02			Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	11	Western Africa	4	202	Sub-Saharan Africa	Region								[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	PT	Percentage	G	Global	25.66	25.11	23.92	25.15	24.46	23.54	23.36	23.18	23.18			Aggregate. Only countries with data for all years included	FAO, Global Forest Resources Assessment		_X: Data nature not available
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	PT	Percentage	G	Global	95.82	99.96	100.0	100.0	100.0	100.0	100.0	100.0	100.0			[2000,2010,2015]: Country data submitted to FAO // [2016-2020]: NA = No data available	FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			[2010, 2015, 2016, 2017, 2018, 2019, 2020]	2010	2020	7	PT	Percentage	G	Global		7.77	7.77	10.07	11.86	13.5	13.5	13.5	13.5			Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	PT	Percentage	G	Global	53.34	53.34	53.34	55.37	58.97	59.25	59.3	59.93	59.93			Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	PT	Percentage	G	Global	54.19	54.12	54.35	57.64	57.64	60.71	60.82	60.82	60.82			Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	13	Central America	4	419	Latin America and the Caribbean	Region								[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	PT	Percentage	G	Global	0.35	0.25	0.29	0.15	0.28	0.3	0.3	0.3	0.3			Aggregate. Only countries with data for all years included	FAO, Global Forest Resources Assessment		_X: Data nature not available
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	135	Caucasus and Central Asia	1			Group								[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	PT	Percentage	G	Global	74.67	76.84	88.95	91.16	93.44	94.62	96.33	98.27	98.27			Aggregate. Only countries with data for all years included	FAO, Global Forest Resources Assessment		_X: Data nature not available
