series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	educationLevel_code	educationLevel_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	value_2019	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
SE_ACC_HNWA	Schools with basic handwashing facilities, by education level (%)	1	World	1			Region								ISCED11_2	Lower secondary	[2015, 2016, 2017, 2018]	2015	2018	4	PT	Percentage	G	Global																68.435602312422	69.0166879851271	70.5158079060864	71.060232877231		71.060232877231				UIS		E: Estimated data
SE_ACC_HNWA	Schools with basic handwashing facilities, by education level (%)	1	World	1			Region								ISCED11_3	Upper secondary	[2015, 2016, 2017, 2018]	2015	2018	4	PT	Percentage	G	Global																73.3843881193238	73.2874887272629	75.0782374798893	75.960674968982		75.960674968982				UIS		E: Estimated data
SE_ACC_HNWA	Schools with basic handwashing facilities, by education level (%)	1	World	1			Region								ISCED11_1	Primary	[2015, 2016, 2017, 2018]	2015	2018	4	PT	Percentage	G	Global																64.5656541618015	64.9918903958933	65.5208142580785	65.1671407677504		65.1671407677504				UIS		E: Estimated data
SE_ACC_HNWA	Schools with basic handwashing facilities, by education level (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			ISCED11_1	Primary	[2017, 2018]	2017	2018	2	PT	Percentage	G	Global																		51.55271	56.40647		56.40647				UIS		C: Country data
SE_ACC_HNWA	Schools with basic handwashing facilities, by education level (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			ISCED11_3	Upper secondary	[2017, 2018]	2017	2018	2	PT	Percentage	G	Global																		64.62632	70.671		70.671				UIS		C: Country data
SE_ACC_HNWA	Schools with basic handwashing facilities, by education level (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			ISCED11_2	Lower secondary	[2017, 2018]	2017	2018	2	PT	Percentage	G	Global																		58.7704	60.64473		60.64473				UIS		C: Country data
SE_ACC_HNWA	Schools with basic handwashing facilities, by education level (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			ISCED11_2	Lower secondary	[2016, 2017]	2016	2017	2	PT	Percentage	G	Global																	11.83705	11.94725			11.94725				UIS		C: Country data
SE_ACC_HNWA	Schools with basic handwashing facilities, by education level (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			ISCED11_3	Upper secondary	[2016, 2017, 2018]	2016	2018	3	PT	Percentage	G	Global																	21.91781	21.91781	21.91781		21.91781				UIS		C: Country data
SE_ACC_HNWA	Schools with basic handwashing facilities, by education level (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			ISCED11_1	Primary	[2016, 2017, 2018]	2016	2018	3	PT	Percentage	G	Global																	20.26742	20.73142	20.52186		20.52186				UIS		C: Country data
SE_ACC_HNWA	Schools with basic handwashing facilities, by education level (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			ISCED11_2	Lower secondary	[2016, 2017, 2018]	2016	2018	3	PT	Percentage	G	Global																	100.0	100.0	100.0		100.0				UIS		C: Country data
