series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	value_2019	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
SN_ITK_DEFC	Prevalence of undernourishment (%)	1	World	1			Region								[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]	2000	2019	20	PT	Percentage	G	Global	13.2	13.3	13.7	13.3	13.2	12.6	11.8	10.9	10.3	10.2	9.6	9.1	9.2	9.0	8.6	8.9	8.8	8.7	8.9	8.9	8.9			[2019]: Estimates are based on projected values	FAO, Statistics Division		E: Estimated data
SN_ITK_DEFC	Prevalence of undernourishment (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2001	2018	18	PT	Percentage	G	Global		4.0	4.3	4.6	5.0	4.9	5.1	4.7	4.5	4.3	4.4	4.4	4.1	3.5	3.5	3.3	3.5	3.1	3.0		3.0			[2018]: Estimates are based on projected values	FAO, Statistics Division		E: Estimated data
SN_ITK_DEFC	Prevalence of undernourishment (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2001	2018	18	PT	Percentage	G	Global		37.7	34.8	32.5	30.3	27.9	24.9	21.3	18.5	15.9	14.2	12.7	12.1	12.8	13.6	13.9	13.5	13.7	14.1		14.1			[2018]: Estimates are based on projected values	FAO, Statistics Division		E: Estimated data
SN_ITK_DEFC	Prevalence of undernourishment (%)	11	Western Africa	4	202	Sub-Saharan Africa	Region								[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]	2000	2019	20	PT	Percentage	G	Global	16.0	15.8	15.7	15.4	14.7	13.8	13.0	12.7	12.3	12.4	12.1	12.0	12.2	11.8	13.3	14.3	14.2	14.6	14.3	15.2	15.2			[2019]: Estimates are based on projected values	FAO, Statistics Division		E: Estimated data
SN_ITK_DEFC	Prevalence of undernourishment (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2001	2018	18	PT	Percentage	G	Global		2.5	2.8	3.3	3.3	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5		2.5		<2.5	[2018]: Estimates are based on projected values	FAO, Statistics Division		E: Estimated data
SN_ITK_DEFC	Prevalence of undernourishment (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1			[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2001	2018	18	PT	Percentage	G	Global		23.7	21.3	19.5	18.6	17.1	15.8	15.0	14.6	14.4	14.2	14.2	13.6	14.0	14.7	15.7	15.4	15.0	14.5		14.5			[2018]: Estimates are based on projected values	FAO, Statistics Division		E: Estimated data
SN_ITK_DEFC	Prevalence of undernourishment (%)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2001	2018	18	PT	Percentage	G	Global		8.0	7.4	7.0	7.0	6.7	6.4	6.0	5.6	5.2	4.5	4.0	3.5	3.3	3.3	3.2	3.2	3.1	2.8		2.8			[2018]: Estimates are based on projected values	FAO, Statistics Division		E: Estimated data
SN_ITK_DEFC	Prevalence of undernourishment (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1			[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2001	2018	18	PT	Percentage	G	Global		23.1	20.9	19.5	17.8	16.1	14.3	12.8	11.4	10.2	9.2	8.2	7.1	6.8	6.7	6.7	6.5	6.4	6.3		6.3			[2018]: Estimates are based on projected values	FAO, Statistics Division		E: Estimated data
SN_ITK_DEFC	Prevalence of undernourishment (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2001	2018	18	PT	Percentage	G	Global		2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5		2.5		<2.5	[2018]: Estimates are based on projected values	FAO, Statistics Division		E: Estimated data
SN_ITK_DEFC	Prevalence of undernourishment (%)	127	Southern Asia (excluding India)	1			Group								[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]	2000	2019	20	PT	Percentage	G	Global	17.7	18.1	19.0	17.3	15.9	15.6	15.2	13.8	14.3	13.7	13.6	14.2	14.2	14.1	12.8	12.7	12.3	11.6	12.1	12.4	12.4			[2019]: Estimates are based on projected values	FAO, Statistics Division		E: Estimated data
