series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
NV_IND_TECH	Proportion of medium and high-tech industry value added in total value added (%)	1	World	1			Region								[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	46.65	45.75	46.43	46.5	45.92	45.55	45.58	45.67	45.46	43.2	44.98	44.76	44.94	44.7	45.16	45.29	45.48	44.85	44.85				UNIDO estimates based on the CIP 2019 database. Available at https://stat.unido.org		M: Modeled data
NV_IND_TECH	Proportion of medium and high-tech industry value added in total value added (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	30.39	30.53	32.51	29.68	25.41	26.95	27.46	27.33	29.26	27.86	24.7	24.77	29.29	32.06	31.42	28.43	28.64	29.21	29.21				UNIDO CIP 2019 Database. Available at https://stat.unido.org.		M: Modeled data
NV_IND_TECH	Proportion of medium and high-tech industry value added in total value added (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	12.41	12.41	12.41	12.41	12.41	12.41	12.41	12.41	12.41	9.29	11.65	10.99	11.21	7.62	7.62	7.62	7.62	7.62	7.62				UNIDO CIP 2019 Database. Available at https://stat.unido.org.		M: Modeled data
NV_IND_TECH	Proportion of medium and high-tech industry value added in total value added (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	2.53	2.59	2.41	2.76	2.97	3.29	3.38	3.66	2.15	3.3	3.08	2.05	2.21	2.79	2.79	2.79	2.57	2.57	2.57				UNIDO CIP 2019 Database. Available at https://stat.unido.org.		M: Modeled data
NV_IND_TECH	Proportion of medium and high-tech industry value added in total value added (%)	11	Western Africa	4	202	Sub-Saharan Africa	Region								[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	22.2	21.07	20.54	20.67	20.17	21.2	22.38	22.31	23.8	22.4	25.02	25.49	26.52	27.25	28.38	28.21	26.81	26.22	26.22				UNIDO estimates based on the CIP 2019 database. Available at https://stat.unido.org		M: Modeled data
NV_IND_TECH	Proportion of medium and high-tech industry value added in total value added (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	36.84	39.98	47.13	43.26	36.45	37.99	41.05	38.83	38.83	38.83				UNIDO CIP 2019 Database. Available at https://stat.unido.org.		M: Modeled data
NV_IND_TECH	Proportion of medium and high-tech industry value added in total value added (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1			[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.26				UNIDO CIP 2019 Database. Available at https://stat.unido.org.		M: Modeled data
NV_IND_TECH	Proportion of medium and high-tech industry value added in total value added (%)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	11.28	11.28	14.37	14.37	14.37	14.37	14.37	14.37	15.15	10.85	9.66	1.27	1.39	1.56	1.66	2.69	2.69	2.69	2.69				UNIDO CIP 2019 Database. Available at https://stat.unido.org.		M: Modeled data
NV_IND_TECH	Proportion of medium and high-tech industry value added in total value added (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1			[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	1.82	3.33	11.01	10.54	10.54	10.54	7.9	7.9	7.61	7.61	7.61	7.61	7.61	7.61	7.61	7.61	7.61	7.61	7.61				UNIDO CIP 2019 Database. Available at https://stat.unido.org.		M: Modeled data
NV_IND_TECH	Proportion of medium and high-tech industry value added in total value added (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	44.0	42.01	41.59	40.94	35.21	36.06	36.27	36.98	35.84	35.83	35.73	36.65	37.24	36.36	37.41	38.89	38.0	38.0	38.0				UNIDO CIP 2019 Database. Available at https://stat.unido.org.		M: Modeled data
NV_IND_TECH	Proportion of medium and high-tech industry value added in total value added (%)	13	Central America	4	419	Latin America and the Caribbean	Region								[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	40.79	41.18	40.61	41.16	37.54	37.79	37.88	36.62	35.62	33.41	34.6	36.11	37.68	37.07	37.78	36.81	38.13	38.21	38.21				UNIDO estimates based on the CIP 2019 database. Available at https://stat.unido.org		M: Modeled data
NV_IND_TECH	Proportion of medium and high-tech industry value added in total value added (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1			[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	30.6	30.6	30.6	30.6	30.6	27.1	27.1	27.1	27.1	27.1	27.1	27.1	27.1	27.1	27.1	27.1	27.1	27.1	27.1				UNIDO CIP 2019 Database. Available at https://stat.unido.org.		M: Modeled data
NV_IND_TECH	Proportion of medium and high-tech industry value added in total value added (%)	135	Caucasus and Central Asia	1			Group								[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	7.42	8.0	8.92	9.26	8.03	10.09	8.85	8.43	11.85	11.55	11.77	12.45	13.13	15.33	15.04	14.37	13.36	12.03	12.03				UNIDO estimates based on the CIP 2019 database. Available at https://stat.unido.org		M: Modeled data
NV_IND_TECH	Proportion of medium and high-tech industry value added in total value added (%)	14	Eastern Africa	4	202	Sub-Saharan Africa	Region								[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	10.73	10.8	10.6	8.3	8.23	7.49	7.71	7.16	8.24	9.32	10.29	11.06	11.55	10.94	11.27	11.98	12.02	12.04	12.04				UNIDO estimates based on the CIP 2019 database. Available at https://stat.unido.org		M: Modeled data
NV_IND_TECH	Proportion of medium and high-tech industry value added in total value added (%)	140	Central African Republic	5	17	Middle Africa	Country	20.93559492	7.003720791	CAF	1	1			[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	9.25	9.25	9.25	9.25	9.25	9.25	9.25	9.25	9.25	9.25	9.25	9.25	9.25	9.25	9.25	9.25	9.25	9.25	9.25				UNIDO CIP 2019 Database. Available at https://stat.unido.org.		M: Modeled data
NV_IND_TECH	Proportion of medium and high-tech industry value added in total value added (%)	142	Asia	2	1	World	Region								[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	48.16	47.08	48.25	48.48	48.34	48.12	47.83	47.47	46.23	45.6	45.77	45.35	45.28	44.5	44.61	44.77	44.96	44.43	44.43				UNIDO estimates based on the CIP 2019 database. Available at https://stat.unido.org		M: Modeled data
NV_IND_TECH	Proportion of medium and high-tech industry value added in total value added (%)	143	Central Asia	3	142	Asia	Region								[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	5.04	5.68	6.61	7.31	6.43	6.6	6.4	6.67	11.88	10.75	12.0	12.17	13.35	15.55	15.45	13.12	12.8	12.07	12.07				UNIDO estimates based on the CIP 2019 database. Available at https://stat.unido.org		M: Modeled data
