series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2020	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
SG_DMK_PARLMP_LC	Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national populationÂ with the age of eligibility as a lower bound boundary), Lower Chamber or Unicameral	1	World	1			Region								[2020]	2020	2020	1	RO	Ratio	G	Global	0.4955	0.4955			Lower chamber or Unicameral	IPU		_X: Data nature not available
SG_DMK_PARLMP_LC	Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national populationÂ with the age of eligibility as a lower bound boundary), Lower Chamber or Unicameral	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			[2020]	2020	2020	1	RO	Ratio	G	Global	0.5114572468798322	0.5114572468798322			Unicameral (National Assembly)	IPU		_X: Data nature not available
SG_DMK_PARLMP_LC	Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national populationÂ with the age of eligibility as a lower bound boundary), Lower Chamber or Unicameral	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			[2020]	2020	2020	1	RO	Ratio	G	Global	0.20826908033425667	0.20826908033425667			Bicameral: Lower chamber (House of Representatives)	IPU		_X: Data nature not available
SG_DMK_PARLMP_LC	Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national populationÂ with the age of eligibility as a lower bound boundary), Lower Chamber or Unicameral	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			[2020]	2020	2020	1	RO	Ratio	G	Global	0.7055941622092188	0.7055941622092188			Bicameral: Lower chamber (National Assembly)	IPU		_X: Data nature not available
SG_DMK_PARLMP_LC	Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national populationÂ with the age of eligibility as a lower bound boundary), Lower Chamber or Unicameral	11	Western Africa	4	202	Sub-Saharan Africa	Region								[2020]	2020	2020	1	RO	Ratio	G	Global	0.29343	0.29343			Lower chamber or Unicameral	IPU		_X: Data nature not available
SG_DMK_PARLMP_LC	Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national populationÂ with the age of eligibility as a lower bound boundary), Lower Chamber or Unicameral	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			[2020]	2020	2020	1	RO	Ratio	G	Global	0.729795543966986	0.729795543966986			Bicameral: Lower chamber (House of Representatives)	IPU		_X: Data nature not available
SG_DMK_PARLMP_LC	Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national populationÂ with the age of eligibility as a lower bound boundary), Lower Chamber or Unicameral	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1			[2020]	2020	2020	1	RO	Ratio	G	Global	0.3761125666705246	0.3761125666705246			Bicameral: Lower chamber (National Assembly)	IPU		_X: Data nature not available
SG_DMK_PARLMP_LC	Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national populationÂ with the age of eligibility as a lower bound boundary), Lower Chamber or Unicameral	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			[2020]	2020	2020	1	RO	Ratio	G	Global	0.5163149516888704	0.5163149516888704			"[""Bicameral: Lower chamber (National People's Assembly)""]"	IPU		_X: Data nature not available
SG_DMK_PARLMP_LC	Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national populationÂ with the age of eligibility as a lower bound boundary), Lower Chamber or Unicameral	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1			[2020]	2020	2020	1	RO	Ratio	G	Global	0.6157382364416699	0.6157382364416699			Bicameral: Lower chamber (National Assembly)	IPU		_X: Data nature not available
SG_DMK_PARLMP_LC	Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national populationÂ with the age of eligibility as a lower bound boundary), Lower Chamber or Unicameral	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			[2020]	2020	2020	1	RO	Ratio	G	Global	0.5713031581232552	0.5713031581232552			Bicameral: Lower chamber (House of Commons)	IPU		_X: Data nature not available
