series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	age_code	age_desc	sex_code	sex_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2020	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
SG_DMK_PARLSP_UC	Number of speakers in parliament, by age and sex, Upper Chamber	1	World	1			Region								_T	All age ranges or no breaks by age	F	Female	[2020]	2020	2020	1	NUMBER	Number	G	Global	23.0	23.0			Upper chamber	IPU		_X: Data nature not available
SG_DMK_PARLSP_UC	Number of speakers in parliament, by age and sex, Upper Chamber	1	World	1			Region								_T	All age ranges or no breaks by age	M	Male	[2020]	2020	2020	1	NUMBER	Number	G	Global	60.0	60.0			Upper chamber	IPU		_X: Data nature not available
SG_DMK_PARLSP_UC	Number of speakers in parliament, by age and sex, Upper Chamber	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			Y_GE46	46 years old and over	M	Male	[2020]	2020	2020	1	NUMBER	Number	G	Global	1.0	1.0			Bicameral: Upper chamber (House of Nationalities)	IPU		_X: Data nature not available
SG_DMK_PARLSP_UC	Number of speakers in parliament, by age and sex, Upper Chamber	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			_U	Unknown	M	Male	[2020]	2020	2020	1	NUMBER	Number	G	Global	1.0	1.0			Bicameral: Upper chamber (Senate)	IPU		_X: Data nature not available
SG_DMK_PARLSP_UC	Number of speakers in parliament, by age and sex, Upper Chamber	11	Western Africa	4	202	Sub-Saharan Africa	Region								_T	All age ranges or no breaks by age	M	Male	[2020]	2020	2020	1	NUMBER	Number	G	Global	3.0	3.0			Upper chamber	IPU		_X: Data nature not available
SG_DMK_PARLSP_UC	Number of speakers in parliament, by age and sex, Upper Chamber	11	Western Africa	4	202	Sub-Saharan Africa	Region								_T	All age ranges or no breaks by age	F	Female	[2020]	2020	2020	1	NUMBER	Number	G	Global	1.0	1.0			Upper chamber	IPU		_X: Data nature not available
SG_DMK_PARLSP_UC	Number of speakers in parliament, by age and sex, Upper Chamber	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			Y_GE46	46 years old and over	F	Female	[2020]	2020	2020	1	NUMBER	Number	G	Global	1.0	1.0			Bicameral: Upper chamber (Council of the Republic)	IPU		_X: Data nature not available
SG_DMK_PARLSP_UC	Number of speakers in parliament, by age and sex, Upper Chamber	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1			_U	Unknown	M	Male	[2020]	2020	2020	1	NUMBER	Number	G	Global	1.0	1.0			Bicameral: Upper chamber (Senate)	IPU		_X: Data nature not available
SG_DMK_PARLSP_UC	Number of speakers in parliament, by age and sex, Upper Chamber	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			_U	Unknown	M	Male	[2020]	2020	2020	1	NUMBER	Number	G	Global	1.0	1.0			Bicameral: Upper chamber (Council of the Nation)	IPU		_X: Data nature not available
SG_DMK_PARLSP_UC	Number of speakers in parliament, by age and sex, Upper Chamber	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1			Y_GE46	46 years old and over	M	Male	[2020]	2020	2020	1	NUMBER	Number	G	Global	1.0	1.0			Bicameral: Upper chamber (Senate)	IPU		_X: Data nature not available
SG_DMK_PARLSP_UC	Number of speakers in parliament, by age and sex, Upper Chamber	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			Y_GE46	46 years old and over	M	Male	[2020]	2020	2020	1	NUMBER	Number	G	Global	1.0	1.0			Bicameral: Upper chamber (Senate)	IPU		_X: Data nature not available
SG_DMK_PARLSP_UC	Number of speakers in parliament, by age and sex, Upper Chamber	127	Southern Asia (excluding India)	1			Group								_T	All age ranges or no breaks by age	M	Male	[2020]	2020	2020	1	NUMBER	Number	G	Global	4.0	4.0			Upper chamber	IPU		_X: Data nature not available
SG_DMK_PARLSP_UC	Number of speakers in parliament, by age and sex, Upper Chamber	13	Central America	4	419	Latin America and the Caribbean	Region								_T	All age ranges or no breaks by age	F	Female	[2020]	2020	2020	1	NUMBER	Number	G	Global	1.0	1.0			Upper chamber	IPU		_X: Data nature not available
SG_DMK_PARLSP_UC	Number of speakers in parliament, by age and sex, Upper Chamber	13	Central America	4	419	Latin America and the Caribbean	Region								_T	All age ranges or no breaks by age	M	Male	[2020]	2020	2020	1	NUMBER	Number	G	Global	1.0	1.0			Upper chamber	IPU		_X: Data nature not available
SG_DMK_PARLSP_UC	Number of speakers in parliament, by age and sex, Upper Chamber	135	Caucasus and Central Asia	1			Group								_T	All age ranges or no breaks by age	F	Female	[2020]	2020	2020	1	NUMBER	Number	G	Global	2.0	2.0			Upper chamber	IPU		_X: Data nature not available
SG_DMK_PARLSP_UC	Number of speakers in parliament, by age and sex, Upper Chamber	135	Caucasus and Central Asia	1			Group								_T	All age ranges or no breaks by age	M	Male	[2020]	2020	2020	1	NUMBER	Number	G	Global	1.0	1.0			Upper chamber	IPU		_X: Data nature not available
SG_DMK_PARLSP_UC	Number of speakers in parliament, by age and sex, Upper Chamber	14	Eastern Africa	4	202	Sub-Saharan Africa	Region								_T	All age ranges or no breaks by age	F	Female	[2020]	2020	2020	1	NUMBER	Number	G	Global	2.0	2.0			Upper chamber	IPU		_X: Data nature not available
SG_DMK_PARLSP_UC	Number of speakers in parliament, by age and sex, Upper Chamber	14	Eastern Africa	4	202	Sub-Saharan Africa	Region								_T	All age ranges or no breaks by age	M	Male	[2020]	2020	2020	1	NUMBER	Number	G	Global	6.0	6.0			Upper chamber	IPU		_X: Data nature not available
SG_DMK_PARLSP_UC	Number of speakers in parliament, by age and sex, Upper Chamber	142	Asia	2	1	World	Region								_T	All age ranges or no breaks by age	F	Female	[2020]	2020	2020	1	NUMBER	Number	G	Global	3.0	3.0			Upper chamber	IPU		_X: Data nature not available
SG_DMK_PARLSP_UC	Number of speakers in parliament, by age and sex, Upper Chamber	142	Asia	2	1	World	Region								_T	All age ranges or no breaks by age	M	Male	[2020]	2020	2020	1	NUMBER	Number	G	Global	15.0	15.0			Upper chamber	IPU		_X: Data nature not available
SG_DMK_PARLSP_UC	Number of speakers in parliament, by age and sex, Upper Chamber	143	Central Asia	3	142	Asia	Region								_T	All age ranges or no breaks by age	F	Female	[2020]	2020	2020	1	NUMBER	Number	G	Global	2.0	2.0			Upper chamber	IPU		_X: Data nature not available
SG_DMK_PARLSP_UC	Number of speakers in parliament, by age and sex, Upper Chamber	143	Central Asia	3	142	Asia	Region								_T	All age ranges or no breaks by age	M	Male	[2020]	2020	2020	1	NUMBER	Number	G	Global	1.0	1.0			Upper chamber	IPU		_X: Data nature not available
