series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2020	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
SG_DMK_PARLMP_UC	Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national populationÂ with the age of eligibility as a lower bound boundary), Upper Chamber	1	World	1			Region								[2020]	2020	2020	1	RO	Ratio	G	Global	0.4834	0.4834			Upper chamber	IPU		_X: Data nature not available
SG_DMK_PARLMP_UC	Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national populationÂ with the age of eligibility as a lower bound boundary), Upper Chamber	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			[2020]	2020	2020	1	RO	Ratio	G	Global	0.22701517217352368	0.22701517217352368			Bicameral: Upper chamber (House of Nationalities)	IPU		_X: Data nature not available
SG_DMK_PARLMP_UC	Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national populationÂ with the age of eligibility as a lower bound boundary), Upper Chamber	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			[2020]	2020	2020	1	RO	Ratio	G	Global	0.8812794780903475	0.8812794780903475			Bicameral: Upper chamber (Senate)	IPU		_X: Data nature not available
SG_DMK_PARLMP_UC	Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national populationÂ with the age of eligibility as a lower bound boundary), Upper Chamber	11	Western Africa	4	202	Sub-Saharan Africa	Region								[2020]	2020	2020	1	RO	Ratio	G	Global	0.23489	0.23489			Upper chamber	IPU		_X: Data nature not available
SG_DMK_PARLMP_UC	Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national populationÂ with the age of eligibility as a lower bound boundary), Upper Chamber	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			[2020]	2020	2020	1	RO	Ratio	G	Global	0.44767351560819557	0.44767351560819557			Bicameral: Upper chamber (Council of the Republic)	IPU		_X: Data nature not available
SG_DMK_PARLMP_UC	Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national populationÂ with the age of eligibility as a lower bound boundary), Upper Chamber	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1			[2020]	2020	2020	1	RO	Ratio	G	Global	0.2891544458550934	0.2891544458550934			Bicameral: Upper chamber (Senate)	IPU		_X: Data nature not available
SG_DMK_PARLMP_UC	Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national populationÂ with the age of eligibility as a lower bound boundary), Upper Chamber	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			[2020]	2020	2020	1	RO	Ratio	G	Global	0.13623414133757106	0.13623414133757106			Bicameral: Upper chamber (Council of the Nation)	IPU		_X: Data nature not available
SG_DMK_PARLMP_UC	Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national populationÂ with the age of eligibility as a lower bound boundary), Upper Chamber	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1			[2020]	2020	2020	1	RO	Ratio	G	Global	0.5063060437682826	0.5063060437682826			Bicameral: Upper chamber (Senate)	IPU		_X: Data nature not available
SG_DMK_PARLMP_UC	Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national populationÂ with the age of eligibility as a lower bound boundary), Upper Chamber	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			[2020]	2020	2020	1	RO	Ratio	G	Global	0.9475545013122157	0.9475545013122157			Bicameral: Upper chamber (Senate)	IPU		_X: Data nature not available
SG_DMK_PARLMP_UC	Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national populationÂ with the age of eligibility as a lower bound boundary), Upper Chamber	127	Southern Asia (excluding India)	1			Group								[2020]	2020	2020	1	RO	Ratio	G	Global	0.51094	0.51094			Upper chamber	IPU		_X: Data nature not available
SG_DMK_PARLMP_UC	Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national populationÂ with the age of eligibility as a lower bound boundary), Upper Chamber	13	Central America	4	419	Latin America and the Caribbean	Region								[2020]	2020	2020	1	RO	Ratio	G	Global	0.88386	0.88386			Upper chamber	IPU		_X: Data nature not available
SG_DMK_PARLMP_UC	Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national populationÂ with the age of eligibility as a lower bound boundary), Upper Chamber	135	Caucasus and Central Asia	1			Group								[2020]	2020	2020	1	RO	Ratio	G	Global	0.31081	0.31081			Upper chamber	IPU		_X: Data nature not available
SG_DMK_PARLMP_UC	Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national populationÂ with the age of eligibility as a lower bound boundary), Upper Chamber	14	Eastern Africa	4	202	Sub-Saharan Africa	Region								[2020]	2020	2020	1	RO	Ratio	G	Global	0.60451	0.60451			Upper chamber	IPU		_X: Data nature not available
