series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	location_code	location_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
SP_ACS_BSRVSAN	Proportion of population using basic sanitation services, by location (%)	1	World	1			Region								_T	All areas	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	56.21173	56.89712	57.94657	58.97688	60.00613	61.09848	62.14622	63.19438	64.24392	65.28543	66.31783	67.31911	68.33068	69.33231	70.34018	71.33158	72.30787	73.26067	73.26067				WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E: Estimated data
SP_ACS_BSRVSAN	Proportion of population using basic sanitation services, by location (%)	1	World	1			Region								U	Urban	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	79.35889	79.60678	79.8622	80.1429	80.43438	80.80465	81.13149	81.48424	81.83868	82.19891	82.56142	82.9148	83.28104	83.65431	84.02303	84.38327	84.73917	85.09602	85.09602				WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E: Estimated data
SP_ACS_BSRVSAN	Proportion of population using basic sanitation services, by location (%)	1	World	1			Region								R	Rural	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	35.94937	36.65287	38.01312	39.33213	40.65665	42.04583	43.41671	44.79048	46.17795	47.56596	48.95573	50.33625	51.75477	53.16518	54.61369	56.05479	57.48904	58.89186	58.89186				WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E: Estimated data
SP_ACS_BSRVSAN	Proportion of population using basic sanitation services, by location (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			U	Urban	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	86.78038	86.78038	86.78038	86.78038	86.78038	86.78038	86.78038	86.78038	86.78038	86.78038	86.78038	86.78038	86.78038	86.78038	86.78038	86.78038	86.78038	86.78038	86.78038				WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E: Estimated data
SP_ACS_BSRVSAN	Proportion of population using basic sanitation services, by location (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			_T	All areas	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	85.82735	85.83553	85.8465	85.85734	85.86815	85.87887	85.8895	85.90007	85.91058	85.921	85.93135	85.94162	85.95192	85.96225	85.97258	85.98294	85.99331	86.0037	86.0037				WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E: Estimated data
SP_ACS_BSRVSAN	Proportion of population using basic sanitation services, by location (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			R	Rural	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	83.71608	83.71608	83.71604	83.71592	83.7158	83.71568	83.71556	83.71544	83.71532	83.7152	83.71508	83.71496	83.71484	83.71472	83.7146	83.71448	83.71436	83.71424	83.71424				WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E: Estimated data
SP_ACS_BSRVSAN	Proportion of population using basic sanitation services, by location (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			U	Urban	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	82.47898	82.09802	81.71706	81.3361	80.95515	80.57419	80.19323	79.81227	79.43131	79.05035	78.6694	78.28844	77.90748	77.52652	77.14556	76.7646	76.38365	76.00269	76.00269				WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E: Estimated data
SP_ACS_BSRVSAN	Proportion of population using basic sanitation services, by location (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			_T	All areas	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	70.88732	70.49843	70.10973	69.72138	69.33337	68.94571	68.55824	68.17112	67.78436	67.39779	67.01173	66.62587	66.24037	65.85506	65.47028	65.08819	64.70898	64.33268	64.33268				WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E: Estimated data
SP_ACS_BSRVSAN	Proportion of population using basic sanitation services, by location (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			R	Rural	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	66.59456	66.16277	65.73099	65.2992	64.86742	64.43563	64.00385	63.57206	63.14027	62.70849	62.2767	61.84492	61.41313	60.98135	60.54956	60.11778	59.68599	59.25421	59.25421				WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E: Estimated data
SP_ACS_BSRVSAN	Proportion of population using basic sanitation services, by location (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			U	Urban	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	40.55778	41.25285	41.94792	42.64299	42.70737	42.75151	42.77543	42.77911	42.76256	42.72578	42.66877	42.59153	42.49406	42.37636	42.23843	42.08027	41.90187	41.70325	41.70325				WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E: Estimated data
SP_ACS_BSRVSAN	Proportion of population using basic sanitation services, by location (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			_T	All areas	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	45.21474	45.42356	45.63437	45.84729	45.86864	45.88706	45.90239	45.91453	45.92326	45.92855	45.93007	45.92771	45.92133	45.91062	45.89551	45.87571	45.85102	45.8212	45.8212				WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E: Estimated data
SP_ACS_BSRVSAN	Proportion of population using basic sanitation services, by location (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			R	Rural	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	45.63327	45.80906	45.98485	46.16065	46.1866	46.21142	46.23511	46.25765	46.27906	46.29934	46.31847	46.33647	46.35333	46.36906	46.38365	46.3971	46.40941	46.42059	46.42059				WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E: Estimated data
SP_ACS_BSRVSAN	Proportion of population using basic sanitation services, by location (%)	11	Western Africa	4	202	Sub-Saharan Africa	Region								U	Urban	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	30.66644	30.99845	31.73659	32.48688	33.24427	34.02926	34.83331	35.64592	36.46876	37.30425	38.15248	39.01287	39.88537	40.76919	41.66302	42.5679	43.48368	44.39574	44.39574				WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E: Estimated data
