series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	sex_code	sex_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
VC_PRR_PHYV	Police reporting rate for physical assault, by sex (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			F	Female	[2018]	2018	2018	1	PT	Percentage	G	Global									25.2	25.2			Source: MICS6 survey 2019; Percentage of men / women for whom the last incident of physical violence of robbery and/or assault in the last year was reported to the police	United Nations Office on Drugs and Crime		_X: Data nature not available
VC_PRR_PHYV	Police reporting rate for physical assault, by sex (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			M	Male	[2018]	2018	2018	1	PT	Percentage	G	Global									28.0	28.0			Source: MICS6 survey 2019; Percentage of men / women for whom the last incident of physical violence of robbery and/or assault in the last year was reported to the police	United Nations Office on Drugs and Crime		_X: Data nature not available
VC_PRR_PHYV	Police reporting rate for physical assault, by sex (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			F	Female	[2014]	2014	2014	1	PT	Percentage	G	Global					38.57					38.57				United Nations Office on Drugs and Crime		_X: Data nature not available
VC_PRR_PHYV	Police reporting rate for physical assault, by sex (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			M	Male	[2014]	2014	2014	1	PT	Percentage	G	Global					37.46					37.46				United Nations Office on Drugs and Crime		_X: Data nature not available
VC_PRR_PHYV	Police reporting rate for physical assault, by sex (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			_T	Both sexes	[2014]	2014	2014	1	PT	Percentage	G	Global					38.0					38.0				United Nations Office on Drugs and Crime		_X: Data nature not available
VC_PRR_PHYV	Police reporting rate for physical assault, by sex (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1			F	Female	[2016]	2016	2016	1	PT	Percentage	G	Global							65.6			65.6				United Nations Office on Drugs and Crime		_X: Data nature not available
VC_PRR_PHYV	Police reporting rate for physical assault, by sex (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1			M	Male	[2016]	2016	2016	1	PT	Percentage	G	Global							36.0			36.0				United Nations Office on Drugs and Crime		_X: Data nature not available
VC_PRR_PHYV	Police reporting rate for physical assault, by sex (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1			_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global							48.8			48.8				United Nations Office on Drugs and Crime		_X: Data nature not available
VC_PRR_PHYV	Police reporting rate for physical assault, by sex (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1			F	Female	[2015, 2016, 2017, 2018]	2015	2018	4	PT	Percentage	G	Global						60.8	69.4	53.4	57.4	57.4				United Nations Office on Drugs and Crime		_X: Data nature not available
VC_PRR_PHYV	Police reporting rate for physical assault, by sex (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1			M	Male	[2015, 2016, 2017, 2018]	2015	2018	4	PT	Percentage	G	Global						44.3	39.7	43.9	35.5	35.5				United Nations Office on Drugs and Crime		_X: Data nature not available
VC_PRR_PHYV	Police reporting rate for physical assault, by sex (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1			_T	Both sexes	[2015, 2016, 2017, 2018]	2015	2018	4	PT	Percentage	G	Global						50.9	50.2	47.4	45.1	45.1				United Nations Office on Drugs and Crime		_X: Data nature not available
VC_PRR_PHYV	Police reporting rate for physical assault, by sex (%)	170	Colombia	5	5	South America	Country	-73.07446751	3.888209046	COL	1	1			_T	Both sexes	[2012, 2013, 2014, 2015, 2016, 2018]	2012	2018	6	PT	Percentage	G	Global			18.0	22.1	20.1	19.7	22.1		25.0	25.0			Source: DANE. The ECSC 2016 collects information extending to 2015.	United Nations Office on Drugs and Crime		_X: Data nature not available
VC_PRR_PHYV	Police reporting rate for physical assault, by sex (%)	203	Czechia	4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1			_T	Both sexes	[2010, 2013]	2010	2013	2	PT	Percentage	G	Global	33.0			22.0						22.0				United Nations Office on Drugs and Crime		_X: Data nature not available
VC_PRR_PHYV	Police reporting rate for physical assault, by sex (%)	24	Angola	5	17	Middle Africa	Country	17.57817062	-12.33724746	AGO	1	1			_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global							36.2			36.2				United Nations Office on Drugs and Crime		_X: Data nature not available
VC_PRR_PHYV	Police reporting rate for physical assault, by sex (%)	250	France	4	155	Western Europe	Country	2.457288129	46.62660861	FRA	1	1			_T	Both sexes	[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2010	2018	9	PT	Percentage	G	Global	31.92	24.13	31.74	27.89	24.98	27.38	33.1	31.3	25.0	25.0				United Nations Office on Drugs and Crime		_X: Data nature not available
VC_PRR_PHYV	Police reporting rate for physical assault, by sex (%)	275	State of Palestine	4	145	Western Asia	Country	35.25694122	31.94347933	PSE	0	1			_T	Both sexes	[2012, 2016]	2012	2016	2	PT	Percentage	G	Global			17.7				20.0			20.0			Source: Palestinian Central Bureau of Statistics, Main Reports- Victimization Survey 2004, 2008, 2012, 2016. Ramallah - Palestine	United Nations Office on Drugs and Crime		_X: Data nature not available
VC_PRR_PHYV	Police reporting rate for physical assault, by sex (%)	276	Germany	4	155	Western Europe	Country	10.3806066	51.08862743	DEU	1	1			M	Male	[2017]	2017	2017	1	PT	Percentage	G	Global								34.6		34.6				United Nations Office on Drugs and Crime		_X: Data nature not available
VC_PRR_PHYV	Police reporting rate for physical assault, by sex (%)	276	Germany	4	155	Western Europe	Country	10.3806066	51.08862743	DEU	1	1			_T	Both sexes	[2017]	2017	2017	1	PT	Percentage	G	Global								36.6		36.6				United Nations Office on Drugs and Crime		_X: Data nature not available
VC_PRR_PHYV	Police reporting rate for physical assault, by sex (%)	276	Germany	4	155	Western Europe	Country	10.3806066	51.08862743	DEU	1	1			F	Female	[2017]	2017	2017	1	PT	Percentage	G	Global								40.0		40.0				United Nations Office on Drugs and Crime		_X: Data nature not available
VC_PRR_PHYV	Police reporting rate for physical assault, by sex (%)	32	Argentina	5	5	South America	Country	-65.14563274	-35.19446255	ARG	1	1			_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global							41.5			41.5				United Nations Office on Drugs and Crime		_X: Data nature not available
VC_PRR_PHYV	Police reporting rate for physical assault, by sex (%)	32	Argentina	5	5	South America	Country	-65.14563274	-35.19446255	ARG	1	1			M	Male	[2016]	2016	2016	1	PT	Percentage	G	Global							29.6			29.6				United Nations Office on Drugs and Crime		_X: Data nature not available
VC_PRR_PHYV	Police reporting rate for physical assault, by sex (%)	32	Argentina	5	5	South America	Country	-65.14563274	-35.19446255	ARG	1	1			F	Female	[2016]	2016	2016	1	PT	Percentage	G	Global							55.3			55.3				United Nations Office on Drugs and Crime		_X: Data nature not available
