series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	age_code	age_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	value_2019	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	1	World	1			Region								Y1T14	1 to 14 years old	[2019]	2019	2019	1	PT	Percentage	G	Global															78.9	78.9			Based on 69 countries with a population coverage of 28 per cent	DHS, MICS and other national surveys		E: Estimated data
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			Y2T14	2 to 14 years old	[2016]	2016	2016	1	PT	Percentage	G	Global												77.2				77.2			Refers to children aged 2-14 years	DHS		C: Country data
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			Y1T14	1 to 14 years old	[2017]	2017	2017	1	PT	Percentage	G	Global													89.6			89.6				DHS		C: Country data
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			Y1T14	1 to 14 years old	[2019]	2019	2019	1	PT	Percentage	G	Global															57.0	57.0				MICS		C: Country data
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			Y2T14	2 to 14 years old	[2013]	2013	2013	1	PT	Percentage	G	Global									86.3							86.3			Refers to children aged 2-14 years	MICS		C: Country data
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1			Y1T14	1 to 14 years old	[2014]	2014	2014	1	PT	Percentage	G	Global										85.0						85.0				MICS		C: Country data
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	140	Central African Republic	5	17	Middle Africa	Country	20.93559492	7.003720791	CAF	1	1			Y2T14	2 to 14 years old	[2010]	2010	2010	1	PT	Percentage	G	Global						92.0										92.0			Refers to children aged 2-14 years; not included in aggregates as falls outside year range	MICS		C: Country data
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	143	Central Asia	3	142	Asia	Region								Y1T14	1 to 14 years old	[2019]	2019	2019	1	PT	Percentage	G	Global															58.4	58.4			Based on 4 countries with a population coverage of 57 per cent	DHS, MICS and other national surveys		E: Estimated data
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	148	Chad	5	17	Middle Africa	Country	18.66618401	15.36279341	TCD	1	1			Y1T14	1 to 14 years old	[2015]	2015	2015	1	PT	Percentage	G	Global											71.1					71.1				DHS		C: Country data
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	15	Northern Africa	3	2	Africa	Region								Y1T14	1 to 14 years old	[2019]	2019	2019	1	PT	Percentage	G	Global															84.1	84.1			Based on 4 countries with a population coverage of 85 per cent	DHS, MICS and other national surveys		E: Estimated data
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	178	Congo	5	11	Western Africa	Country	15.22052612	-0.840544119	COG	1	1			Y1T14	1 to 14 years old	[2015]	2015	2015	1	PT	Percentage	G	Global											82.5					82.5				MICS 		C: Country data
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	180	Democratic Republic of the Congo	5	17	Middle Africa	Country	23.65496507	-2.877154732	COD	1	1			Y1T14	1 to 14 years old	[2014]	2014	2014	1	PT	Percentage	G	Global										81.6						81.6				DHS		C: Country data
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	188	Costa Rica	5	13	Central America	Country	-84.19712782	9.970998683	CRI	1	1			Y2T14	2 to 14 years old	[2011]	2011	2011	1	PT	Percentage	G	Global							45.6									45.6			Refers to children aged 2-14 years; not included in aggregates as falls outside year range	MICS		C: Country data
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	192	Cuba	5	29	Caribbean	Country	-79.54460144	22.10030366	CUB	1	1			Y1T14	1 to 14 years old	[2014]	2014	2014	1	PT	Percentage	G	Global										36.0						36.0				MICS		C: Country data
VC_VAW_PHYPYV	Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)	199	Least Developed Countries (LDC)	1			Group								Y1T14	1 to 14 years old	[2019]	2019	2019	1	PT	Percentage	G	Global															81.2	81.2			Based on 26 countries with a population coverage of 59 per cent	DHS, MICS and other national surveys		E: Estimated data
