series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2010	value_2015	value_2016	value_2017	value_2018	value_2019	value_2020	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	1	World	1			Region								[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	PT	Percentage	G	Global	14.17	16.87	17.54	17.72	17.77	17.82	17.83	17.88	17.88			Aggregate. Only countries with data for all years included	FAO, Global Forest Resources Assessment		_X: Data nature not available
AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	PT	Percentage	G	Global	6.39	14.92	18.37	18.37	18.37	18.37	18.37	18.37	18.37			Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	PT	Percentage	G	Global	4.07	14.89	16.55	17.46	17.46	17.46	17.46	17.46	17.46			Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	PT	Percentage	G	Global	41.12	41.12	41.12	41.12	41.12	41.12	41.12	41.12	41.12			Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	11	Western Africa	4	202	Sub-Saharan Africa	Region								[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	PT	Percentage	G	Global	30.4	30.48	30.8	30.8	30.77	30.75	29.54	29.53	29.53			Aggregate. Only countries with data for all years included	FAO, Global Forest Resources Assessment		_X: Data nature not available
AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	PT	Percentage	G	Global	5.64	12.67	12.93	13.2	13.53	14.27	15.03	15.8	15.8			Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	PT	Percentage	G	Global	35.99	35.47	35.47	35.47	35.47	35.47	35.47	35.47	35.47			Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	PT	Percentage	G	Global	6.08	6.08	6.08	6.08	6.08	6.08	6.08	6.08	6.08			Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	PT	Percentage	G	Global	19.08	19.08	19.08	19.08	19.12	19.12	19.12	19.12	19.12			Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	PT	Percentage	G	Global	5.24	8.13	8.5	8.5	8.5	8.5	8.5	8.5	8.5			Country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data
