series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	value_2019	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
EN_EWT_GENPCAP	Electronic waste generated, per capita (Kg)	1	World	1			Region								[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]	2000	2019	20	KG	Kilograms	G	Global	3.00137841336362	3.16673316751729	3.33638372694569	3.519103927292	3.71882717310175	3.93501845776791	4.17037582258309	4.42460359149366	4.69643392556072	4.9791441039489	5.302872	5.598597	5.876775	6.1398	6.374998	6.580263	6.764296	6.93794	7.107587	7.280486	7.280486				Environment Live / UNU		E: Estimated data
EN_EWT_GENPCAP	Electronic waste generated, per capita (Kg)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]	2000	2019	20	KG	Kilograms	G	Global	3.917349	4.232382	4.454597	4.709451	5.012565	5.375017	5.791693	6.254342	6.741107	7.24633	7.778159	8.43522	8.926517	9.387282	9.834158	10.251079	10.664581	11.053948	11.404887	11.741564	11.741564				Environment Live / UNU		E: Estimated data
EN_EWT_GENPCAP	Electronic waste generated, per capita (Kg)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]	2000	2019	20	KG	Kilograms	G	Global	0.098159	0.112383	0.132584	0.159534	0.190951	0.226884	0.273446	0.330994	0.395994	0.469699	0.548958	0.634897	0.726542	0.82585	0.930172	1.039614	1.155842	1.278118	1.412444	1.55436	1.55436				Environment Live / UNU		E: Estimated data
EN_EWT_GENPCAP	Electronic waste generated, per capita (Kg)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]	2000	2019	20	KG	Kilograms	G	Global	0.066713	0.070659	0.075842	0.085043	0.095533	0.111163	0.127684	0.147623	0.171057	0.19647	0.224816	0.255942	0.287483	0.317814	0.346834	0.374302	0.399423	0.422276	0.441531	0.458266	0.458266				Environment Live / UNU		E: Estimated data
EN_EWT_GENPCAP	Electronic waste generated, per capita (Kg)	11	Western Africa	4	202	Sub-Saharan Africa	Region								[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]	2000	2019	20	KG	Kilograms	G	Global	0.339729581678873	0.359639277618222	0.383342410856497	0.412651646665231	0.452881247375713	0.500582741547153	0.562107618617619	0.634588216340888	0.718783549705074	0.809562526147795	0.902660646157304	1.00114912527678	1.10188150379434	1.20028943485332	1.29148921818538	1.37496379511227	1.4577007678535	1.54096749816652	1.61743371682518	1.68482636745516	1.68482636745516				Environment Live / UNU		E: Estimated data
EN_EWT_GENPCAP	Electronic waste generated, per capita (Kg)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]	2000	2019	20	KG	Kilograms	G	Global	2.286767	2.461143	2.646829	2.829445	3.030794	3.279653	3.572737	3.924845	4.338026	4.787056	5.249717	5.745123	6.243894	6.737419	7.215344	7.656255	8.082758	8.484227	8.914337	9.330043	9.330043				Environment Live / UNU		E: Estimated data
EN_EWT_GENPCAP	Electronic waste generated, per capita (Kg)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1			[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]	2000	2019	20	KG	Kilograms	G	Global	0.094648	0.115826	0.139818	0.167485	0.199455	0.237554	0.280951	0.332984	0.390459	0.451889	0.513391	0.575227	0.637979	0.701533	0.771275	0.84152	0.912287	0.991305	1.071027	1.143424	1.143424				Environment Live / UNU		E: Estimated data
EN_EWT_GENPCAP	Electronic waste generated, per capita (Kg)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]	2000	2019	20	KG	Kilograms	G	Global	2.9969	3.191511	3.382574	3.578475	3.800631	4.042833	4.303502	4.596324	4.880534	5.169003	5.458888	5.745398	6.003581	6.236127	6.437032	6.603128	6.749312	6.874345	6.990501	7.106677	7.106677				Environment Live / UNU		E: Estimated data
EN_EWT_GENPCAP	Electronic waste generated, per capita (Kg)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1			[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]	2000	2019	20	KG	Kilograms	G	Global	0.198112	0.21162	0.227144	0.244705	0.265809	0.291365	0.323436	0.362924	0.414293	0.470996	0.532297	0.595669	0.655997	0.712419	0.767306	0.821485	0.878707	0.933212	0.98559	1.034727	1.034727				Environment Live / UNU		E: Estimated data
EN_EWT_GENPCAP	Electronic waste generated, per capita (Kg)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]	2000	2019	20	KG	Kilograms	G	Global	11.322937	11.881511	12.449101	13.086817	13.750809	14.410764	15.051679	15.680649	16.273314	16.809948	17.306115	17.846378	18.400338	18.909352	19.335636	19.700475	19.911015	20.051541	20.137185	20.212898	20.212898				Environment Live / UNU		E: Estimated data
