series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	age_code	age_desc	sex_code	sex_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
VC_HTF_DETVFL	Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			_T	All age ranges or no breaks by age	M	Male	[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2010	2018	9	NUMBER	Number										23.0	77.0	47.0	33.0	13.0	19.0	23.0	51.0	12.0	12.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETVFL	Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			_T	All age ranges or no breaks by age	F	Female	[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2010	2018	9	NUMBER	Number										11.0	14.0	18.0	11.0	3.0	4.0	8.0	16.0	47.0	47.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETVFL	Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			Y0T17	under 18 years old	M	Male	[2014, 2015, 2016, 2017, 2018]	2014	2018	5	NUMBER	Number														2.0	1.0	2.0	0.0	0.0	0.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETVFL	Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			Y0T17	under 18 years old	F	Female	[2014, 2015, 2016, 2017, 2018]	2014	2018	5	NUMBER	Number														1.0	3.0	1.0	0.0	0.0	0.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETVFL	Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			Y_GE18	18 years old and over	F	Female	[2014, 2015, 2016, 2017, 2018]	2014	2018	5	NUMBER	Number														2.0	2.0	7.0	16.0	47.0	47.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETVFL	Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			Y_GE18	18 years old and over	M	Male	[2014, 2015, 2016, 2017, 2018]	2014	2018	5	NUMBER	Number														11.0	20.0	21.0	51.0	12.0	12.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETVFL	Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			_T	All age ranges or no breaks by age	M	Male	[2012, 2013, 2014, 2015, 2016, 2017]	2012	2017	6	NUMBER	Number												51.0	80.0	125.0	351.0	77.0	57.0		57.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETVFL	Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			_T	All age ranges or no breaks by age	F	Female	[2012, 2013, 2014, 2015, 2016, 2017]	2012	2017	6	NUMBER	Number												18.0	27.0	21.0	43.0	23.0	18.0		18.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETVFL	Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			Y_GE18	18 years old and over	F	Female	[2015, 2016, 2017]	2015	2017	3	NUMBER	Number															13.0	17.0	15.0		15.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETVFL	Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			Y_GE18	18 years old and over	M	Male	[2015, 2016, 2017]	2015	2017	3	NUMBER	Number															307.0	33.0	52.0		52.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETVFL	Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			Y0T17	under 18 years old	F	Female	[2015, 2016, 2017]	2015	2017	3	NUMBER	Number															30.0	6.0	3.0		3.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETVFL	Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			Y0T17	under 18 years old	M	Male	[2015, 2016, 2017]	2015	2017	3	NUMBER	Number															44.0	44.0	5.0		5.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETVFL	Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			_T	All age ranges or no breaks by age	M	Male	[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2010	2018	9	NUMBER	Number										0.0	1.0	1.0	0.0	1.0	16.0	17.0	1.0	5.0	5.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETVFL	Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			_T	All age ranges or no breaks by age	F	Female	[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2010	2018	9	NUMBER	Number										14.0	7.0	0.0	0.0	4.0	0.0	3.0	2.0	5.0	5.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETVFL	Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			Y_GE18	18 years old and over	M	Male	[2013, 2014, 2015, 2016, 2017, 2018]	2013	2018	6	NUMBER	Number													0.0	1.0	16.0	17.0	1.0	5.0	5.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETVFL	Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			Y0T17	under 18 years old	M	Male	[2013, 2014, 2015, 2016, 2017, 2018]	2013	2018	6	NUMBER	Number													0.0	0.0	0.0	0.0	0.0	0.0	0.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETVFL	Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			Y_GE18	18 years old and over	F	Female	[2013, 2014, 2015, 2016, 2017, 2018]	2013	2018	6	NUMBER	Number													0.0	4.0	0.0	3.0	2.0	5.0	5.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETVFL	Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			Y0T17	under 18 years old	F	Female	[2013, 2014, 2015, 2016, 2017, 2018]	2013	2018	6	NUMBER	Number													0.0	0.0	0.0	0.0	0.0	0.0	0.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETVFL	Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			_T	All age ranges or no breaks by age	M	Male	[2014, 2015, 2016, 2017]	2014	2017	4	NUMBER	Number														0.0	0.0	0.0	14.0		14.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETVFL	Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			_T	All age ranges or no breaks by age	F	Female	[2014, 2015, 2016, 2017]	2014	2017	4	NUMBER	Number														0.0	0.0	0.0	13.0		13.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETVFL	Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			Y_GE18	18 years old and over	F	Female	[2014, 2015, 2016, 2017]	2014	2017	4	NUMBER	Number														0.0	0.0	0.0	0.0		0.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETVFL	Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			Y_GE18	18 years old and over	M	Male	[2014, 2015, 2016, 2017]	2014	2017	4	NUMBER	Number														0.0	0.0	0.0	14.0		14.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETVFL	Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			Y0T17	under 18 years old	F	Female	[2014, 2015, 2016, 2017]	2014	2017	4	NUMBER	Number														0.0	0.0	0.0	13.0		13.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETVFL	Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			Y0T17	under 18 years old	M	Male	[2014, 2015, 2016, 2017]	2014	2017	4	NUMBER	Number														0.0	0.0	0.0	0.0		0.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETVFL	Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			_T	All age ranges or no breaks by age	M	Male	[2010, 2011, 2012, 2013, 2014, 2015, 2017, 2018]	2010	2018	8	NUMBER	Number										22.0	60.0	5.0	0.0	10.0	2.0		1.0	7.0	7.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETVFL	Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			_T	All age ranges or no breaks by age	F	Female	[2010, 2011, 2012, 2013, 2014, 2015, 2017, 2018]	2010	2018	8	NUMBER	Number										3.0	2.0	4.0	3.0	4.0	5.0		1.0	3.0	3.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETVFL	Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			Y_GE18	18 years old and over	F	Female	[2014, 2017, 2018]	2014	2018	3	NUMBER	Number														0.0			1.0	3.0	3.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETVFL	Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			Y_GE18	18 years old and over	M	Male	[2014, 2015, 2017, 2018]	2014	2018	4	NUMBER	Number														10.0	2.0		1.0	7.0	7.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETVFL	Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			Y0T17	under 18 years old	F	Female	[2014, 2017, 2018]	2014	2018	3	NUMBER	Number														0.0			0.0	0.0	0.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETVFL	Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			Y0T17	under 18 years old	M	Male	[2014, 2015, 2017, 2018]	2014	2018	4	NUMBER	Number														4.0	5.0		0.0	0.0	0.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETVFL	Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)	144	Sri Lanka	4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1			_T	All age ranges or no breaks by age	F	Female	[2016]	2016	2016	1	NUMBER	Number																4.0			4.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETVFL	Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)	144	Sri Lanka	4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1			_T	All age ranges or no breaks by age	M	Male	[2016]	2016	2016	1	NUMBER	Number																1.0			1.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETVFL	Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1			_T	All age ranges or no breaks by age	F	Female	[2011, 2013, 2014, 2015, 2016, 2017, 2018]	2011	2018	7	NUMBER	Number											23.0		0.0	0.0	4.0	0.0	3.0	11.0	11.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETVFL	Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1			_T	All age ranges or no breaks by age	M	Male	[2011, 2013, 2014, 2015, 2016, 2017, 2018]	2011	2018	7	NUMBER	Number											51.0		78.0	1.0	0.0	2.0	2.0	1.0	1.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETVFL	Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1			Y0T17	under 18 years old	M	Male	[2014, 2015, 2016, 2017, 2018]	2014	2018	5	NUMBER	Number														1.0	0.0	1.0	0.0	0.0	0.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETVFL	Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1			Y0T17	under 18 years old	F	Female	[2015, 2017, 2018]	2015	2018	3	NUMBER	Number															4.0		1.0	0.0	0.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETVFL	Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1			Y_GE18	18 years old and over	F	Female	[2015, 2017, 2018]	2015	2018	3	NUMBER	Number															0.0		2.0	11.0	11.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETVFL	Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1			Y_GE18	18 years old and over	M	Male	[2015, 2016, 2017, 2018]	2015	2018	4	NUMBER	Number															0.0	1.0	2.0	1.0	1.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETVFL	Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)	158	Other non-specified areas in Eastern Asia	4	30	Eastern Asia	Country								_T	All age ranges or no breaks by age	F	Female	[2011, 2012, 2013, 2014, 2015, 2016]	2011	2016	6	NUMBER	Number											84.0	244.0	198.0	154.0	122.0	52.0			52.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETVFL	Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)	158	Other non-specified areas in Eastern Asia	4	30	Eastern Asia	Country								_T	All age ranges or no breaks by age	M	Male	[2011, 2012, 2013, 2014, 2015, 2016]	2011	2016	6	NUMBER	Number											10.0	66.0	57.0	52.0	64.0	64.0			64.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETVFL	Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)	170	Colombia	5	5	South America	Country	-73.07446751	3.888209046	COL	1	1			_T	All age ranges or no breaks by age	F	Female	[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2010	2018	9	NUMBER	Number										0.0	0.0	2.0	9.0	19.0	7.0	6.0	5.0	10.0	10.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETVFL	Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)	170	Colombia	5	5	South America	Country	-73.07446751	3.888209046	COL	1	1			_T	All age ranges or no breaks by age	M	Male	[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2010	2018	9	NUMBER	Number										12.0	1.0	4.0	14.0	16.0	1.0	7.0	8.0	17.0	17.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
