goal_code	goal_labelEN	goal_descEN	target_code	target_descEN	indicator_code	indicator_reference	indicator_tier	indicator_custodians	indicator_descEN	series_release	series_tags	series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	location_code	location_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.1	By 2030, achieve universal and equitable access to safe and affordable drinking water for all	C060101	6.1.1	II	WHO, UNICEF	Proportion of population using safely managed drinking water services	2020.Q1.G.01	['water', 'drinking water']	SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	1			Region						_T	All areas	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	61.25434	61.70454	62.83692	63.60941	63.93015	64.24246	64.56688	64.88221	65.19863	65.85203	66.49626	67.12907	67.74305	68.34628	68.94266	69.53274	70.10356	70.64488	70.64488				WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E: Estimated data
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.1	By 2030, achieve universal and equitable access to safe and affordable drinking water for all	C060101	6.1.1	II	WHO, UNICEF	Proportion of population using safely managed drinking water services	2020.Q1.G.01	['water', 'drinking water']	SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	1			Region						U	Urban	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	86.17919	86.13555	86.34688	86.29749	86.24792	86.18039	86.12835	86.07311	86.01056	85.94473	85.87328	85.77981	85.68166	85.57937	85.4778	85.37737	85.26961	85.14748	85.14748				WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E: Estimated data
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.1	By 2030, achieve universal and equitable access to safe and affordable drinking water for all	C060101	6.1.1	II	WHO, UNICEF	Proportion of population using safely managed drinking water services	2020.Q1.G.01	['water', 'drinking water']	SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	1	World	1			Region						R	Rural	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	39.4361	39.92612	41.45364	42.55228	42.79121	43.03233	43.29615	43.55946	43.8296	44.8021	45.78517	46.81956	47.85402	48.89293	49.93764	50.98648	52.0242	53.03716	53.03716				WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E: Estimated data
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.1	By 2030, achieve universal and equitable access to safe and affordable drinking water for all	C060101	6.1.1	II	WHO, UNICEF	Proportion of population using safely managed drinking water services	2020.Q1.G.01	['water', 'drinking water']	SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	_T	All areas	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	96.83742	96.83825	96.83501	96.80889	96.76394	96.71948	96.6755	96.632	96.58899	96.70982	96.83096	96.95243	97.07426	97.03456	97.01165	96.98926	96.96734	96.94594	96.94594				WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E: Estimated data
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.1	By 2030, achieve universal and equitable access to safe and affordable drinking water for all	C060101	6.1.1	II	WHO, UNICEF	Proportion of population using safely managed drinking water services	2020.Q1.G.01	['water', 'drinking water']	SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	11	Western Africa	4	202	Sub-Saharan Africa	Region						R	Rural	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	8.90365	9.19708	9.49685	9.79592	10.13621	10.50326	10.87684	11.25458	11.63702	12.0258	12.42135	12.82466	13.23544	13.65345	14.0785	14.51018	14.94742	15.41426	15.41426				WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E: Estimated data
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.1	By 2030, achieve universal and equitable access to safe and affordable drinking water for all	C060101	6.1.1	II	WHO, UNICEF	Proportion of population using safely managed drinking water services	2020.Q1.G.01	['water', 'drinking water']	SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	11	Western Africa	4	202	Sub-Saharan Africa	Region						_T	All areas	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	17.3098	17.65321	17.99695	18.33778	18.70389	19.08562	19.47086	19.85561	20.24005	20.62528	21.01129	21.39768	21.78422	22.17012	22.55514	22.93927	23.32118	23.71325	23.71325				WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E: Estimated data
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.1	By 2030, achieve universal and equitable access to safe and affordable drinking water for all	C060101	6.1.1	II	WHO, UNICEF	Proportion of population using safely managed drinking water services	2020.Q1.G.01	['water', 'drinking water']	SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	11	Western Africa	4	202	Sub-Saharan Africa	Region						U	Urban	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	33.2393	33.23879	33.23406	33.22427	33.2175	33.21659	33.22286	33.23574	33.25403	33.27621	33.3008	33.32905	33.36085	33.39568	33.43293	33.47274	33.51426	33.55561	33.55561				WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E: Estimated data
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.1	By 2030, achieve universal and equitable access to safe and affordable drinking water for all	C060101	6.1.1	II	WHO, UNICEF	Proportion of population using safely managed drinking water services	2020.Q1.G.01	['water', 'drinking water']	SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	_T	All areas	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	80.62173	80.80693	80.9906	81.17236	82.53634	83.86742	85.16609	86.43282	87.6683	88.87239	90.05456	91.2051	92.32057	93.40165	94.44904	94.47332	94.49743	94.52139	94.52139				WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E: Estimated data
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.1	By 2030, achieve universal and equitable access to safe and affordable drinking water for all	C060101	6.1.1	II	WHO, UNICEF	Proportion of population using safely managed drinking water services	2020.Q1.G.01	['water', 'drinking water']	SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	R	Rural	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	10.80921	11.15437	11.49953	11.8447	12.18986	12.53502	12.88019	13.22535	13.57051	13.91568	14.26084	14.606	14.95117	15.29633	15.64149	15.98666	16.33182	16.67699	16.67699				WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E: Estimated data
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.1	By 2030, achieve universal and equitable access to safe and affordable drinking water for all	C060101	6.1.1	II	WHO, UNICEF	Proportion of population using safely managed drinking water services	2020.Q1.G.01	['water', 'drinking water']	SH_H2O_SAFE	Proportion of population using safely managed drinking water services, by urban/rural (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	_T	All areas	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	16.87518	17.3384	17.80263	18.26786	18.73443	19.20236	19.6713	20.14162	20.62666	21.18638	21.75101	22.32062	22.89527	23.47464	24.05955	24.6497	25.24514	25.84555	25.84555				WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)		E: Estimated data
