goal_code	goal_labelEN	goal_descEN	target_code	target_descEN	indicator_code	indicator_reference	indicator_tier	indicator_custodians	indicator_descEN	series_release	series_tags	series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2015	value_2016	value_2017	value_2018	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
1	Goal 1	End poverty in all its forms everywhere	1.5	By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters	C200305	1.5.4	II	UNDRR	Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies	2020.Q1.G.01	['local governments', 'means of implementation', 'disaster prevention', 'preparedness and relief', 'laws and regulations']	SG_DSR_SILN	Number of local governments that adopt and implement local DRR strategies in line with national strategies (number)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	[2015, 2016, 2017, 2018]	2015	2018	4	NUMBER	Number	G	Global	0.0	0.0	0.0	0.0	0.0			Some of the data has not followed an official validation process and may be subject to revision at a later date.â	Sendai Framework Monitoring System as provided by designated national focal points (2019)		C: Country data
1	Goal 1	End poverty in all its forms everywhere	1.5	By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters	C200305	1.5.4	II	UNDRR	Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies	2020.Q1.G.01	['local governments', 'means of implementation', 'disaster prevention', 'preparedness and relief', 'laws and regulations']	SG_DSR_SILN	Number of local governments that adopt and implement local DRR strategies in line with national strategies (number)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	[2015, 2016, 2017]	2015	2017	3	NUMBER	Number	G	Global	15.0	15.0	15.0		15.0			Some of the data has not followed an official validation process and may be subject to revision at a later date.â	Sendai Framework Monitoring System as provided by designated national focal points (2019)		C: Country data
1	Goal 1	End poverty in all its forms everywhere	1.5	By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters	C200305	1.5.4	II	UNDRR	Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies	2020.Q1.G.01	['local governments', 'means of implementation', 'disaster prevention', 'preparedness and relief', 'laws and regulations']	SG_DSR_SILN	Number of local governments that adopt and implement local DRR strategies in line with national strategies (number)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	[2015]	2015	2015	1	NUMBER	Number	G	Global	67.0				67.0			Some of the data has not followed an official validation process and may be subject to revision at a later date.â	Sendai Framework Monitoring System as provided by designated national focal points (2019)		C: Country data
1	Goal 1	End poverty in all its forms everywhere	1.5	By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters	C200305	1.5.4	II	UNDRR	Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies	2020.Q1.G.01	['local governments', 'means of implementation', 'disaster prevention', 'preparedness and relief', 'laws and regulations']	SG_DSR_SILN	Number of local governments that adopt and implement local DRR strategies in line with national strategies (number)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1	[2015, 2016, 2017, 2018]	2015	2018	4	NUMBER	Number	G	Global	70.0	76.0	102.0	192.0	192.0			Some of the data has not followed an official validation process and may be subject to revision at a later date.â	Sendai Framework Monitoring System as provided by designated national focal points (2019)		C: Country data
1	Goal 1	End poverty in all its forms everywhere	1.5	By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters	C200305	1.5.4	II	UNDRR	Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies	2020.Q1.G.01	['local governments', 'means of implementation', 'disaster prevention', 'preparedness and relief', 'laws and regulations']	SG_DSR_SILN	Number of local governments that adopt and implement local DRR strategies in line with national strategies (number)	170	Colombia	5	5	South America	Country	-73.07446751	3.888209046	COL	1	1	[2015, 2016, 2017, 2018]	2015	2018	4	NUMBER	Number	G	Global	813.0	867.0	885.0	903.0	903.0			Some of the data has not followed an official validation process and may be subject to revision at a later date.â	Sendai Framework Monitoring System as provided by designated national focal points (2019)		C: Country data
1	Goal 1	End poverty in all its forms everywhere	1.5	By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters	C200305	1.5.4	II	UNDRR	Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies	2020.Q1.G.01	['local governments', 'means of implementation', 'disaster prevention', 'preparedness and relief', 'laws and regulations']	SG_DSR_SILN	Number of local governments that adopt and implement local DRR strategies in line with national strategies (number)	174	Comoros	5	14	Eastern Africa	Country	43.34234565	-11.66121732	COM	1	1	[2017]	2017	2017	1	NUMBER	Number	G	Global			3.0		3.0			Some of the data has not followed an official validation process and may be subject to revision at a later date.â	Sendai Framework Monitoring System as provided by designated national focal points (2019)		C: Country data
1	Goal 1	End poverty in all its forms everywhere	1.5	By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters	C200305	1.5.4	II	UNDRR	Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies	2020.Q1.G.01	['local governments', 'means of implementation', 'disaster prevention', 'preparedness and relief', 'laws and regulations']	SG_DSR_SILN	Number of local governments that adopt and implement local DRR strategies in line with national strategies (number)	188	Costa Rica	5	13	Central America	Country	-84.19712782	9.970998683	CRI	1	1	[2015, 2016, 2017, 2018]	2015	2018	4	NUMBER	Number	G	Global	89.0	89.0	89.0	89.0	89.0			Some of the data has not followed an official validation process and may be subject to revision at a later date.â	Sendai Framework Monitoring System as provided by designated national focal points (2019)		C: Country data
1	Goal 1	End poverty in all its forms everywhere	1.5	By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters	C200305	1.5.4	II	UNDRR	Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies	2020.Q1.G.01	['local governments', 'means of implementation', 'disaster prevention', 'preparedness and relief', 'laws and regulations']	SG_DSR_SILN	Number of local governments that adopt and implement local DRR strategies in line with national strategies (number)	191	Croatia	4	39	Southern Europe	Country	17.95874553	45.45172212	HRV	1	1	[2017]	2017	2017	1	NUMBER	Number	G	Global			0.0		0.0			Some of the data has not followed an official validation process and may be subject to revision at a later date.â	Sendai Framework Monitoring System as provided by designated national focal points (2019)		C: Country data
1	Goal 1	End poverty in all its forms everywhere	1.5	By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters	C200305	1.5.4	II	UNDRR	Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies	2020.Q1.G.01	['local governments', 'means of implementation', 'disaster prevention', 'preparedness and relief', 'laws and regulations']	SG_DSR_SILN	Number of local governments that adopt and implement local DRR strategies in line with national strategies (number)	203	Czechia	4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1	[2015, 2016, 2017]	2015	2017	3	NUMBER	Number	G	Global	14.0	14.0	14.0		14.0			Some of the data has not followed an official validation process and may be subject to revision at a later date.â	Sendai Framework Monitoring System as provided by designated national focal points (2019)		C: Country data
1	Goal 1	End poverty in all its forms everywhere	1.5	By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters	C200305	1.5.4	II	UNDRR	Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies	2020.Q1.G.01	['local governments', 'means of implementation', 'disaster prevention', 'preparedness and relief', 'laws and regulations']	SG_DSR_SILN	Number of local governments that adopt and implement local DRR strategies in line with national strategies (number)	218	Ecuador	5	5	South America	Country	-78.37005241	-1.447785891	ECU	1	1	[2015, 2016, 2017, 2018]	2015	2018	4	NUMBER	Number	G	Global	174.0	183.0	191.0	209.0	209.0			Some of the data has not followed an official validation process and may be subject to revision at a later date.â	Sendai Framework Monitoring System as provided by designated national focal points (2019)		C: Country data
