goal_code	goal_labelEN	goal_descEN	target_code	target_descEN	indicator_code	indicator_reference	indicator_tier	indicator_custodians	indicator_descEN	series_release	series_tags	series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	sex_code	sex_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2004	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
16	Goal 16	Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels	16.3	Promote the rule of law at the national and international levels and ensure equal access to justice for all	C160301	16.3.1	II	UNODC	Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms	2020.Q1.G.01	['violence', 'sex crimes']	VC_PRR_SEXV	Police reporting rate for sexual assault, by sex (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1	_T	Both sexes	[2004, 2014]	2004	2014	2	PT	Percentage	G	Global	8.0									5.0				5.0			UN-CTS = United Nations Survey of Crime Trends and Criminal Justice Operations	UNODC		_X: Data nature not available
16	Goal 16	Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels	16.3	Promote the rule of law at the national and international levels and ensure equal access to justice for all	C160301	16.3.1	II	UNODC	Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms	2020.Q1.G.01	['violence', 'sex crimes']	VC_PRR_SEXV	Police reporting rate for sexual assault, by sex (%)	191	Croatia	4	39	Southern Europe	Country	17.95874553	45.45172212	HRV	1	1	_T	Both sexes	[2008]	2008	2008	1	PT	Percentage	G	Global				0.0										0.0			UN-CTS = United Nations Survey of Crime Trends and Criminal Justice Operations	UNODC		_X: Data nature not available
16	Goal 16	Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels	16.3	Promote the rule of law at the national and international levels and ensure equal access to justice for all	C160301	16.3.1	II	UNODC	Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms	2020.Q1.G.01	['violence', 'sex crimes']	VC_PRR_SEXV	Police reporting rate for sexual assault, by sex (%)	24	Angola	5	17	Middle Africa	Country	17.57817062	-12.33724746	AGO	1	1	_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global												6.7		6.7			UN-CTS = United Nations Survey of Crime Trends and Criminal Justice Operations	UNODC		_X: Data nature not available
16	Goal 16	Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels	16.3	Promote the rule of law at the national and international levels and ensure equal access to justice for all	C160301	16.3.1	II	UNODC	Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms	2020.Q1.G.01	['violence', 'sex crimes']	VC_PRR_SEXV	Police reporting rate for sexual assault, by sex (%)	250	France	4	155	Western Europe	Country	2.457288129	46.62660861	FRA	1	1	_T	Both sexes	[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2010	2017	8	PT	Percentage	G	Global						11.59	12.81	10.75	7.61	9.98	8.84	18.0	18.0	18.0			UN-CTS = United Nations Survey of Crime Trends and Criminal Justice Operations	UNODC		_X: Data nature not available
16	Goal 16	Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels	16.3	Promote the rule of law at the national and international levels and ensure equal access to justice for all	C160301	16.3.1	II	UNODC	Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms	2020.Q1.G.01	['violence', 'sex crimes']	VC_PRR_SEXV	Police reporting rate for sexual assault, by sex (%)	268	Georgia	4	145	Western Asia	Country	43.3713615	42.04813028	GEO	1	1	_T	Both sexes	[2010]	2010	2010	1	PT	Percentage	G	Global						60.0								60.0			UN-CTS = United Nations Survey of Crime Trends and Criminal Justice Operations	UNODC		_X: Data nature not available
16	Goal 16	Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels	16.3	Promote the rule of law at the national and international levels and ensure equal access to justice for all	C160301	16.3.1	II	UNODC	Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms	2020.Q1.G.01	['violence', 'sex crimes']	VC_PRR_SEXV	Police reporting rate for sexual assault, by sex (%)	32	Argentina	5	5	South America	Country	-65.14563274	-35.19446255	ARG	1	1	_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global												12.5		12.5			Refers to the police reporting rate for sexual violence	UNODC		_X: Data nature not available
16	Goal 16	Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels	16.3	Promote the rule of law at the national and international levels and ensure equal access to justice for all	C160301	16.3.1	II	UNODC	Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms	2020.Q1.G.01	['violence', 'sex crimes']	VC_PRR_SEXV	Police reporting rate for sexual assault, by sex (%)	344	China, Hong Kong Special Administrative Region	4	30	Eastern Asia	Country	114.0266445	22.41749934	HKG	0	1	_T	Both sexes	[2006]	2006	2006	1	PT	Percentage	G	Global		0.05												0.05			UN-CTS = United Nations Survey of Crime Trends and Criminal Justice Operations	UNODC		_X: Data nature not available
16	Goal 16	Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels	16.3	Promote the rule of law at the national and international levels and ensure equal access to justice for all	C160301	16.3.1	II	UNODC	Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms	2020.Q1.G.01	['violence', 'sex crimes']	VC_PRR_SEXV	Police reporting rate for sexual assault, by sex (%)	352	Iceland	4	154	Northern Europe	Country	-19.02116966	64.79134763	ISL	1	1	_T	Both sexes	[2013, 2014, 2015, 2016, 2017]	2013	2017	5	PT	Percentage	G	Global									4.2	6.6	3.3	10.3	7.2	7.2			UN-CTS = United Nations Survey of Crime Trends and Criminal Justice Operations	UNODC		_X: Data nature not available
16	Goal 16	Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels	16.3	Promote the rule of law at the national and international levels and ensure equal access to justice for all	C160301	16.3.1	II	UNODC	Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms	2020.Q1.G.01	['violence', 'sex crimes']	VC_PRR_SEXV	Police reporting rate for sexual assault, by sex (%)	36	Australia	4	53	Australia and New Zealand	Country	134.3499412	-25.57717202	AUS	1	1	_T	Both sexes	[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2009	2016	8	PT	Percentage	G	Global					31.2	36.6	31.0	30.5	34.2	38.2	24.7	30.4		30.4			"[""Source: ABS crime victimization survey. Definition of sexual assault aligns with the definition of sexual violence and includes sexual assault and rape. Includes incidents that occurred at the person's place of work. Excludes sexual harassment that did not involve or lead to an actual sexual assault. Includes only persons aged 18 years.""]"	UNODC		_X: Data nature not available
16	Goal 16	Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels	16.3	Promote the rule of law at the national and international levels and ensure equal access to justice for all	C160301	16.3.1	II	UNODC	Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms	2020.Q1.G.01	['violence', 'sex crimes']	VC_PRR_SEXV	Police reporting rate for sexual assault, by sex (%)	376	Israel	4	145	Western Asia	Country	34.62277992	31.06164552	ISR	1	1	_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global												11.6		11.6			Refers to the police reporting rate for sexual violence	UNODC		_X: Data nature not available
16	Goal 16	Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels	16.3	Promote the rule of law at the national and international levels and ensure equal access to justice for all	C160301	16.3.1	II	UNODC	Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms	2020.Q1.G.01	['violence', 'sex crimes']	VC_PRR_SEXV	Police reporting rate for sexual assault, by sex (%)	388	Jamaica	5	29	Caribbean	Country	-77.31068409	18.15616857	JAM	1	1	_T	Both sexes	[2006]	2006	2006	1	PT	Percentage	G	Global		66.0												66.0			UN-CTS = United Nations Survey of Crime Trends and Criminal Justice Operations	UNODC		_X: Data nature not available
16	Goal 16	Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels	16.3	Promote the rule of law at the national and international levels and ensure equal access to justice for all	C160301	16.3.1	II	UNODC	Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms	2020.Q1.G.01	['violence', 'sex crimes']	VC_PRR_SEXV	Police reporting rate for sexual assault, by sex (%)	410	Republic of Korea	4	30	Eastern Asia	Country	127.8610254	36.45201023	KOR	1	1	_T	Both sexes	[2012, 2014, 2016]	2012	2016	3	PT	Percentage	G	Global								8.4		5.4		13.7		13.7			UN-CTS = United Nations Survey of Crime Trends and Criminal Justice Operations	UNODC		_X: Data nature not available
16	Goal 16	Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels	16.3	Promote the rule of law at the national and international levels and ensure equal access to justice for all	C160301	16.3.1	II	UNODC	Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms	2020.Q1.G.01	['violence', 'sex crimes']	VC_PRR_SEXV	Police reporting rate for sexual assault, by sex (%)	410	Republic of Korea	4	30	Eastern Asia	Country	127.8610254	36.45201023	KOR	1	1	F	Female	[2014, 2016]	2014	2016	2	PT	Percentage	G	Global										4.1		13.7		13.7			UN-CTS = United Nations Survey of Crime Trends and Criminal Justice Operations	UNODC		_X: Data nature not available
16	Goal 16	Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels	16.3	Promote the rule of law at the national and international levels and ensure equal access to justice for all	C160301	16.3.1	II	UNODC	Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms	2020.Q1.G.01	['violence', 'sex crimes']	VC_PRR_SEXV	Police reporting rate for sexual assault, by sex (%)	410	Republic of Korea	4	30	Eastern Asia	Country	127.8610254	36.45201023	KOR	1	1	M	Male	[2014]	2014	2014	1	PT	Percentage	G	Global										1.0				1.0			UN-CTS = United Nations Survey of Crime Trends and Criminal Justice Operations	UNODC		_X: Data nature not available
16	Goal 16	Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels	16.3	Promote the rule of law at the national and international levels and ensure equal access to justice for all	C160301	16.3.1	II	UNODC	Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms	2020.Q1.G.01	['violence', 'sex crimes']	VC_PRR_SEXV	Police reporting rate for sexual assault, by sex (%)	417	Kyrgyzstan	4	143	Central Asia	Country	74.52324839	41.46204516	KGZ	1	1	_T	Both sexes	[2015]	2015	2015	1	PT	Percentage	G	Global											31.8			31.8			UN-CTS = United Nations Survey of Crime Trends and Criminal Justice Operations	UNODC		_X: Data nature not available
16	Goal 16	Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels	16.3	Promote the rule of law at the national and international levels and ensure equal access to justice for all	C160301	16.3.1	II	UNODC	Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms	2020.Q1.G.01	['violence', 'sex crimes']	VC_PRR_SEXV	Police reporting rate for sexual assault, by sex (%)	442	Luxembourg	4	155	Western Europe	Country	6.092656563	49.77679538	LUX	1	1	_T	Both sexes	[2013]	2013	2013	1	PT	Percentage	G	Global									29.0					29.0			UN-CTS = United Nations Survey of Crime Trends and Criminal Justice Operations	UNODC		_X: Data nature not available
16	Goal 16	Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels	16.3	Promote the rule of law at the national and international levels and ensure equal access to justice for all	C160301	16.3.1	II	UNODC	Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms	2020.Q1.G.01	['violence', 'sex crimes']	VC_PRR_SEXV	Police reporting rate for sexual assault, by sex (%)	52	Barbados	5	29	Caribbean	Country	-59.5346489	13.13648273	BRB	1	1	_T	Both sexes	[2009]	2009	2009	1	PT	Percentage	G	Global					8.0									8.0			UN-CTS = United Nations Survey of Crime Trends and Criminal Justice Operations	UNODC		_X: Data nature not available
16	Goal 16	Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels	16.3	Promote the rule of law at the national and international levels and ensure equal access to justice for all	C160301	16.3.1	II	UNODC	Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms	2020.Q1.G.01	['violence', 'sex crimes']	VC_PRR_SEXV	Police reporting rate for sexual assault, by sex (%)	528	Netherlands	4	155	Western Europe	Country	5.331480568	51.86728884	NLD	1	1	_T	Both sexes	[2006, 2007, 2008, 2009, 2010, 2011]	2006	2011	6	PT	Percentage	G	Global		12.6	11.3	4.4	11.2	7.3	9.1							9.1			UN-CTS = United Nations Survey of Crime Trends and Criminal Justice Operations	UNODC		_X: Data nature not available
16	Goal 16	Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels	16.3	Promote the rule of law at the national and international levels and ensure equal access to justice for all	C160301	16.3.1	II	UNODC	Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms	2020.Q1.G.01	['violence', 'sex crimes']	VC_PRR_SEXV	Police reporting rate for sexual assault, by sex (%)	554	New Zealand	4	53	Australia and New Zealand	Country	170.4755673	-43.98721568	NZL	1	1	_T	Both sexes	[2011]	2011	2011	1	PT	Percentage	G	Global							6.8							6.8			UN-CTS = United Nations Survey of Crime Trends and Criminal Justice Operations	UNODC		_X: Data nature not available
16	Goal 16	Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels	16.3	Promote the rule of law at the national and international levels and ensure equal access to justice for all	C160301	16.3.1	II	UNODC	Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms	2020.Q1.G.01	['violence', 'sex crimes']	VC_PRR_SEXV	Police reporting rate for sexual assault, by sex (%)	56	Belgium	4	155	Western Europe	Country	4.660976456	50.64104975	BEL	1	1	_T	Both sexes	[2006, 2009]	2006	2009	2	PT	Percentage	G	Global		3.27			7.23									7.23			UN-CTS = United Nations Survey of Crime Trends and Criminal Justice Operations	UNODC		_X: Data nature not available
16	Goal 16	Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels	16.3	Promote the rule of law at the national and international levels and ensure equal access to justice for all	C160301	16.3.1	II	UNODC	Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms	2020.Q1.G.01	['violence', 'sex crimes']	VC_PRR_SEXV	Police reporting rate for sexual assault, by sex (%)	600	Paraguay	5	5	South America	Country	-60.54854225	-21.70216237	PRY	1	1	_T	Both sexes	[2008, 2010]	2008	2010	2	PT	Percentage	G	Global				7.0		0.0								0.0			UN-CTS = United Nations Survey of Crime Trends and Criminal Justice Operations	UNODC		_X: Data nature not available
16	Goal 16	Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels	16.3	Promote the rule of law at the national and international levels and ensure equal access to justice for all	C160301	16.3.1	II	UNODC	Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms	2020.Q1.G.01	['violence', 'sex crimes']	VC_PRR_SEXV	Police reporting rate for sexual assault, by sex (%)	710	South Africa	5	18	Southern Africa	Country	24.67184355	-29.99957544	ZAF	1	1	_T	Both sexes	[2013, 2014]	2013	2014	2	PT	Percentage	G	Global									72.4	63.0				63.0			UN-CTS = United Nations Survey of Crime Trends and Criminal Justice Operations	UNODC		_X: Data nature not available
16	Goal 16	Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels	16.3	Promote the rule of law at the national and international levels and ensure equal access to justice for all	C160301	16.3.1	II	UNODC	Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms	2020.Q1.G.01	['violence', 'sex crimes']	VC_PRR_SEXV	Police reporting rate for sexual assault, by sex (%)	752	Sweden	4	154	Northern Europe	Country	14.3775338	60.60103109	SWE	1	1	_T	Both sexes	[2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2006	2017	12	PT	Percentage	G	Global		11.0	17.0	14.0	19.0	12.0	23.0	19.0	10.0	12.0	8.0	9.0	11.0	11.0			The reporting period is the calendar year prior to the interview.	UNODC		_X: Data nature not available
16	Goal 16	Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels	16.3	Promote the rule of law at the national and international levels and ensure equal access to justice for all	C160301	16.3.1	II	UNODC	Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms	2020.Q1.G.01	['violence', 'sex crimes']	VC_PRR_SEXV	Police reporting rate for sexual assault, by sex (%)	756	Switzerland	4	155	Western Europe	Country	8.223158	46.96617097	CHE	1	1	_T	Both sexes	[2015]	2015	2015	1	PT	Percentage	G	Global											3.4			3.4			UN-CTS = United Nations Survey of Crime Trends and Criminal Justice Operations	UNODC		_X: Data nature not available
16	Goal 16	Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels	16.3	Promote the rule of law at the national and international levels and ensure equal access to justice for all	C160301	16.3.1	II	UNODC	Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms	2020.Q1.G.01	['violence', 'sex crimes']	VC_PRR_SEXV	Police reporting rate for sexual assault, by sex (%)	764	Thailand	4	35	South-Eastern Asia	Country	101.0202951	15.13089239	THA	1	1	_T	Both sexes	[2012, 2016]	2012	2016	2	PT	Percentage	G	Global								67.3				0.0		0.0			Refers to the police reporting rate for sexual violence	UNODC		_X: Data nature not available
16	Goal 16	Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels	16.3	Promote the rule of law at the national and international levels and ensure equal access to justice for all	C160301	16.3.1	II	UNODC	Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms	2020.Q1.G.01	['violence', 'sex crimes']	VC_PRR_SEXV	Police reporting rate for sexual assault, by sex (%)	780	Trinidad and Tobago	5	29	Caribbean	Country	-61.29389504	10.41877263	TTO	1	1	_T	Both sexes	[2007, 2015]	2007	2015	2	PT	Percentage	G	Global			44.7								18.0			18.0			UN-CTS = United Nations Survey of Crime Trends and Criminal Justice Operations	UNODC		_X: Data nature not available
