goal_code	goal_labelEN	goal_descEN	target_code	target_descEN	indicator_code	indicator_reference	indicator_tier	indicator_custodians	indicator_descEN	series_release	series_tags	series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
8	Goal 8	Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all	8.9	By 2030, devise and implement policies to promote sustainable tourism that creates jobs and promotes local culture and products	C080901	8.9.1	II	UNWTO	Tourism direct GDP as a proportion of total GDP and in growth rate	2020.Q1.G.01	['gross domestic product', 'tourism']	ST_GDP_ZS	Tourism direct GDP as a proportion of total GDP (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	[2014, 2016]	2014	2016	2	PT	Percentage	G	Global							1.8		2.2			2.2				National Statistical Committee of the Republic of Belarus, Tourism Satellite Accounts		C: Country data
8	Goal 8	Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all	8.9	By 2030, devise and implement policies to promote sustainable tourism that creates jobs and promotes local culture and products	C080901	8.9.1	II	UNWTO	Tourism direct GDP as a proportion of total GDP and in growth rate	2020.Q1.G.01	['gross domestic product', 'tourism']	ST_GDP_ZS	Tourism direct GDP as a proportion of total GDP (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1	[2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2008	2018	11	PT	Percentage	G	Global	2.0	2.0	2.0	2.0	2.0	1.9	1.9	2.0	2.0	2.0	2.1	2.1			The data correspond to Tourism GVA (direct) as a percentage of total GVA	Statistics Canada, National Tourism Indicators, via cooperation UNWTO - OECD.		C: Country data
8	Goal 8	Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all	8.9	By 2030, devise and implement policies to promote sustainable tourism that creates jobs and promotes local culture and products	C080901	8.9.1	II	UNWTO	Tourism direct GDP as a proportion of total GDP and in growth rate	2020.Q1.G.01	['gross domestic product', 'tourism']	ST_GDP_ZS	Tourism direct GDP as a proportion of total GDP (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1	[2008, 2009, 2010, 2011, 2012]	2008	2012	5	PT	Percentage	G	Global	3.6	3.4	3.2	3.1	3.2							3.2			The data correspond to Tourism GVA (direct) as a percentage of total GVA. Provisional value.	Undersecretary of Tourism, via cooperation UNWTO - OECD.		C: Country data
8	Goal 8	Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all	8.9	By 2030, devise and implement policies to promote sustainable tourism that creates jobs and promotes local culture and products	C080901	8.9.1	II	UNWTO	Tourism direct GDP as a proportion of total GDP and in growth rate	2020.Q1.G.01	['gross domestic product', 'tourism']	ST_GDP_ZS	Tourism direct GDP as a proportion of total GDP (%)	170	Colombia	5	5	South America	Country	-73.07446751	3.888209046	COL	1	1	[2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2008	2018	11	PT	Percentage	G	Global	2.6	2.5	2.4	2.2	2.1	2.1	2.1	1.9	2.0	2.0	2.0	2.0			[2008-2016,2018]: The data correspond to Tourism GVA (direct) as a percentage of total GVA. // [2017]: The data correspond to Tourism GVA (direct) as a percentage of total GVA. Provisional value.	National Administrative Department of Statistics (DANE), via cooperation UNWTO - OECD.		C: Country data
8	Goal 8	Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all	8.9	By 2030, devise and implement policies to promote sustainable tourism that creates jobs and promotes local culture and products	C080901	8.9.1	II	UNWTO	Tourism direct GDP as a proportion of total GDP and in growth rate	2020.Q1.G.01	['gross domestic product', 'tourism']	ST_GDP_ZS	Tourism direct GDP as a proportion of total GDP (%)	188	Costa Rica	5	13	Central America	Country	-84.19712782	9.970998683	CRI	1	1	[2012, 2013, 2014, 2015, 2016]	2012	2016	5	PT	Percentage	G	Global					4.4	4.7	4.6	4.7	5.0			5.0				Central Bank of Costa Rica, Macroeconomic Statistics Department, via cooperation UNWTO - OECD.		C: Country data
8	Goal 8	Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all	8.9	By 2030, devise and implement policies to promote sustainable tourism that creates jobs and promotes local culture and products	C080901	8.9.1	II	UNWTO	Tourism direct GDP as a proportion of total GDP and in growth rate	2020.Q1.G.01	['gross domestic product', 'tourism']	ST_GDP_ZS	Tourism direct GDP as a proportion of total GDP (%)	191	Croatia	4	39	Southern Europe	Country	17.95874553	45.45172212	HRV	1	1	[2011, 2016]	2011	2016	2	PT	Percentage	G	Global				10.3					11.4			11.4				Institute for Tourism, Tourism Satellite Account, via cooperation UNWTO - OECD.		C: Country data
8	Goal 8	Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all	8.9	By 2030, devise and implement policies to promote sustainable tourism that creates jobs and promotes local culture and products	C080901	8.9.1	II	UNWTO	Tourism direct GDP as a proportion of total GDP and in growth rate	2020.Q1.G.01	['gross domestic product', 'tourism']	ST_GDP_ZS	Tourism direct GDP as a proportion of total GDP (%)	203	Czechia	4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1	[2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2008	2017	10	PT	Percentage	G	Global	2.6	2.7	2.5	2.5	2.7	2.9	2.7	2.8	2.9	2.9		2.9			[2016-2017]: Provisional value	Czech Statistical Office, Tourism Satellite Account, via cooperation UNWTO - OECD.		C: Country data
8	Goal 8	Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all	8.9	By 2030, devise and implement policies to promote sustainable tourism that creates jobs and promotes local culture and products	C080901	8.9.1	II	UNWTO	Tourism direct GDP as a proportion of total GDP and in growth rate	2020.Q1.G.01	['gross domestic product', 'tourism']	ST_GDP_ZS	Tourism direct GDP as a proportion of total GDP (%)	208	Denmark	4	154	Northern Europe	Country	9.326571283	56.03829721	DNK	1	1	[2008, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2008	2017	9	PT	Percentage	G	Global	1.7		2.0	1.5	1.5	1.7	1.9	1.9	1.9	2.4		2.4			[2008,2010-2012,2014-2015,2017]: The data correspond to Tourism GVA (direct) as a percentage of total GVA. Data are not comparable over time // [2013,2016]: The data correspond to Tourism GVA (direct) as a percentage of total GVA. Break in series. Data are not comparable over time.	VisitDenmark, CRT (LINE-model), via cooperation UNWTO - OECD.		C: Country data
8	Goal 8	Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all	8.9	By 2030, devise and implement policies to promote sustainable tourism that creates jobs and promotes local culture and products	C080901	8.9.1	II	UNWTO	Tourism direct GDP as a proportion of total GDP and in growth rate	2020.Q1.G.01	['gross domestic product', 'tourism']	ST_GDP_ZS	Tourism direct GDP as a proportion of total GDP (%)	218	Ecuador	5	5	South America	Country	-78.37005241	-1.447785891	ECU	1	1	[2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2008	2016	9	PT	Percentage	G	Global	1.8	1.7	1.7	1.9	1.9	1.9	2.0	1.9	1.9			1.9				Tourism Satellite Account		C: Country data
8	Goal 8	Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all	8.9	By 2030, devise and implement policies to promote sustainable tourism that creates jobs and promotes local culture and products	C080901	8.9.1	II	UNWTO	Tourism direct GDP as a proportion of total GDP and in growth rate	2020.Q1.G.01	['gross domestic product', 'tourism']	ST_GDP_ZS	Tourism direct GDP as a proportion of total GDP (%)	233	Estonia	4	154	Northern Europe	Country	25.84093481	58.68487172	EST	1	1	[2008, 2009, 2010, 2011, 2012, 2013, 2014]	2008	2014	7	PT	Percentage	G	Global	4.2	4.7	4.5	4.4	4.3	4.7	5.4					5.4				Statistics Estonia, via cooperation UNWTO - OECD.		C: Country data
