goal_code	goal_labelEN	goal_descEN	target_code	target_descEN	indicator_code	indicator_reference	indicator_tier	indicator_custodians	indicator_descEN	series_release	series_tags	series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
8	Goal 8	Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all	8.a	Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries	C080a01	8.a.1	I	OECD	Aid for Trade commitments and disbursements	2020.Q1.G.01	['means of implementation', 'development finance', 'international trade', 'trade financing', 'trade promotion']	DC_TOF_TRDCML	Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2017 United States dollars)	1	World	1			Region						[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2005	2017	13	CON_USD	Constant USD	G	Global	23160.41569	25541.41877	28321.52837	37460.92969	37851.52279	40599.11884	40313.27447	48097.40631	51177.8908	50159.11167	56268.74155	51587.7146	57783.76423	57783.76423			[2005]: Commitments | Based on OECD, CRS databased, 2019 | Constant 2017 USD million | 2002-05 avg. // [2006-2017]: Commitments | Based on OECD, CRS databased, 2019 | Constant 2017 USD million	The Organisation for Economic Co-operation and Development (OECD).		C: Country data
8	Goal 8	Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all	8.a	Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries	C080a01	8.a.1	I	OECD	Aid for Trade commitments and disbursements	2020.Q1.G.01	['means of implementation', 'development finance', 'international trade', 'trade financing', 'trade promotion']	DC_TOF_TRDCML	Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2017 United States dollars)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2005	2017	13	CON_USD	Constant USD	G	Global	9.94332	15.78961	9.52795	20.86361	18.7406	31.43838	48.31017	61.47924	1120.45971	909.97963	2281.22598	609.93072	1191.45718	1191.45718			[2005]: Commitments | Based on OECD, CRS databased, 2019 | Constant 2017 USD million | 2002-05 avg. // [2006-2017]: Commitments | Based on OECD, CRS databased, 2019 | Constant 2017 USD million	The Organisation for Economic Co-operation and Development (OECD).		C: Country data
8	Goal 8	Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all	8.a	Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries	C080a01	8.a.1	I	OECD	Aid for Trade commitments and disbursements	2020.Q1.G.01	['means of implementation', 'development finance', 'international trade', 'trade financing', 'trade promotion']	DC_TOF_TRDCML	Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2017 United States dollars)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2005	2017	13	CON_USD	Constant USD	G	Global	48.01571	84.45452	78.43824	80.80604	119.2327	184.36964	185.42191	127.43952	242.76655	252.25393	143.41744	92.30154	226.38035	226.38035			[2005]: Commitments | Based on OECD, CRS databased, 2019 | Constant 2017 USD million | 2002-05 avg. // [2006-2017]: Commitments | Based on OECD, CRS databased, 2019 | Constant 2017 USD million	The Organisation for Economic Co-operation and Development (OECD).		C: Country data
8	Goal 8	Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all	8.a	Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries	C080a01	8.a.1	I	OECD	Aid for Trade commitments and disbursements	2020.Q1.G.01	['means of implementation', 'development finance', 'international trade', 'trade financing', 'trade promotion']	DC_TOF_TRDCML	Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2017 United States dollars)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2005	2017	13	CON_USD	Constant USD	G	Global	0.52541	2.1324	12.41145	8.05606	17.77349	61.46214	4.5609	6.19349	7.05279	11.34818	5.22724	25.74551	18.40977	18.40977			[2005]: Commitments | Based on OECD, CRS databased, 2019 | Constant 2017 USD million | 2002-05 avg. // [2006-2017]: Commitments | Based on OECD, CRS databased, 2019 | Constant 2017 USD million	The Organisation for Economic Co-operation and Development (OECD).		C: Country data
8	Goal 8	Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all	8.a	Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries	C080a01	8.a.1	I	OECD	Aid for Trade commitments and disbursements	2020.Q1.G.01	['means of implementation', 'development finance', 'international trade', 'trade financing', 'trade promotion']	DC_TOF_TRDCML	Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2017 United States dollars)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2005	2017	13	CON_USD	Constant USD	G	Global	177.42357	192.47576	162.00677	252.48582	228.54491	418.16943	218.11397	268.27475	351.81738	628.63659	430.9793	494.97165	525.48391	525.48391			[2005]: Commitments | Based on OECD, CRS databased, 2019 | Constant 2017 USD million | 2002-05 avg. // [2006-2017]: Commitments | Based on OECD, CRS databased, 2019 | Constant 2017 USD million	The Organisation for Economic Co-operation and Development (OECD).		C: Country data
8	Goal 8	Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all	8.a	Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries	C080a01	8.a.1	I	OECD	Aid for Trade commitments and disbursements	2020.Q1.G.01	['means of implementation', 'development finance', 'international trade', 'trade financing', 'trade promotion']	DC_TOF_TRDCML	Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2017 United States dollars)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1	[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2005	2017	13	CON_USD	Constant USD	G	Global	93.35654	200.43124	152.73992	32.9587	12.07785	25.37895	33.14765	22.48904	19.80001	22.54635	5.85697	18.53009	22.626	22.626			[2005]: Commitments | Based on OECD, CRS databased, 2019 | Constant 2017 USD million | 2002-05 avg. // [2006-2017]: Commitments | Based on OECD, CRS databased, 2019 | Constant 2017 USD million	The Organisation for Economic Co-operation and Development (OECD).		C: Country data
8	Goal 8	Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all	8.a	Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries	C080a01	8.a.1	I	OECD	Aid for Trade commitments and disbursements	2020.Q1.G.01	['means of implementation', 'development finance', 'international trade', 'trade financing', 'trade promotion']	DC_TOF_TRDCML	Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2017 United States dollars)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2005	2017	13	CON_USD	Constant USD	G	Global	115.81116	293.49323	302.08566	212.74501	327.06275	149.21241	381.16871	469.25067	153.54965	323.36301	134.71201	190.04869	445.10184	445.10184			[2005]: Commitments | Based on OECD, CRS databased, 2019 | Constant 2017 USD million | 2002-05 avg. // [2006-2017]: Commitments | Based on OECD, CRS databased, 2019 | Constant 2017 USD million	The Organisation for Economic Co-operation and Development (OECD).		C: Country data
8	Goal 8	Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all	8.a	Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries	C080a01	8.a.1	I	OECD	Aid for Trade commitments and disbursements	2020.Q1.G.01	['means of implementation', 'development finance', 'international trade', 'trade financing', 'trade promotion']	DC_TOF_TRDCML	Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2017 United States dollars)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1	[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2005	2017	13	CON_USD	Constant USD	G	Global	78.87412	23.99111	63.57878	95.39789	110.12902	61.95251	39.29498	85.3157	37.34773	56.95927	45.92438	14.89934	57.71849	57.71849			[2005]: Commitments | Based on OECD, CRS databased, 2019 | Constant 2017 USD million | 2002-05 avg. // [2006-2017]: Commitments | Based on OECD, CRS databased, 2019 | Constant 2017 USD million	The Organisation for Economic Co-operation and Development (OECD).		C: Country data
8	Goal 8	Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all	8.a	Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries	C080a01	8.a.1	I	OECD	Aid for Trade commitments and disbursements	2020.Q1.G.01	['means of implementation', 'development finance', 'international trade', 'trade financing', 'trade promotion']	DC_TOF_TRDCML	Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2017 United States dollars)	140	Central African Republic	5	17	Middle Africa	Country	20.93559492	7.003720791	CAF	1	1	[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2005	2017	13	CON_USD	Constant USD	G	Global	32.17266	114.24645	47.14488	5.00609	83.49082	16.91362	81.88796	125.67769	6.72221	9.04336	0.32601	9.63658	51.22109	51.22109			[2005]: Commitments | Based on OECD, CRS databased, 2019 | Constant 2017 USD million | 2002-05 avg. // [2006-2017]: Commitments | Based on OECD, CRS databased, 2019 | Constant 2017 USD million	The Organisation for Economic Co-operation and Development (OECD).		C: Country data
8	Goal 8	Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all	8.a	Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries	C080a01	8.a.1	I	OECD	Aid for Trade commitments and disbursements	2020.Q1.G.01	['means of implementation', 'development finance', 'international trade', 'trade financing', 'trade promotion']	DC_TOF_TRDCML	Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2017 United States dollars)	144	Sri Lanka	4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1	[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2005	2017	13	CON_USD	Constant USD	G	Global	451.49934	298.08726	289.46606	455.82462	354.93607	298.37925	522.35645	539.66199	444.45714	808.81743	473.13007	969.22858	484.02309	484.02309			[2005]: Commitments | Based on OECD, CRS databased, 2019 | Constant 2017 USD million | 2002-05 avg. // [2006-2017]: Commitments | Based on OECD, CRS databased, 2019 | Constant 2017 USD million	The Organisation for Economic Co-operation and Development (OECD).		C: Country data
