goal_code	goal_labelEN	goal_descEN	target_code	target_descEN	indicator_code	indicator_reference	indicator_tier	indicator_custodians	indicator_descEN	series_release	series_tags	series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2009	value_2012	value_2014	value_2015	value_2016	value_2017	value_2018	value_2019	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
5	Goal 5	Achieve gender equality and empower all women and girls	5.a	Undertake reforms to give women equal rights to economic resources, as well as access to ownership and control over land and other forms of property, financial services, inheritance and natural resources, in accordance with national laws	C050a01	5.a.1	II	FAO	(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure	2020.Q1.G.01	['land tenure', 'agricultural land', 'gender equality', 'women', 'advancement of women']	SP_GNP_WNOWNS	Share of women among owners or rights-bearers of agricultural land, by type of tenure (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	[2009]	2009	2009	1	PT	Percentage	G	Global	50.7								50.7			The total agricultural population is restricted to household head and the wife of the household head due to data limitations. Documented ownership is the criteria used to produce the estimate.	Household Socio-Economic Survey		E: Estimated data
5	Goal 5	Achieve gender equality and empower all women and girls	5.a	Undertake reforms to give women equal rights to economic resources, as well as access to ownership and control over land and other forms of property, financial services, inheritance and natural resources, in accordance with national laws	C050a01	5.a.1	II	FAO	(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure	2020.Q1.G.01	['land tenure', 'agricultural land', 'gender equality', 'women', 'advancement of women']	SP_GNP_WNOWNS	Share of women among owners or rights-bearers of agricultural land, by type of tenure (%)	231	Ethiopia	5	14	Eastern Africa	Country	39.63505296	8.631223181	ETH	1	1	[2016]	2016	2016	1	PT	Percentage	G	Global					50.9				50.9			Documented ownership and the right to sell are the criteria used to produce the estimate.	Ethiopian Rural Socio-economic Survey		E: Estimated data
5	Goal 5	Achieve gender equality and empower all women and girls	5.a	Undertake reforms to give women equal rights to economic resources, as well as access to ownership and control over land and other forms of property, financial services, inheritance and natural resources, in accordance with national laws	C050a01	5.a.1	II	FAO	(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure	2020.Q1.G.01	['land tenure', 'agricultural land', 'gender equality', 'women', 'advancement of women']	SP_GNP_WNOWNS	Share of women among owners or rights-bearers of agricultural land, by type of tenure (%)	356	India	4	34	Southern Asia	Country	79.3608464	22.34642074	IND	1	1	[2012]	2012	2012	1	PT	Percentage	G	Global		14.3							14.3			The estimate is produced combining the information on the sex of the individuals and the information on the name under which the land is registered.	India Human Development Survey		E: Estimated data
5	Goal 5	Achieve gender equality and empower all women and girls	5.a	Undertake reforms to give women equal rights to economic resources, as well as access to ownership and control over land and other forms of property, financial services, inheritance and natural resources, in accordance with national laws	C050a01	5.a.1	II	FAO	(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure	2020.Q1.G.01	['land tenure', 'agricultural land', 'gender equality', 'women', 'advancement of women']	SP_GNP_WNOWNS	Share of women among owners or rights-bearers of agricultural land, by type of tenure (%)	454	Malawi	5	14	Eastern Africa	Country	33.4884625	-13.40819859	MWI	1	1	[2017]	2017	2017	1	PT	Percentage	G	Global						57.9			57.9			Documented ownership, the right to sell and the right to bequeath are the criteria used to produce the estimate.	Fourth Integrated Household Survey		E: Estimated data
5	Goal 5	Achieve gender equality and empower all women and girls	5.a	Undertake reforms to give women equal rights to economic resources, as well as access to ownership and control over land and other forms of property, financial services, inheritance and natural resources, in accordance with national laws	C050a01	5.a.1	II	FAO	(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure	2020.Q1.G.01	['land tenure', 'agricultural land', 'gender equality', 'women', 'advancement of women']	SP_GNP_WNOWNS	Share of women among owners or rights-bearers of agricultural land, by type of tenure (%)	562	Niger	5	11	Western Africa	Country	9.400167877	17.42143036	NER	1	1	[2014]	2014	2014	1	PT	Percentage	G	Global			10.5						10.5			Documented ownership is the criteria used to produce the estimate.	National Survey on Household and Living Conditions		E: Estimated data
5	Goal 5	Achieve gender equality and empower all women and girls	5.a	Undertake reforms to give women equal rights to economic resources, as well as access to ownership and control over land and other forms of property, financial services, inheritance and natural resources, in accordance with national laws	C050a01	5.a.1	II	FAO	(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure	2020.Q1.G.01	['land tenure', 'agricultural land', 'gender equality', 'women', 'advancement of women']	SP_GNP_WNOWNS	Share of women among owners or rights-bearers of agricultural land, by type of tenure (%)	566	Nigeria	5	11	Western Africa	Country	8.097363256	9.585789025	NGA	1	1	[2019]	2019	2019	1	PT	Percentage	G	Global								35.1	35.1			Documented ownership, the right to sell and the right to bequeath are the criteria used to produce the estimate.	General Household Survey Panel		E: Estimated data
5	Goal 5	Achieve gender equality and empower all women and girls	5.a	Undertake reforms to give women equal rights to economic resources, as well as access to ownership and control over land and other forms of property, financial services, inheritance and natural resources, in accordance with national laws	C050a01	5.a.1	II	FAO	(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure	2020.Q1.G.01	['land tenure', 'agricultural land', 'gender equality', 'women', 'advancement of women']	SP_GNP_WNOWNS	Share of women among owners or rights-bearers of agricultural land, by type of tenure (%)	604	Peru	5	5	South America	Country	-71.82093277	-13.58939705	PER	1	1	[2014, 2015, 2016, 2017, 2018]	2014	2018	5	PT	Percentage	G	Global			29.9	30.0	29.2	29.6	29.8		29.8			The estimate is produced combining the information on having a document for the parcel and the sex of the holder.	Encuesta Nacional Agropecuaria		C: Country data
5	Goal 5	Achieve gender equality and empower all women and girls	5.a	Undertake reforms to give women equal rights to economic resources, as well as access to ownership and control over land and other forms of property, financial services, inheritance and natural resources, in accordance with national laws	C050a01	5.a.1	II	FAO	(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure	2020.Q1.G.01	['land tenure', 'agricultural land', 'gender equality', 'women', 'advancement of women']	SP_GNP_WNOWNS	Share of women among owners or rights-bearers of agricultural land, by type of tenure (%)	800	Uganda	5	14	Eastern Africa	Country	32.39100438	1.279557331	UGA	1	1	[2018]	2018	2018	1	PT	Percentage	G	Global							41.0		41.0			Documented ownership, the right to sell and the right to bequeath are the criteria used to produce the estimate.	Annual Agricultural Survey		C: Country data
5	Goal 5	Achieve gender equality and empower all women and girls	5.a	Undertake reforms to give women equal rights to economic resources, as well as access to ownership and control over land and other forms of property, financial services, inheritance and natural resources, in accordance with national laws	C050a01	5.a.1	II	FAO	(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure	2020.Q1.G.01	['land tenure', 'agricultural land', 'gender equality', 'women', 'advancement of women']	SP_GNP_WNOWNS	Share of women among owners or rights-bearers of agricultural land, by type of tenure (%)	834	United Republic of Tanzania	5	14	Eastern Africa	Country	34.80521182	-6.265332606	TZA	1	1	[2016]	2016	2016	1	PT	Percentage	G	Global					47.6				47.6			Documented ownership and the right to sell are the criteria used to produce the estimate.	National Panel Survey		E: Estimated data
5	Goal 5	Achieve gender equality and empower all women and girls	5.a	Undertake reforms to give women equal rights to economic resources, as well as access to ownership and control over land and other forms of property, financial services, inheritance and natural resources, in accordance with national laws	C050a01	5.a.1	II	FAO	(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure	2020.Q1.G.01	['land tenure', 'agricultural land', 'gender equality', 'women', 'advancement of women']	SP_GNP_WNOWNS	Share of women among owners or rights-bearers of agricultural land, by type of tenure (%)	854	Burkina Faso	5	11	Western Africa	Country	-1.742843829	12.27491081	BFA	1	1	[2014]	2014	2014	1	PT	Percentage	G	Global			17.3						17.3			"[""The estimate is produced combining the information on the sex of the individuals and the parcel's owners' individual identifiers ""]"	EnquĂŞte Multisectorielle Continue		E: Estimated data
