goal_code	goal_labelEN	goal_descEN	target_code	target_descEN	indicator_code	indicator_reference	indicator_tier	indicator_custodians	indicator_descEN	series_release	series_tags	series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	observationStatus_code	observationStatus_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	value_2019	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
10	Goal 10	Reduce inequality within and among countries	10.5	Improve the regulation and monitoring of global financial markets and institutions and strengthen the implementation of such regulations	C100501	10.5.1	I	IMF	Financial Soundness Indicators	2020.Q1.G.01	['financial aspects', 'risk management']	FI_FSI_FSKRTC	Regulatory Tier 1 capital to risk-weighted assets (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	A	Normal value	[2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2008	2018	11	PT	Percentage	G	Global									11.2024750935243	14.0287869599992	15.1564348282829	15.7282034753411	15.1347814884392	16.0111091643652	19.9706537364046	20.464710109902	20.8785593890756	20.864942171849	19.4135785464346		19.4135785464346				IMF		_X: Data nature not available
10	Goal 10	Reduce inequality within and among countries	10.5	Improve the regulation and monitoring of global financial markets and institutions and strengthen the implementation of such regulations	C100501	10.5.1	I	IMF	Financial Soundness Indicators	2020.Q1.G.01	['financial aspects', 'risk management']	FI_FSI_FSKRTC	Regulatory Tier 1 capital to risk-weighted assets (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	A	Normal value	[2016, 2017]	2016	2017	2	PT	Percentage	G	Global																	13.8063986566229	10.7610923122233			10.7610923122233				IMF		_X: Data nature not available
10	Goal 10	Reduce inequality within and among countries	10.5	Improve the regulation and monitoring of global financial markets and institutions and strengthen the implementation of such regulations	C100501	10.5.1	I	IMF	Financial Soundness Indicators	2020.Q1.G.01	['financial aspects', 'risk management']	FI_FSI_FSKRTC	Regulatory Tier 1 capital to risk-weighted assets (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	A	Normal value	[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2010	2017	8	PT	Percentage	G	Global											16.9350434849377	17.2509014156294	18.0134473908685	19.1124778975944	15.3037060750381	16.0491348682888	19.8768760279356	20.9696849844208			20.9696849844208				IMF		_X: Data nature not available
10	Goal 10	Reduce inequality within and among countries	10.5	Improve the regulation and monitoring of global financial markets and institutions and strengthen the implementation of such regulations	C100501	10.5.1	I	IMF	Financial Soundness Indicators	2020.Q1.G.01	['financial aspects', 'risk management']	FI_FSI_FSKRTC	Regulatory Tier 1 capital to risk-weighted assets (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	A	Normal value	[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2010	2018	9	PT	Percentage	G	Global											16.4297909330424	20.4268464491143	16.1713027087024	11.5495200581919	12.9304475989355	14.6822178447085	14.1591088386802	13.9698599587379	13.5893938284719		13.5893938284719				IMF		_X: Data nature not available
10	Goal 10	Reduce inequality within and among countries	10.5	Improve the regulation and monitoring of global financial markets and institutions and strengthen the implementation of such regulations	C100501	10.5.1	I	IMF	Financial Soundness Indicators	2020.Q1.G.01	['financial aspects', 'risk management']	FI_FSI_FSKRTC	Regulatory Tier 1 capital to risk-weighted assets (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	A	Normal value	[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2010	2018	9	PT	Percentage	G	Global											29.1458516640298	23.1461472729057	22.1879652221839	22.0048122110885	17.9842823229542	17.7260065594368	18.2985927420863	20.0242237257074	19.8514857888036		19.8514857888036				IMF		_X: Data nature not available
10	Goal 10	Reduce inequality within and among countries	10.5	Improve the regulation and monitoring of global financial markets and institutions and strengthen the implementation of such regulations	C100501	10.5.1	I	IMF	Financial Soundness Indicators	2020.Q1.G.01	['financial aspects', 'risk management']	FI_FSI_FSKRTC	Regulatory Tier 1 capital to risk-weighted assets (%)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1	A	Normal value	[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2009	2018	10	PT	Percentage	G	Global										19.0899611192134	17.6660341802606	17.0037511278701	17.4756066451586	15.5012422268555	13.1780744807646	15.763736671841	16.2490388873156	14.9666438105548	14.9783526600145		14.9783526600145				IMF		_X: Data nature not available
10	Goal 10	Reduce inequality within and among countries	10.5	Improve the regulation and monitoring of global financial markets and institutions and strengthen the implementation of such regulations	C100501	10.5.1	I	IMF	Financial Soundness Indicators	2020.Q1.G.01	['financial aspects', 'risk management']	FI_FSI_FSKRTC	Regulatory Tier 1 capital to risk-weighted assets (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	A	Normal value	[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2010	2018	9	PT	Percentage	G	Global											8.77972491290812	5.29898651066956	5.74930094228698	6.25988611767457	9.0696314401526	9.32978497620748	7.64700144725822	8.48963617810667	9.65034888914363		9.65034888914363				IMF		_X: Data nature not available
10	Goal 10	Reduce inequality within and among countries	10.5	Improve the regulation and monitoring of global financial markets and institutions and strengthen the implementation of such regulations	C100501	10.5.1	I	IMF	Financial Soundness Indicators	2020.Q1.G.01	['financial aspects', 'risk management']	FI_FSI_FSKRTC	Regulatory Tier 1 capital to risk-weighted assets (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1	A	Normal value	[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2005	2018	14	PT	Percentage	G	Global						11.2010200293332	11.5694288246639	10.7912344304488	9.76024538628081	12.0693057628869	13.1055396055912	13.3459176352648	13.4267331114375	11.6864537703639	11.9442484156078	12.1092850978028	12.5059231913524	12.8657744319697	13.2367916121561		13.2367916121561				IMF		_X: Data nature not available
10	Goal 10	Reduce inequality within and among countries	10.5	Improve the regulation and monitoring of global financial markets and institutions and strengthen the implementation of such regulations	C100501	10.5.1	I	IMF	Financial Soundness Indicators	2020.Q1.G.01	['financial aspects', 'risk management']	FI_FSI_FSKRTC	Regulatory Tier 1 capital to risk-weighted assets (%)	140	Central African Republic	5	17	Middle Africa	Country	20.93559492	7.003720791	CAF	1	1	A	Normal value	[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2010	2017	8	PT	Percentage	G	Global											16.4935664120572	23.9590854392298	21.4687548698769	37.3576283772205	40.2995736321629	36.7460448253131	30.7729993586546	33.6932940058016			33.6932940058016				IMF		_X: Data nature not available
10	Goal 10	Reduce inequality within and among countries	10.5	Improve the regulation and monitoring of global financial markets and institutions and strengthen the implementation of such regulations	C100501	10.5.1	I	IMF	Financial Soundness Indicators	2020.Q1.G.01	['financial aspects', 'risk management']	FI_FSI_FSKRTC	Regulatory Tier 1 capital to risk-weighted assets (%)	144	Sri Lanka	4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1	A	Normal value	[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2011	2018	8	PT	Percentage	G	Global												14.3469671950648	13.1445309668929	13.6660291933799	14.1387420697127	11.4332098027478	11.4494715275698	12.3556485838588	12.0058028966509		12.0058028966509				IMF		_X: Data nature not available
10	Goal 10	Reduce inequality within and among countries	10.5	Improve the regulation and monitoring of global financial markets and institutions and strengthen the implementation of such regulations	C100501	10.5.1	I	IMF	Financial Soundness Indicators	2020.Q1.G.01	['financial aspects', 'risk management']	FI_FSI_FSKRTC	Regulatory Tier 1 capital to risk-weighted assets (%)	148	Chad	5	17	Middle Africa	Country	18.66618401	15.36279341	TCD	1	1	A	Normal value	[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2010	2018	9	PT	Percentage	G	Global											11.3129967776584	16.5788185994883	15.2856418325812	19.975456810735	11.9968952839507	13.1729487375061	11.792685267313	16.5697626834546	15.2486967386153		15.2486967386153				IMF		_X: Data nature not available
10	Goal 10	Reduce inequality within and among countries	10.5	Improve the regulation and monitoring of global financial markets and institutions and strengthen the implementation of such regulations	C100501	10.5.1	I	IMF	Financial Soundness Indicators	2020.Q1.G.01	['financial aspects', 'risk management']	FI_FSI_FSKRTC	Regulatory Tier 1 capital to risk-weighted assets (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1	A	Normal value	[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2001	2018	18	PT	Percentage	G	Global		10.6943278838271	11.1005848924655	11.3154118731549	10.5352556420893	9.97135405415624	9.27409587487423	9.41110441771674	9.63602448413618	10.8710403461934	10.1247578019847	10.0842411727866	10.039188586293	9.93692918103046	10.0207501447566	9.44733184207358	10.8567402511617	10.9711321389158	10.6534476675702		10.6534476675702				IMF		_X: Data nature not available
