goal_code	goal_labelEN	goal_descEN	target_code	target_descEN	indicator_code	indicator_reference	indicator_tier	indicator_custodians	indicator_descEN	series_release	series_tags	series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	sex_code	sex_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2016	value_2017	value_2018	value_2019	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
1	Goal 1	End poverty in all its forms everywhere	1.3	Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable	C010301	1.3.1	II	ILO	Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable	2020.Q1.G.01	['poverty', 'standard of living', 'basic needs', 'social welfare', 'insurance']	SI_COV_POOR	[ILO] Proportion of poor population receiving social assistance cash benefit, by sex (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global	52.1				52.1				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
1	Goal 1	End poverty in all its forms everywhere	1.3	Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable	C010301	1.3.1	II	ILO	Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable	2020.Q1.G.01	['poverty', 'standard of living', 'basic needs', 'social welfare', 'insurance']	SI_COV_POOR	[ILO] Proportion of poor population receiving social assistance cash benefit, by sex (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	_T	Both sexes	[2018]	2018	2018	1	PT	Percentage	G	Global			0.8		0.8				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
1	Goal 1	End poverty in all its forms everywhere	1.3	Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable	C010301	1.3.1	II	ILO	Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable	2020.Q1.G.01	['poverty', 'standard of living', 'basic needs', 'social welfare', 'insurance']	SI_COV_POOR	[ILO] Proportion of poor population receiving social assistance cash benefit, by sex (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	_T	Both sexes	[2018]	2018	2018	1	PT	Percentage	G	Global			48.4		48.4				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
1	Goal 1	End poverty in all its forms everywhere	1.3	Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable	C010301	1.3.1	II	ILO	Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable	2020.Q1.G.01	['poverty', 'standard of living', 'basic needs', 'social welfare', 'insurance']	SI_COV_POOR	[ILO] Proportion of poor population receiving social assistance cash benefit, by sex (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global	0.5				0.5				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
1	Goal 1	End poverty in all its forms everywhere	1.3	Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable	C010301	1.3.1	II	ILO	Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable	2020.Q1.G.01	['poverty', 'standard of living', 'basic needs', 'social welfare', 'insurance']	SI_COV_POOR	[ILO] Proportion of poor population receiving social assistance cash benefit, by sex (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1	_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global	100.0				100.0				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
1	Goal 1	End poverty in all its forms everywhere	1.3	Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable	C010301	1.3.1	II	ILO	Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable	2020.Q1.G.01	['poverty', 'standard of living', 'basic needs', 'social welfare', 'insurance']	SI_COV_POOR	[ILO] Proportion of poor population receiving social assistance cash benefit, by sex (%)	144	Sri Lanka	4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1	_T	Both sexes	[2016, 2018]	2016	2018	2	PT	Percentage	G	Global	51.5		100.0		100.0				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
1	Goal 1	End poverty in all its forms everywhere	1.3	Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable	C010301	1.3.1	II	ILO	Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable	2020.Q1.G.01	['poverty', 'standard of living', 'basic needs', 'social welfare', 'insurance']	SI_COV_POOR	[ILO] Proportion of poor population receiving social assistance cash benefit, by sex (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1	_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global	97.6				97.6				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
1	Goal 1	End poverty in all its forms everywhere	1.3	Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable	C010301	1.3.1	II	ILO	Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable	2020.Q1.G.01	['poverty', 'standard of living', 'basic needs', 'social welfare', 'insurance']	SI_COV_POOR	[ILO] Proportion of poor population receiving social assistance cash benefit, by sex (%)	156	China	4	30	Eastern Asia	Country	104.1403375	32.30955217	CHN	1	1	_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global	51.6				51.6				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
1	Goal 1	End poverty in all its forms everywhere	1.3	Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable	C010301	1.3.1	II	ILO	Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable	2020.Q1.G.01	['poverty', 'standard of living', 'basic needs', 'social welfare', 'insurance']	SI_COV_POOR	[ILO] Proportion of poor population receiving social assistance cash benefit, by sex (%)	170	Colombia	5	5	South America	Country	-73.07446751	3.888209046	COL	1	1	_T	Both sexes	[2016, 2019]	2016	2019	2	PT	Percentage	G	Global	22.8			44.41918	44.41918				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
1	Goal 1	End poverty in all its forms everywhere	1.3	Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable	C010301	1.3.1	II	ILO	Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable	2020.Q1.G.01	['poverty', 'standard of living', 'basic needs', 'social welfare', 'insurance']	SI_COV_POOR	[ILO] Proportion of poor population receiving social assistance cash benefit, by sex (%)	180	Democratic Republic of the Congo	5	17	Middle Africa	Country	23.65496507	-2.877154732	COD	1	1	_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global	8.8				8.8				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
1	Goal 1	End poverty in all its forms everywhere	1.3	Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable	C010301	1.3.1	II	ILO	Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable	2020.Q1.G.01	['poverty', 'standard of living', 'basic needs', 'social welfare', 'insurance']	SI_COV_POOR	[ILO] Proportion of poor population receiving social assistance cash benefit, by sex (%)	188	Costa Rica	5	13	Central America	Country	-84.19712782	9.970998683	CRI	1	1	_T	Both sexes	[2016, 2019]	2016	2019	2	PT	Percentage	G	Global	38.0			78.61416	78.61416				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
1	Goal 1	End poverty in all its forms everywhere	1.3	Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable	C010301	1.3.1	II	ILO	Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable	2020.Q1.G.01	['poverty', 'standard of living', 'basic needs', 'social welfare', 'insurance']	SI_COV_POOR	[ILO] Proportion of poor population receiving social assistance cash benefit, by sex (%)	196	Cyprus	4	145	Western Asia	Country	33.22285964	35.05659437	CYP	1	1	_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global	100.0				100.0				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
1	Goal 1	End poverty in all its forms everywhere	1.3	Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable	C010301	1.3.1	II	ILO	Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable	2020.Q1.G.01	['poverty', 'standard of living', 'basic needs', 'social welfare', 'insurance']	SI_COV_POOR	[ILO] Proportion of poor population receiving social assistance cash benefit, by sex (%)	203	Czechia	4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1	_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global	99.6				99.6				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
1	Goal 1	End poverty in all its forms everywhere	1.3	Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable	C010301	1.3.1	II	ILO	Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable	2020.Q1.G.01	['poverty', 'standard of living', 'basic needs', 'social welfare', 'insurance']	SI_COV_POOR	[ILO] Proportion of poor population receiving social assistance cash benefit, by sex (%)	208	Denmark	4	154	Northern Europe	Country	9.326571283	56.03829721	DNK	1	1	_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global	100.0				100.0				ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)		E: Estimated data
