goal_code	goal_labelEN	goal_descEN	target_code	target_descEN	indicator_code	indicator_reference	indicator_tier	indicator_custodians	indicator_descEN	series_release	series_tags	series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	sex_code	sex_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2006	value_2011	value_2016	value_2017	value_2018	value_2019	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
5	Goal 5	Achieve gender equality and empower all women and girls	5.5	Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life	C050501	5.5.1	I/II	IPU, UN Women	Proportion of seats held by women in (a) national parliaments and (b) local governments	2020.Q1.G.01	['advancement of women', 'gender equality', 'political participation', 'women']	SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	1	World	1			Region						F	Female	[2019]	2019	2019	1	PT	Percentage	G	Global						36.3	36.3			Weighted average by number of councillors, based on data from 131 countries and areas.	UN Women		C: Country data
5	Goal 5	Achieve gender equality and empower all women and girls	5.5	Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life	C050501	5.5.1	I/II	IPU, UN Women	Proportion of seats held by women in (a) national parliaments and (b) local governments	2020.Q1.G.01	['advancement of women', 'gender equality', 'political participation', 'women']	SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	F	Female	[2018, 2019]	2018	2019	2	PT	Percentage	G	Global					25.96	27.15	27.15			[2018]: Administrative data based on most recent election results (2015). // [2019]: Administrative data based on most recent election results (2019).	Compiled by UNECE Statistical Division and UN Women		C: Country data
5	Goal 5	Achieve gender equality and empower all women and girls	5.5	Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life	C050501	5.5.1	I/II	IPU, UN Women	Proportion of seats held by women in (a) national parliaments and (b) local governments	2020.Q1.G.01	['advancement of women', 'gender equality', 'political participation', 'women']	SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	F	Female	[2018]	2018	2018	1	PT	Percentage	G	Global									N	Indicator not applicable / No elected deliberative bodies of local government.	Compiled by UN Women in collaboration with ESCAP Statistics Division		C: Country data
5	Goal 5	Achieve gender equality and empower all women and girls	5.5	Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life	C050501	5.5.1	I/II	IPU, UN Women	Proportion of seats held by women in (a) national parliaments and (b) local governments	2020.Q1.G.01	['advancement of women', 'gender equality', 'political participation', 'women']	SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	F	Female	[2018]	2018	2018	1	PT	Percentage	G	Global					19.1		19.1			Administrative data based on most recent election results (2015) at commune and colline levels.	Compiled by UNECA African Centre for Statistics and UN Women		C: Country data
5	Goal 5	Achieve gender equality and empower all women and girls	5.5	Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life	C050501	5.5.1	I/II	IPU, UN Women	Proportion of seats held by women in (a) national parliaments and (b) local governments	2020.Q1.G.01	['advancement of women', 'gender equality', 'political participation', 'women']	SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	F	Female	[2018]	2018	2018	1	PT	Percentage	G	Global					48.2		48.2			Administrative data based on most recent election results (2018).	Compiled by UNECE Statistical Division and UN Women		C: Country data
5	Goal 5	Achieve gender equality and empower all women and girls	5.5	Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life	C050501	5.5.1	I/II	IPU, UN Women	Proportion of seats held by women in (a) national parliaments and (b) local governments	2020.Q1.G.01	['advancement of women', 'gender equality', 'political participation', 'women']	SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	F	Female	[2018, 2019]	2018	2019	2	PT	Percentage	G	Global					16.09	16.93	16.93			[2018]: Administrative data based on most recent election results (2014). // [2019]: Administrative data based on most recent election results (2019).	[2018]: Compiled by UN Women in collaboration with ESCAP Statistics Division // [2019]: Compiled by UN Women		C: Country data
5	Goal 5	Achieve gender equality and empower all women and girls	5.5	Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life	C050501	5.5.1	I/II	IPU, UN Women	Proportion of seats held by women in (a) national parliaments and (b) local governments	2020.Q1.G.01	['advancement of women', 'gender equality', 'political participation', 'women']	SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1	F	Female	[2019]	2019	2019	1	PT	Percentage	G	Global						17.59	17.59			Administrative data.	Compiled by UNECA African Centre for Statistics and UN Women		C: Country data
5	Goal 5	Achieve gender equality and empower all women and girls	5.5	Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life	C050501	5.5.1	I/II	IPU, UN Women	Proportion of seats held by women in (a) national parliaments and (b) local governments	2020.Q1.G.01	['advancement of women', 'gender equality', 'political participation', 'women']	SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	F	Female	[2018]	2018	2018	1	PT	Percentage	G	Global					25.33		25.33			Administrative data based on most recent election results (2013) at commune level only.	Compiled by UNECA African Centre for Statistics and UN Women		C: Country data
5	Goal 5	Achieve gender equality and empower all women and girls	5.5	Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life	C050501	5.5.1	I/II	IPU, UN Women	Proportion of seats held by women in (a) national parliaments and (b) local governments	2020.Q1.G.01	['advancement of women', 'gender equality', 'political participation', 'women']	SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1	F	Female	[2018]	2018	2018	1	PT	Percentage	G	Global					26.6		26.6			Data based on most recent election results (2015) at municipal level obtained by NSO from Local Government Associations.	Compiled by UNECE Statistical Division and UN Women		C: Country data
5	Goal 5	Achieve gender equality and empower all women and girls	5.5	Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life	C050501	5.5.1	I/II	IPU, UN Women	Proportion of seats held by women in (a) national parliaments and (b) local governments	2020.Q1.G.01	['advancement of women', 'gender equality', 'political participation', 'women']	SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1	F	Female	[2018]	2018	2018	1	PT	Percentage	G	Global					28.36		28.36			Administrative data based on most recent election results (2016).	Compiled by UNECA African Centre for Statistics and UN Women		C: Country data
