goal_code	goal_labelEN	goal_descEN	target_code	target_descEN	indicator_code	indicator_reference	indicator_tier	indicator_custodians	indicator_descEN	series_release	series_tags	series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	age_code	age_desc	sex_code	sex_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2005	value_2010	value_2015	value_2016	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030401	3.4.1	I	WHO	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease	2020.Q1.G.01	['diabetes', 'health', 'diseases', 'non-communicable diseases', 'cancer', 'cardiovascular diseases', 'respiratory diseases', 'mortality', 'death']	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	1	World	1			Region						Y30T70	30 to 70 years old	_T	Both sexes	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PT	Percentage	G	Global	22.4	20.9	19.4	18.5	18.3	18.3				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		_X: Data nature not available
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030401	3.4.1	I	WHO	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease	2020.Q1.G.01	['diabetes', 'health', 'diseases', 'non-communicable diseases', 'cancer', 'cardiovascular diseases', 'respiratory diseases', 'mortality', 'death']	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	1	World	1			Region						Y30T70	30 to 70 years old	M	Male	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PT	Percentage	G	Global	26.4	24.5	22.8	21.8	21.6	21.6				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		_X: Data nature not available
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030401	3.4.1	I	WHO	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease	2020.Q1.G.01	['diabetes', 'health', 'diseases', 'non-communicable diseases', 'cancer', 'cardiovascular diseases', 'respiratory diseases', 'mortality', 'death']	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	1	World	1			Region						Y30T70	30 to 70 years old	F	Female	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PT	Percentage	G	Global	18.6	17.4	16.0	15.2	15.0	15.0				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		_X: Data nature not available
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030401	3.4.1	I	WHO	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease	2020.Q1.G.01	['diabetes', 'health', 'diseases', 'non-communicable diseases', 'cancer', 'cardiovascular diseases', 'respiratory diseases', 'mortality', 'death']	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	Y30T70	30 to 70 years old	M	Male	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PT	Percentage	G	Global	36.9	36.6	33.7	32.2	32.0	32.0				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		CA: Country adjusted data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030401	3.4.1	I	WHO	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease	2020.Q1.G.01	['diabetes', 'health', 'diseases', 'non-communicable diseases', 'cancer', 'cardiovascular diseases', 'respiratory diseases', 'mortality', 'death']	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	Y30T70	30 to 70 years old	F	Female	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PT	Percentage	G	Global	20.2	18.5	16.8	15.7	15.5	15.5				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		CA: Country adjusted data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030401	3.4.1	I	WHO	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease	2020.Q1.G.01	['diabetes', 'health', 'diseases', 'non-communicable diseases', 'cancer', 'cardiovascular diseases', 'respiratory diseases', 'mortality', 'death']	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	Y30T70	30 to 70 years old	_T	Both sexes	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PT	Percentage	G	Global	28.5	27.5	25.1	23.8	23.6	23.6				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		CA: Country adjusted data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030401	3.4.1	I	WHO	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease	2020.Q1.G.01	['diabetes', 'health', 'diseases', 'non-communicable diseases', 'cancer', 'cardiovascular diseases', 'respiratory diseases', 'mortality', 'death']	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	Y30T70	30 to 70 years old	F	Female	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PT	Percentage	G	Global	24.1	24.0	22.9	21.6	21.5	21.5				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		M: Modeled data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030401	3.4.1	I	WHO	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease	2020.Q1.G.01	['diabetes', 'health', 'diseases', 'non-communicable diseases', 'cancer', 'cardiovascular diseases', 'respiratory diseases', 'mortality', 'death']	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	Y30T70	30 to 70 years old	_T	Both sexes	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PT	Percentage	G	Global	25.0	25.8	25.1	24.3	24.2	24.2				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		M: Modeled data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030401	3.4.1	I	WHO	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease	2020.Q1.G.01	['diabetes', 'health', 'diseases', 'non-communicable diseases', 'cancer', 'cardiovascular diseases', 'respiratory diseases', 'mortality', 'death']	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	Y30T70	30 to 70 years old	M	Male	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PT	Percentage	G	Global	26.1	27.8	27.7	27.3	27.3	27.3				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		M: Modeled data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030401	3.4.1	I	WHO	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease	2020.Q1.G.01	['diabetes', 'health', 'diseases', 'non-communicable diseases', 'cancer', 'cardiovascular diseases', 'respiratory diseases', 'mortality', 'death']	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	Y30T70	30 to 70 years old	_T	Both sexes	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PT	Percentage	G	Global	23.5	22.8	22.8	22.8	22.9	22.9				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		M: Modeled data
