goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_tier,indicator_custodians,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,sex_code,sex_desc,years,min_year,max_year,n_years,unitsCode,unitsDesc,reportingTypeCode,reportingTypeDesc,value_2001,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,latest_value,basePeriod,valueDetails,footnotes,sources,timeDetails,nature
8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.3,"Promote development-oriented policies that support productive activities, decent job creation, entrepreneurship, creativity and innovation, and encourage the formalization and growth of micro-, small- and medium-sized enterprises, including through access to financial services",C080301,8.3.1,II,ILO,"Proportion of informal employment in non-agriculture employment, by sex",2020.Q1.G.01,"['informal sector', 'employment']",SL_ISV_IFRM,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)",1,World,1,,,Region,,,,,,M,Male,[2016],2016,2016,1,PT,Percentage,G,Global,,,,,,,,,,,,,,,53.1,,53.1,,,,ILO estimates based on processing of country microdata sets,,E: Estimated data
8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.3,"Promote development-oriented policies that support productive activities, decent job creation, entrepreneurship, creativity and innovation, and encourage the formalization and growth of micro-, small- and medium-sized enterprises, including through access to financial services",C080301,8.3.1,II,ILO,"Proportion of informal employment in non-agriculture employment, by sex",2020.Q1.G.01,"['informal sector', 'employment']",SL_ISV_IFRM,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)",1,World,1,,,Region,,,,,,F,Female,[2016],2016,2016,1,PT,Percentage,G,Global,,,,,,,,,,,,,,,46.4,,46.4,,,,ILO estimates based on processing of country microdata sets,,E: Estimated data
8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.3,"Promote development-oriented policies that support productive activities, decent job creation, entrepreneurship, creativity and innovation, and encourage the formalization and growth of micro-, small- and medium-sized enterprises, including through access to financial services",C080301,8.3.1,II,ILO,"Proportion of informal employment in non-agriculture employment, by sex",2020.Q1.G.01,"['informal sector', 'employment']",SL_ISV_IFRM,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)",1,World,1,,,Region,,,,,,_T,Both sexes,[2016],2016,2016,1,PT,Percentage,G,Global,,,,,,,,,,,,,,,50.5,,50.5,,,,ILO estimates based on processing of country microdata sets,,E: Estimated data
8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.3,"Promote development-oriented policies that support productive activities, decent job creation, entrepreneurship, creativity and innovation, and encourage the formalization and growth of micro-, small- and medium-sized enterprises, including through access to financial services",C080301,8.3.1,II,ILO,"Proportion of informal employment in non-agriculture employment, by sex",2020.Q1.G.01,"['informal sector', 'employment']",SL_ISV_IFRM,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)",104,Myanmar,4,35,South-Eastern Asia,Country,96.51752295,21.19332882,MMR,1,1,F,Female,"[2015, 2017]",2015,2017,2,PT,Percentage,G,Global,,,,,,,,,,,,,,82.7,,79.2,79.2,,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers;Break in series: Methodology revised,ILOSTAT - LFS - Labour force survey,,C: Country data
8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.3,"Promote development-oriented policies that support productive activities, decent job creation, entrepreneurship, creativity and innovation, and encourage the formalization and growth of micro-, small- and medium-sized enterprises, including through access to financial services",C080301,8.3.1,II,ILO,"Proportion of informal employment in non-agriculture employment, by sex",2020.Q1.G.01,"['informal sector', 'employment']",SL_ISV_IFRM,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)",104,Myanmar,4,35,South-Eastern Asia,Country,96.51752295,21.19332882,MMR,1,1,_T,Both sexes,"[2015, 2017]",2015,2017,2,PT,Percentage,G,Global,,,,,,,,,,,,,,82.5,,78.1,78.1,,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers;Break in series: Methodology revised,ILOSTAT - LFS - Labour force survey,,C: Country data
8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.3,"Promote development-oriented policies that support productive activities, decent job creation, entrepreneurship, creativity and innovation, and encourage the formalization and growth of micro-, small- and medium-sized enterprises, including through access to financial services",C080301,8.3.1,II,ILO,"Proportion of informal employment in non-agriculture employment, by sex",2020.Q1.G.01,"['informal sector', 'employment']",SL_ISV_IFRM,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)",104,Myanmar,4,35,South-Eastern Asia,Country,96.51752295,21.19332882,MMR,1,1,M,Male,"[2015, 2017]",2015,2017,2,PT,Percentage,G,Global,,,,,,,,,,,,,,82.4,,77.2,77.2,,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers;Break in series: Methodology revised,ILOSTAT - LFS - Labour force survey,,C: Country data
8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.3,"Promote development-oriented policies that support productive activities, decent job creation, entrepreneurship, creativity and innovation, and encourage the formalization and growth of micro-, small- and medium-sized enterprises, including through access to financial services",C080301,8.3.1,II,ILO,"Proportion of informal employment in non-agriculture employment, by sex",2020.Q1.G.01,"['informal sector', 'employment']",SL_ISV_IFRM,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)",116,Cambodia,4,35,South-Eastern Asia,Country,104.922836,12.71163737,KHM,1,1,_T,Both sexes,[2012],2012,2012,1,PT,Percentage,G,Global,,,,,,,,,,,90.2,,,,,,90.2,,,Repository: ILO-STATISTICS - Micro data processing;Break in series: Methodology revised,ILOSTAT - LFS - Labour force survey,,C: Country data
8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.3,"Promote development-oriented policies that support productive activities, decent job creation, entrepreneurship, creativity and innovation, and encourage the formalization and growth of micro-, small- and medium-sized enterprises, including through access to financial services",C080301,8.3.1,II,ILO,"Proportion of informal employment in non-agriculture employment, by sex",2020.Q1.G.01,"['informal sector', 'employment']",SL_ISV_IFRM,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)",116,Cambodia,4,35,South-Eastern Asia,Country,104.922836,12.71163737,KHM,1,1,F,Female,[2012],2012,2012,1,PT,Percentage,G,Global,,,,,,,,,,,93.8,,,,,,93.8,,,Repository: ILO-STATISTICS - Micro data processing;Break in series: Methodology revised,ILOSTAT - LFS - Labour force survey,,C: Country data
8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.3,"Promote development-oriented policies that support productive activities, decent job creation, entrepreneurship, creativity and innovation, and encourage the formalization and growth of micro-, small- and medium-sized enterprises, including through access to financial services",C080301,8.3.1,II,ILO,"Proportion of informal employment in non-agriculture employment, by sex",2020.Q1.G.01,"['informal sector', 'employment']",SL_ISV_IFRM,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)",116,Cambodia,4,35,South-Eastern Asia,Country,104.922836,12.71163737,KHM,1,1,M,Male,[2012],2012,2012,1,PT,Percentage,G,Global,,,,,,,,,,,86.9,,,,,,86.9,,,Repository: ILO-STATISTICS - Micro data processing;Break in series: Methodology revised,ILOSTAT - LFS - Labour force survey,,C: Country data
8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.3,"Promote development-oriented policies that support productive activities, decent job creation, entrepreneurship, creativity and innovation, and encourage the formalization and growth of micro-, small- and medium-sized enterprises, including through access to financial services",C080301,8.3.1,II,ILO,"Proportion of informal employment in non-agriculture employment, by sex",2020.Q1.G.01,"['informal sector', 'employment']",SL_ISV_IFRM,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)",120,Cameroon,5,17,Middle Africa,Country,12.7419827,5.692387031,CMR,1,1,F,Female,[2007],2007,2007,1,PT,Percentage,G,Global,,,,,,86.6,,,,,,,,,,,86.6,,,Repository: ILO-STATISTICS - Micro data processing,ILOSTAT - HS - Household survey of Cameroon,,C: Country data
