goal_code	goal_labelEN	goal_descEN	target_code	target_descEN	indicator_code	indicator_reference	indicator_tier	indicator_custodians	indicator_descEN	series_release	series_tags	series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
12	Goal 12	Ensure sustainable consumption and production patterns	12.4	By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment	C120402	12.4.2	III	UNSD, UNEP	Hazardous waste generated per capita and proportion of hazardous waste treated, by type of treatment	2020.Q1.G.01	['hazardous wastes']	EN_HAZ_TRTDISV	Hazardous waste treated or disposed (Tonnes)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	[2004, 2006, 2008, 2010, 2012, 2014, 2016]	2004	2016	7	TONNES	Tonnes	G	Global					12090994.0		13474505.0		13037033.0		13561160.0		13389620.0		12176438.0		13177710.0		13177710.0				UNSTATS / Environment Live		C: Country data
12	Goal 12	Ensure sustainable consumption and production patterns	12.4	By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment	C120402	12.4.2	III	UNSD, UNEP	Hazardous waste generated per capita and proportion of hazardous waste treated, by type of treatment	2020.Q1.G.01	['hazardous wastes']	EN_HAZ_TRTDISV	Hazardous waste treated or disposed (Tonnes)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2001	2017	17	TONNES	Tonnes	G	Global		116816.0	139425.0	123930.0	169740.0	315251.0	345939.97	446203.88	625929.06	943306.69	1124600.0	1110645.5	1704034.75	1848646.13	2093566.75	1557851.5	1902590.0	1731480.0	1731480.0			[2004-2017]: Includes data on disposal and / or use of previously accumulated production waste. It also includes the export of production waste.	UNSTATS / Environment Live		C: Country data
12	Goal 12	Ensure sustainable consumption and production patterns	12.4	By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment	C120402	12.4.2	III	UNSD, UNEP	Hazardous waste generated per capita and proportion of hazardous waste treated, by type of treatment	2020.Q1.G.01	['hazardous wastes']	EN_HAZ_TRTDISV	Hazardous waste treated or disposed (Tonnes)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	[2004, 2005, 2006, 2007, 2008, 2009]	2004	2009	6	TONNES	Tonnes	G	Global					5715.5	9429.8	10343.9	8296.1	9383.3	8716.6									8716.6				UNSTATS / Environment Live		C: Country data
12	Goal 12	Ensure sustainable consumption and production patterns	12.4	By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment	C120402	12.4.2	III	UNSD, UNEP	Hazardous waste generated per capita and proportion of hazardous waste treated, by type of treatment	2020.Q1.G.01	['hazardous wastes']	EN_HAZ_TRTDISV	Hazardous waste treated or disposed (Tonnes)	156	China	4	30	Eastern Asia	Country	104.1403375	32.30955217	CHN	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	TONNES	Tonnes	G	Global	5870000.0	6710000.0	6330000.0	8020000.0	6780000.0	8350000.0	8550000.0	9960000.0	12080000.0	12590000.0	14895000.0	26895300.0	27028500.0	24012900.0	29908200.0	32237000.0	44295100.0	65949800.0	65949800.0			[2011]: Statistical coverage has broadened from industrial and daily living sources to the following five parts: industrial, agricultural, urban living, motor vehicles and centralized pollution treatment facilities.	UNSTATS / Environment Live		C: Country data
12	Goal 12	Ensure sustainable consumption and production patterns	12.4	By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment	C120402	12.4.2	III	UNSD, UNEP	Hazardous waste generated per capita and proportion of hazardous waste treated, by type of treatment	2020.Q1.G.01	['hazardous wastes']	EN_HAZ_TRTDISV	Hazardous waste treated or disposed (Tonnes)	191	Croatia	4	39	Southern Europe	Country	17.95874553	45.45172212	HRV	1	1	[2004, 2006, 2008, 2010, 2012, 2014, 2016]	2004	2016	7	TONNES	Tonnes	G	Global					42636.0		623383.0		18364.0		68554.0		73404.0		66055.0		75892.0		75892.0				UNSTATS / Environment Live		C: Country data
12	Goal 12	Ensure sustainable consumption and production patterns	12.4	By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment	C120402	12.4.2	III	UNSD, UNEP	Hazardous waste generated per capita and proportion of hazardous waste treated, by type of treatment	2020.Q1.G.01	['hazardous wastes']	EN_HAZ_TRTDISV	Hazardous waste treated or disposed (Tonnes)	192	Cuba	5	29	Caribbean	Country	-79.54460144	22.10030366	CUB	1	1	[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2010	2017	8	TONNES	Tonnes	G	Global											488662.0	230469.0	537508.0	467293.0	345665.0	272285.0	106136.0	76194.0	76194.0				UNSTATS / Environment Live		C: Country data
12	Goal 12	Ensure sustainable consumption and production patterns	12.4	By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment	C120402	12.4.2	III	UNSD, UNEP	Hazardous waste generated per capita and proportion of hazardous waste treated, by type of treatment	2020.Q1.G.01	['hazardous wastes']	EN_HAZ_TRTDISV	Hazardous waste treated or disposed (Tonnes)	196	Cyprus	4	145	Western Asia	Country	33.22285964	35.05659437	CYP	1	1	[2004, 2006, 2008, 2010, 2012, 2014, 2016]	2004	2016	7	TONNES	Tonnes	G	Global					65047.0		16651.0		23290.0		30779.0		13277.0		157243.0		141504.0		141504.0				UNSTATS / Environment Live		C: Country data
12	Goal 12	Ensure sustainable consumption and production patterns	12.4	By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment	C120402	12.4.2	III	UNSD, UNEP	Hazardous waste generated per capita and proportion of hazardous waste treated, by type of treatment	2020.Q1.G.01	['hazardous wastes']	EN_HAZ_TRTDISV	Hazardous waste treated or disposed (Tonnes)	20	Andorra	4	39	Southern Europe	Country	1.576257417	42.54548611	AND	1	1	[2002, 2003, 2004]	2002	2004	3	TONNES	Tonnes	G	Global			313.4	486.8	425.98														425.98			[2002-2003]: Basel Convention: Y1-Y45.	UNSTATS / Environment Live		C: Country data
12	Goal 12	Ensure sustainable consumption and production patterns	12.4	By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment	C120402	12.4.2	III	UNSD, UNEP	Hazardous waste generated per capita and proportion of hazardous waste treated, by type of treatment	2020.Q1.G.01	['hazardous wastes']	EN_HAZ_TRTDISV	Hazardous waste treated or disposed (Tonnes)	203	Czechia	4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1	[2004, 2006, 2008, 2010, 2012, 2014, 2016]	2004	2016	7	TONNES	Tonnes	G	Global					648497.0		572497.0		834798.0		831600.0		753402.0		597309.0		529490.0		529490.0				UNSTATS / Environment Live		C: Country data
12	Goal 12	Ensure sustainable consumption and production patterns	12.4	By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment	C120402	12.4.2	III	UNSD, UNEP	Hazardous waste generated per capita and proportion of hazardous waste treated, by type of treatment	2020.Q1.G.01	['hazardous wastes']	EN_HAZ_TRTDISV	Hazardous waste treated or disposed (Tonnes)	208	Denmark	4	154	Northern Europe	Country	9.326571283	56.03829721	DNK	1	1	[2004, 2006, 2008, 2010, 2012, 2014, 2016]	2004	2016	7	TONNES	Tonnes	G	Global					338334.0		375562.0		416095.0		1073218.0		1206582.0		1546812.0		1884932.0		1884932.0				UNSTATS / Environment Live		C: Country data
