goal_code	goal_labelEN	goal_descEN	target_code	target_descEN	indicator_code	indicator_reference	indicator_tier	indicator_custodians	indicator_descEN	series_release	series_tags	series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	age_code	age_desc	sex_code	sex_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	value_2019	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
8	Goal 8	Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all	8.7	Take immediate and effective measures to eradicate forced labour, end modern slavery and human trafficking and secure the prohibition and elimination of the worst forms of child labour, including recruitment and use of child soldiers, and by 2025 end child labour in all its forms	C080701	8.7.1	II	ILO, UNICEF	Proportion and number of children aged 5–17 years engaged in child labour, by sex and age	2020.Q1.G.01	['child labour', 'employment', 'children']	SL_TLF_CHLDEA	Proportion of children engaged in economic activity, by sex and age (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	Y5T17	5 to 17 years old	_T	Both sexes	[2015]	2015	2015	1	PT	Percentage	G	Global						8.1					8.1			These estimates differ from published national estimates of child labour from the same source due to different treatment of hazardous working conditions and different hourly thresholds.	UNICEF and ILO calculations		CA: Country adjusted data
8	Goal 8	Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all	8.7	Take immediate and effective measures to eradicate forced labour, end modern slavery and human trafficking and secure the prohibition and elimination of the worst forms of child labour, including recruitment and use of child soldiers, and by 2025 end child labour in all its forms	C080701	8.7.1	II	ILO, UNICEF	Proportion and number of children aged 5–17 years engaged in child labour, by sex and age	2020.Q1.G.01	['child labour', 'employment', 'children']	SL_TLF_CHLDEA	Proportion of children engaged in economic activity, by sex and age (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	Y5T17	5 to 17 years old	M	Male	[2015]	2015	2015	1	PT	Percentage	G	Global						8.7					8.7			These estimates differ from published national estimates of child labour from the same source due to different treatment of hazardous working conditions and different hourly thresholds.	UNICEF and ILO calculations		CA: Country adjusted data
8	Goal 8	Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all	8.7	Take immediate and effective measures to eradicate forced labour, end modern slavery and human trafficking and secure the prohibition and elimination of the worst forms of child labour, including recruitment and use of child soldiers, and by 2025 end child labour in all its forms	C080701	8.7.1	II	ILO, UNICEF	Proportion and number of children aged 5–17 years engaged in child labour, by sex and age	2020.Q1.G.01	['child labour', 'employment', 'children']	SL_TLF_CHLDEA	Proportion of children engaged in economic activity, by sex and age (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	Y5T17	5 to 17 years old	F	Female	[2015]	2015	2015	1	PT	Percentage	G	Global						7.6					7.6			These estimates differ from published national estimates of child labour from the same source due to different treatment of hazardous working conditions and different hourly thresholds.	UNICEF and ILO calculations		CA: Country adjusted data
8	Goal 8	Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all	8.7	Take immediate and effective measures to eradicate forced labour, end modern slavery and human trafficking and secure the prohibition and elimination of the worst forms of child labour, including recruitment and use of child soldiers, and by 2025 end child labour in all its forms	C080701	8.7.1	II	ILO, UNICEF	Proportion and number of children aged 5–17 years engaged in child labour, by sex and age	2020.Q1.G.01	['child labour', 'employment', 'children']	SL_TLF_CHLDEA	Proportion of children engaged in economic activity, by sex and age (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	Y5T17	5 to 17 years old	F	Female	[2016]	2016	2016	1	PT	Percentage	G	Global							19.44047				19.44047				UNICEF and ILO calculations		CA: Country adjusted data
8	Goal 8	Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all	8.7	Take immediate and effective measures to eradicate forced labour, end modern slavery and human trafficking and secure the prohibition and elimination of the worst forms of child labour, including recruitment and use of child soldiers, and by 2025 end child labour in all its forms	C080701	8.7.1	II	ILO, UNICEF	Proportion and number of children aged 5–17 years engaged in child labour, by sex and age	2020.Q1.G.01	['child labour', 'employment', 'children']	SL_TLF_CHLDEA	Proportion of children engaged in economic activity, by sex and age (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	Y5T17	5 to 17 years old	M	Male	[2016]	2016	2016	1	PT	Percentage	G	Global							21.53599				21.53599				UNICEF and ILO calculations		CA: Country adjusted data
8	Goal 8	Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all	8.7	Take immediate and effective measures to eradicate forced labour, end modern slavery and human trafficking and secure the prohibition and elimination of the worst forms of child labour, including recruitment and use of child soldiers, and by 2025 end child labour in all its forms	C080701	8.7.1	II	ILO, UNICEF	Proportion and number of children aged 5–17 years engaged in child labour, by sex and age	2020.Q1.G.01	['child labour', 'employment', 'children']	SL_TLF_CHLDEA	Proportion of children engaged in economic activity, by sex and age (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	Y5T17	5 to 17 years old	_T	Both sexes	[2016]	2016	2016	1	PT	Percentage	G	Global							20.47946				20.47946				UNICEF and ILO calculations		CA: Country adjusted data
8	Goal 8	Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all	8.7	Take immediate and effective measures to eradicate forced labour, end modern slavery and human trafficking and secure the prohibition and elimination of the worst forms of child labour, including recruitment and use of child soldiers, and by 2025 end child labour in all its forms	C080701	8.7.1	II	ILO, UNICEF	Proportion and number of children aged 5–17 years engaged in child labour, by sex and age	2020.Q1.G.01	['child labour', 'employment', 'children']	SL_TLF_CHLDEA	Proportion of children engaged in economic activity, by sex and age (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	Y5T14	5 to 14 years old	M	Male	[2012]	2012	2012	1	PT	Percentage	G	Global			0.93657								0.93657				UNICEF and ILO calculations		CA: Country adjusted data
8	Goal 8	Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all	8.7	Take immediate and effective measures to eradicate forced labour, end modern slavery and human trafficking and secure the prohibition and elimination of the worst forms of child labour, including recruitment and use of child soldiers, and by 2025 end child labour in all its forms	C080701	8.7.1	II	ILO, UNICEF	Proportion and number of children aged 5–17 years engaged in child labour, by sex and age	2020.Q1.G.01	['child labour', 'employment', 'children']	SL_TLF_CHLDEA	Proportion of children engaged in economic activity, by sex and age (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	Y5T14	5 to 14 years old	_T	Both sexes	[2012]	2012	2012	1	PT	Percentage	G	Global			0.96879								0.96879				UNICEF and ILO calculations		CA: Country adjusted data
8	Goal 8	Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all	8.7	Take immediate and effective measures to eradicate forced labour, end modern slavery and human trafficking and secure the prohibition and elimination of the worst forms of child labour, including recruitment and use of child soldiers, and by 2025 end child labour in all its forms	C080701	8.7.1	II	ILO, UNICEF	Proportion and number of children aged 5–17 years engaged in child labour, by sex and age	2020.Q1.G.01	['child labour', 'employment', 'children']	SL_TLF_CHLDEA	Proportion of children engaged in economic activity, by sex and age (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	Y5T14	5 to 14 years old	F	Female	[2012]	2012	2012	1	PT	Percentage	G	Global			1.00098								1.00098				UNICEF and ILO calculations		CA: Country adjusted data
8	Goal 8	Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all	8.7	Take immediate and effective measures to eradicate forced labour, end modern slavery and human trafficking and secure the prohibition and elimination of the worst forms of child labour, including recruitment and use of child soldiers, and by 2025 end child labour in all its forms	C080701	8.7.1	II	ILO, UNICEF	Proportion and number of children aged 5–17 years engaged in child labour, by sex and age	2020.Q1.G.01	['child labour', 'employment', 'children']	SL_TLF_CHLDEA	Proportion of children engaged in economic activity, by sex and age (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	Y5T17	5 to 17 years old	F	Female	[2012]	2012	2012	1	PT	Percentage	G	Global			12.2								12.2				UNICEF and ILO calculations		CA: Country adjusted data
