goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_tier,indicator_custodians,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,age_code,age_desc,years,min_year,max_year,n_years,unitsCode,unitsDesc,reportingTypeCode,reportingTypeDesc,value_2006,value_2007,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,value_2018,value_2019,latest_value,basePeriod,valueDetails,footnotes,sources,timeDetails,nature
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",C160901,16.9.1,I,"UNSD, UNICEF","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",2020.Q1.G.01,"['civil registration', 'birth reporting', 'human rights']",SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),1,World,1,,,Region,,,,,,Y0T4,under 5 years old,[2019],2019,2019,1,PT,Percentage,G,Global,,,,,,,,,,,,,73.4,73.4,,,Based on 166 countries with a population coverage of 84 per cent,"DHS, MICS, other national surveys, censuses and vital registration systems",,E: Estimated data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",C160901,16.9.1,I,"UNSD, UNICEF","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",2020.Q1.G.01,"['civil registration', 'birth reporting', 'human rights']",SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),100,Bulgaria,4,151,Eastern Europe,Country,25.23763153,42.75731323,BGR,1,1,Y0,under 1 year old,[2012],2012,2012,1,PT,Percentage,G,Global,,,,,,100.0,,,,,,,,100.0,,,Births registered,Vital registration data,,C: Country data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",C160901,16.9.1,I,"UNSD, UNICEF","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",2020.Q1.G.01,"['civil registration', 'birth reporting', 'human rights']",SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),104,Myanmar,4,35,South-Eastern Asia,Country,96.51752295,21.19332882,MMR,1,1,Y0T4,under 5 years old,[2016],2016,2016,1,PT,Percentage,G,Global,,,,,,,,,,81.3,,,,81.3,,,,DHS,,C: Country data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",C160901,16.9.1,I,"UNSD, UNICEF","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",2020.Q1.G.01,"['civil registration', 'birth reporting', 'human rights']",SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),108,Burundi,5,14,Eastern Africa,Country,29.89080992,-3.366387428,BDI,1,1,Y0T4,under 5 years old,[2017],2017,2017,1,PT,Percentage,G,Global,,,,,,,,,,,83.5,,,83.5,,,,DHS,,C: Country data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",C160901,16.9.1,I,"UNSD, UNICEF","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",2020.Q1.G.01,"['civil registration', 'birth reporting', 'human rights']",SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),112,Belarus,4,151,Eastern Europe,Country,28.04940161,53.54193075,BLR,1,1,Y0,under 1 year old,[2012],2012,2012,1,PT,Percentage,G,Global,,,,,,100.0,,,,,,,,100.0,,,Births registered,Vital registration data,,C: Country data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",C160901,16.9.1,I,"UNSD, UNICEF","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",2020.Q1.G.01,"['civil registration', 'birth reporting', 'human rights']",SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),116,Cambodia,4,35,South-Eastern Asia,Country,104.922836,12.71163737,KHM,1,1,Y0T4,under 5 years old,[2014],2014,2014,1,PT,Percentage,G,Global,,,,,,,,73.3,,,,,,73.3,,,,DHS,,C: Country data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",C160901,16.9.1,I,"UNSD, UNICEF","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",2020.Q1.G.01,"['civil registration', 'birth reporting', 'human rights']",SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),12,Algeria,4,15,Northern Africa,Country,2.678164227,28.15940032,DZA,1,1,Y0T4,under 5 years old,[2013],2013,2013,1,PT,Percentage,G,Global,,,,,,,99.6,,,,,,,99.6,,,,MICS,,C: Country data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",C160901,16.9.1,I,"UNSD, UNICEF","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",2020.Q1.G.01,"['civil registration', 'birth reporting', 'human rights']",SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),120,Cameroon,5,17,Middle Africa,Country,12.7419827,5.692387031,CMR,1,1,Y0T4,under 5 years old,[2014],2014,2014,1,PT,Percentage,G,Global,,,,,,,,66.1,,,,,,66.1,,,,MICS,,C: Country data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",C160901,16.9.1,I,"UNSD, UNICEF","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",2020.Q1.G.01,"['civil registration', 'birth reporting', 'human rights']",SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),124,Canada,4,21,Northern America,Country,-101.6575058,57.72360191,CAN,1,1,Y0T4,under 5 years old,[2011],2011,2011,1,PT,Percentage,G,Global,,,,,100.0,,,,,,,,,100.0,,,Estimates of 100% are assumed given the completeness of the civil registration system and all vital events (including births) are registered,UNSD,,E: Estimated data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",C160901,16.9.1,I,"UNSD, UNICEF","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",2020.Q1.G.01,"['civil registration', 'birth reporting', 'human rights']",SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),132,Cabo Verde,5,11,Western Africa,Country,-23.63544151,15.07791834,CPV,1,1,Y0T4,under 5 years old,[2010],2010,2010,1,PT,Percentage,G,Global,,,,91.4,,,,,,,,,,91.4,,,,Census,,C: Country data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",C160901,16.9.1,I,"UNSD, UNICEF","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",2020.Q1.G.01,"['civil registration', 'birth reporting', 'human rights']",SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),140,Central African Republic,5,17,Middle Africa,Country,20.93559492,7.003720791,CAF,1,1,Y0T4,under 5 years old,[2010],2010,2010,1,PT,Percentage,G,Global,,,,61.0,,,,,,,,,,61.0,,,,MICS,,C: Country data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",C160901,16.9.1,I,"UNSD, UNICEF","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",2020.Q1.G.01,"['civil registration', 'birth reporting', 'human rights']",SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),143,Central Asia,3,142,Asia,Region,,,,,,Y0T4,under 5 years old,[2019],2019,2019,1,PT,Percentage,G,Global,,,,,,,,,,,,,98.4,98.4,,,Based on 4 countries with a population coverage of 58 per cent,"DHS, MICS, other national surveys, censuses and vital registration systems",,E: Estimated data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",C160901,16.9.1,I,"UNSD, UNICEF","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",2020.Q1.G.01,"['civil registration', 'birth reporting', 'human rights']",SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),144,Sri Lanka,4,34,Southern Asia,Country,80.70489654,7.614693343,LKA,1,1,Y0T4,under 5 years old,[2007],2007,2007,1,PT,Percentage,G,Global,,97.2,,,,,,,,,,,,97.2,,,Not included in aggregates as falls outside year range,DHS,,C: Country data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",C160901,16.9.1,I,"UNSD, UNICEF","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",2020.Q1.G.01,"['civil registration', 'birth reporting', 'human rights']",SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),145,Western Asia,3,142,Asia,Region,,,,,,Y0T4,under 5 years old,[2019],2019,2019,1,PT,Percentage,G,Global,,,,,,,,,,,,,85.1,85.1,,,Based on 13 countries with a population coverage of 76 per cent,"DHS, MICS, other national surveys, censuses and vital registration systems",,E: Estimated data
