goal_code	goal_labelEN	goal_descEN	target_code	target_descEN	indicator_code	indicator_reference	indicator_tier	indicator_custodians	indicator_descEN	series_release	series_tags	series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	age_code	age_desc	sex_code	sex_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.7	By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes	C030702	3.7.2	I	DESA Population Division	Adolescent birth rate (aged 10–14 years; aged 15–19 years) per 1,000 women in that age group	2020.Q1.G.01	['health', 'reproductive health', 'sex education', 'youth health', 'womens health', 'gender equality', 'women', 'youth', 'adolescents']	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	1	World	1			Region						Y15T19	15 to 19 years old	F	Female	[2000, 2005, 2010, 2015, 2018]	2000	2018	5	PER_1000_POP	Per 1,000 population	G	Global	56.0					50.6					47.5					45.2			43.9	43.9				United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision, Special aggregates: https://esa.un.org/unpd/wpp/Download/SpecialAggregates/UNrelated/		E: Estimated data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.7	By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes	C030702	3.7.2	I	DESA Population Division	Adolescent birth rate (aged 10–14 years; aged 15–19 years) per 1,000 women in that age group	2020.Q1.G.01	['health', 'reproductive health', 'sex education', 'youth health', 'womens health', 'gender equality', 'women', 'youth', 'adolescents']	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	Y15T19	15 to 19 years old	F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17	PER_1000_POP	Per 1,000 population	G	Global	45.6	42.8	40.9	39.8	41.1	39.3	41.2	42.1	44.2	47.5	42.0	41.7	42.5	42.0	41.3	39.4	38.2			38.2				United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision, Special aggregates: https://esa.un.org/unpd/wpp/Download/SpecialAggregates/UNrelated/		C: Country data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.7	By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes	C030702	3.7.2	I	DESA Population Division	Adolescent birth rate (aged 10–14 years; aged 15–19 years) per 1,000 women in that age group	2020.Q1.G.01	['health', 'reproductive health', 'sex education', 'youth health', 'womens health', 'gender equality', 'women', 'youth', 'adolescents']	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	Y15T19	15 to 19 years old	F	Female	[2000, 2001, 2005, 2006, 2007, 2013, 2014]	2000	2014	7	PER_1000_POP	Per 1,000 population	G	Global	22.7	17.4				18.5	16.9	16.7						33.0	36.0					36.0				United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision, Special aggregates: https://esa.un.org/unpd/wpp/Download/SpecialAggregates/UNrelated/		C: Country data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.7	By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes	C030702	3.7.2	I	DESA Population Division	Adolescent birth rate (aged 10–14 years; aged 15–19 years) per 1,000 women in that age group	2020.Q1.G.01	['health', 'reproductive health', 'sex education', 'youth health', 'womens health', 'gender equality', 'women', 'youth', 'adolescents']	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	Y15T19	15 to 19 years old	F	Female	[2001, 2005, 2008, 2009, 2011, 2015]	2001	2015	6	PER_1000_POP	Per 1,000 population	G	Global		30.0				73.5			50.4	65.2		84.5				58.2				58.2				United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision, Special aggregates: https://esa.un.org/unpd/wpp/Download/SpecialAggregates/UNrelated/		C: Country data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.7	By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes	C030702	3.7.2	I	DESA Population Division	Adolescent birth rate (aged 10–14 years; aged 15–19 years) per 1,000 women in that age group	2020.Q1.G.01	['health', 'reproductive health', 'sex education', 'youth health', 'womens health', 'gender equality', 'women', 'youth', 'adolescents']	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	Y15T19	15 to 19 years old	F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17	PER_1000_POP	Per 1,000 population	G	Global	27.0	25.8	24.0	23.8	22.6	21.7	22.5	22.1	22.3	22.4	20.7	20.9	22.4	22.1	20.5	18.1	16.0			16.0				United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision, Special aggregates: https://esa.un.org/unpd/wpp/Download/SpecialAggregates/UNrelated/		C: Country data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.7	By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes	C030702	3.7.2	I	DESA Population Division	Adolescent birth rate (aged 10–14 years; aged 15–19 years) per 1,000 women in that age group	2020.Q1.G.01	['health', 'reproductive health', 'sex education', 'youth health', 'womens health', 'gender equality', 'women', 'youth', 'adolescents']	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	Y15T19	15 to 19 years old	F	Female	[2003, 2004, 2008, 2009, 2012, 2013]	2003	2013	6	PER_1000_POP	Per 1,000 population	G	Global				52.0	47.3				48.0	46.1			30.0	57.4						57.4				United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision, Special aggregates: https://esa.un.org/unpd/wpp/Download/SpecialAggregates/UNrelated/		C: Country data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.7	By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes	C030702	3.7.2	I	DESA Population Division	Adolescent birth rate (aged 10–14 years; aged 15–19 years) per 1,000 women in that age group	2020.Q1.G.01	['health', 'reproductive health', 'sex education', 'youth health', 'womens health', 'gender equality', 'women', 'youth', 'adolescents']	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1	Y15T19	15 to 19 years old	F	Female	[2000, 2001, 2005, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2015]	2000	2015	11	PER_1000_POP	Per 1,000 population	G	Global	6.0	4.8				4.4		9.0	8.8	9.6	10.2	10.7	11.8	12.4		9.7				9.7				United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision, Special aggregates: https://esa.un.org/unpd/wpp/Download/SpecialAggregates/UNrelated/		[2000-2001,2005,2007-2013]: C: Country data // [2015]: E: Estimated data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.7	By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes	C030702	3.7.2	I	DESA Population Division	Adolescent birth rate (aged 10–14 years; aged 15–19 years) per 1,000 women in that age group	2020.Q1.G.01	['health', 'reproductive health', 'sex education', 'youth health', 'womens health', 'gender equality', 'women', 'youth', 'adolescents']	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	Y15T19	15 to 19 years old	F	Female	[2000, 2001, 2002, 2005, 2008, 2009, 2013, 2014]	2000	2014	8	PER_1000_POP	Per 1,000 population	G	Global	136.4	141.0	137.6			150.1			128.0	126.7				118.6	119.0					119.0				United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision, Special aggregates: https://esa.un.org/unpd/wpp/Download/SpecialAggregates/UNrelated/		C: Country data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.7	By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes	C030702	3.7.2	I	DESA Population Division	Adolescent birth rate (aged 10–14 years; aged 15–19 years) per 1,000 women in that age group	2020.Q1.G.01	['health', 'reproductive health', 'sex education', 'youth health', 'womens health', 'gender equality', 'women', 'youth', 'adolescents']	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1	Y15T19	15 to 19 years old	F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2015, 2016]	2000	2016	16	PER_1000_POP	Per 1,000 population	G	Global	17.3	16.3	15.0	14.5	13.7	13.4	13.7	14.0	14.3	14.2	13.5	12.6	12.0	11.1		9.4	8.4			8.4				United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision, Special aggregates: https://esa.un.org/unpd/wpp/Download/SpecialAggregates/UNrelated/		C: Country data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.7	By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes	C030702	3.7.2	I	DESA Population Division	Adolescent birth rate (aged 10–14 years; aged 15–19 years) per 1,000 women in that age group	2020.Q1.G.01	['health', 'reproductive health', 'sex education', 'youth health', 'womens health', 'gender equality', 'women', 'youth', 'adolescents']	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1	Y15T19	15 to 19 years old	F	Female	[2000, 2003, 2004, 2009, 2010]	2000	2010	5	PER_1000_POP	Per 1,000 population	G	Global	92.0			92.0	90.0					62.4	80.0									80.0				United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision, Special aggregates: https://esa.un.org/unpd/wpp/Download/SpecialAggregates/UNrelated/		C: Country data
