goal_code	goal_labelEN	goal_descEN	target_code	target_descEN	indicator_code	indicator_reference	indicator_tier	indicator_custodians	indicator_descEN	series_release	series_tags	series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	sex_code	sex_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	value_2019	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
4	Goal 4	Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	4.2	By 2030, ensure that all girls and boys have access to quality early childhood development, care and pre-primary education so that they are ready for primary education	C040202	4.2.2	I	UNESCO-UIS	Participation rate in organized learning (one year before the official primary entry age), by sex	2020.Q1.G.01	['education', 'preschool education']	SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age), by sex (%)	1	World	1			Region						_T	Both sexes	[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2007	2018	12	PT	Percentage	G	Global								59.7839674514219	60.2056133666255	60.8773139000841	61.9157828338914	63.2452173943038	64.6298257427907	65.4610794235932	66.3533297099764	66.8535838544853	66.7663875819083	66.7655486689814	67.169752263238		67.169752263238				UIS		E: Estimated data
4	Goal 4	Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	4.2	By 2030, ensure that all girls and boys have access to quality early childhood development, care and pre-primary education so that they are ready for primary education	C040202	4.2.2	I	UNESCO-UIS	Participation rate in organized learning (one year before the official primary entry age), by sex	2020.Q1.G.01	['education', 'preschool education']	SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age), by sex (%)	1	World	1			Region						M	Male	[2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2008	2018	11	PT	Percentage	G	Global									60.4098396429109	61.0655930195522	62.1110001574738	63.5203870479019	64.854771310396	65.6848066123305	66.7037814126009	67.1996620161749	66.8911211820809	66.9074310397843	67.3057000398597		67.3057000398597				UIS		E: Estimated data
4	Goal 4	Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	4.2	By 2030, ensure that all girls and boys have access to quality early childhood development, care and pre-primary education so that they are ready for primary education	C040202	4.2.2	I	UNESCO-UIS	Participation rate in organized learning (one year before the official primary entry age), by sex	2020.Q1.G.01	['education', 'preschool education']	SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age), by sex (%)	1	World	1			Region						F	Female	[2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2008	2018	11	PT	Percentage	G	Global									59.9793283556726	60.6693115062731	61.7019917198095	62.9447407380888	64.382033195892	65.2109626357656	65.9621815067627	66.4730594968876	66.6260978096201	66.6067273166622	67.0235221983093		67.0235221983093				UIS		E: Estimated data
4	Goal 4	Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	4.2	By 2030, ensure that all girls and boys have access to quality early childhood development, care and pre-primary education so that they are ready for primary education	C040202	4.2.2	I	UNESCO-UIS	Participation rate in organized learning (one year before the official primary entry age), by sex	2020.Q1.G.01	['education', 'preschool education']	SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age), by sex (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	_T	Both sexes	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	81.90853	81.87416	81.42976	89.88299	89.6029	96.08331	99.69483	99.89886	98.73904	95.25041	93.18282	93.32908	91.14361	89.46914	89.13225	88.33949	90.55309	84.01939			84.01939				UIS		C: Country data
4	Goal 4	Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	4.2	By 2030, ensure that all girls and boys have access to quality early childhood development, care and pre-primary education so that they are ready for primary education	C040202	4.2.2	I	UNESCO-UIS	Participation rate in organized learning (one year before the official primary entry age), by sex	2020.Q1.G.01	['education', 'preschool education']	SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age), by sex (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	M	Male	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	82.33027	81.36267	81.27179	90.31572	90.46674	96.03851	99.40564	99.80312	99.0758	95.76761	93.17144	93.08115	91.01554	89.47093	89.53984	88.70671	90.22791	84.54216			84.54216				UIS		C: Country data
4	Goal 4	Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	4.2	By 2030, ensure that all girls and boys have access to quality early childhood development, care and pre-primary education so that they are ready for primary education	C040202	4.2.2	I	UNESCO-UIS	Participation rate in organized learning (one year before the official primary entry age), by sex	2020.Q1.G.01	['education', 'preschool education']	SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age), by sex (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	PT	Percentage	G	Global	81.46386	82.41534	81.59705	89.42507	88.6901	96.13058	100.0	100.0	98.38269	94.7021	93.19488	93.59215	91.27946	89.46723	88.70109	87.95154	90.89631	83.46773			83.46773				UIS		C: Country data
4	Goal 4	Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	4.2	By 2030, ensure that all girls and boys have access to quality early childhood development, care and pre-primary education so that they are ready for primary education	C040202	4.2.2	I	UNESCO-UIS	Participation rate in organized learning (one year before the official primary entry age), by sex	2020.Q1.G.01	['education', 'preschool education']	SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age), by sex (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	M	Male	[2010, 2017, 2018]	2010	2018	3	PT	Percentage	G	Global											19.19725							41.62422	43.69724		43.69724				UIS		C: Country data
4	Goal 4	Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	4.2	By 2030, ensure that all girls and boys have access to quality early childhood development, care and pre-primary education so that they are ready for primary education	C040202	4.2.2	I	UNESCO-UIS	Participation rate in organized learning (one year before the official primary entry age), by sex	2020.Q1.G.01	['education', 'preschool education']	SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age), by sex (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	_T	Both sexes	[2010, 2017, 2018]	2010	2018	3	PT	Percentage	G	Global											19.37421							41.89769	44.55618		44.55618				UIS		C: Country data
4	Goal 4	Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	4.2	By 2030, ensure that all girls and boys have access to quality early childhood development, care and pre-primary education so that they are ready for primary education	C040202	4.2.2	I	UNESCO-UIS	Participation rate in organized learning (one year before the official primary entry age), by sex	2020.Q1.G.01	['education', 'preschool education']	SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age), by sex (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	F	Female	[2010, 2017, 2018]	2010	2018	3	PT	Percentage	G	Global											19.55241							42.17431	45.42622		45.42622				UIS		C: Country data
4	Goal 4	Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	4.2	By 2030, ensure that all girls and boys have access to quality early childhood development, care and pre-primary education so that they are ready for primary education	C040202	4.2.2	I	UNESCO-UIS	Participation rate in organized learning (one year before the official primary entry age), by sex	2020.Q1.G.01	['education', 'preschool education']	SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age), by sex (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	M	Male	[2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2004	2018	15	PT	Percentage	G	Global					91.05567	94.40269	98.79899	99.60762	96.8745	96.25726	94.15006	93.58053	96.86135	100.0	100.0	100.0	100.0	97.7097	99.52753		99.52753				UIS		[2004-2008,2012-2018]: C: Country data // [2009-2011]: E: Estimated data
