goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_tier,indicator_custodians,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,age_code,age_desc,sex_code,sex_desc,years,min_year,max_year,n_years,unitsCode,unitsDesc,reportingTypeCode,reportingTypeDesc,value_2004,value_2006,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,value_2018,value_2019,latest_value,basePeriod,valueDetails,footnotes,sources,timeDetails,nature
5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050302,5.3.2,I,UNICEF,"Proportion of girls and women aged 15–49 years who have undergone female genital mutilation/cutting, by age",2020.Q1.G.01,"['harmful traditional practices', 'advancement of women', 'gender equality', 'female circumcision', 'women', 'girls']",SH_STA_FGMS,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)",120,Cameroon,5,17,Middle Africa,Country,12.7419827,5.692387031,CMR,1,1,Y15T49,15 to 49 years old,F,Female,[2004],2004,2004,1,PT,Percentage,G,Global,1.4,,,,,,,,,,,,,1.4,,,,DHS,,C: Country data
5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050302,5.3.2,I,UNICEF,"Proportion of girls and women aged 15–49 years who have undergone female genital mutilation/cutting, by age",2020.Q1.G.01,"['harmful traditional practices', 'advancement of women', 'gender equality', 'female circumcision', 'women', 'girls']",SH_STA_FGMS,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)",140,Central African Republic,5,17,Middle Africa,Country,20.93559492,7.003720791,CAF,1,1,Y15T49,15 to 49 years old,F,Female,[2010],2010,2010,1,PT,Percentage,G,Global,,,,24.2,,,,,,,,,,24.2,,,,MICS,,C: Country data
5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050302,5.3.2,I,UNICEF,"Proportion of girls and women aged 15–49 years who have undergone female genital mutilation/cutting, by age",2020.Q1.G.01,"['harmful traditional practices', 'advancement of women', 'gender equality', 'female circumcision', 'women', 'girls']",SH_STA_FGMS,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)",148,Chad,5,17,Middle Africa,Country,18.66618401,15.36279341,TCD,1,1,Y15T49,15 to 49 years old,F,Female,[2015],2015,2015,1,PT,Percentage,G,Global,,,,,,,,,38.4,,,,,38.4,,,,DHS,,C: Country data
5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050302,5.3.2,I,UNICEF,"Proportion of girls and women aged 15–49 years who have undergone female genital mutilation/cutting, by age",2020.Q1.G.01,"['harmful traditional practices', 'advancement of women', 'gender equality', 'female circumcision', 'women', 'girls']",SH_STA_FGMS,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)",15,Northern Africa,3,2,Africa,Region,,,,,,Y15T19,15 to 19 years old,F,Female,"[2004, 2009, 2014, 2019]",2004,2019,4,PT,Percentage,G,Global,91.4,,88.7,,,,,82.9,,,,,73.9,73.9,,,Based on 2 countries covering 65 per cent of the regional population of adolescent girls aged 15 to 19 years,"DHS, MICS and other national surveys",,E: Estimated data
5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050302,5.3.2,I,UNICEF,"Proportion of girls and women aged 15–49 years who have undergone female genital mutilation/cutting, by age",2020.Q1.G.01,"['harmful traditional practices', 'advancement of women', 'gender equality', 'female circumcision', 'women', 'girls']",SH_STA_FGMS,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)",202,Sub-Saharan Africa,3,2,Africa,Region,,,,,,Y15T19,15 to 19 years old,F,Female,"[2004, 2009, 2014, 2019]",2004,2019,4,PT,Percentage,G,Global,34.5,,32.3,,,,,29.5,,,,,24.9,24.9,,,Based on 25 countries covering 69 per cent of the regional population of adolescent girls aged 15 to 19 years,"DHS, MICS and other national surveys",,E: Estimated data
5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050302,5.3.2,I,UNICEF,"Proportion of girls and women aged 15–49 years who have undergone female genital mutilation/cutting, by age",2020.Q1.G.01,"['harmful traditional practices', 'advancement of women', 'gender equality', 'female circumcision', 'women', 'girls']",SH_STA_FGMS,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)",204,Benin,5,11,Western Africa,Country,2.339933594,9.65401646,BEN,1,1,Y15T49,15 to 49 years old,F,Female,[2014],2014,2014,1,PT,Percentage,G,Global,,,,,,,,9.2,,,,,,9.2,,,,MICS,,C: Country data
5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050302,5.3.2,I,UNICEF,"Proportion of girls and women aged 15–49 years who have undergone female genital mutilation/cutting, by age",2020.Q1.G.01,"['harmful traditional practices', 'advancement of women', 'gender equality', 'female circumcision', 'women', 'girls']",SH_STA_FGMS,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)",231,Ethiopia,5,14,Eastern Africa,Country,39.63505296,8.631223181,ETH,1,1,Y15T49,15 to 49 years old,F,Female,[2016],2016,2016,1,PT,Percentage,G,Global,,,,,,,,,,65.2,,,,65.2,,,,DHS,,C: Country data
5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050302,5.3.2,I,UNICEF,"Proportion of girls and women aged 15–49 years who have undergone female genital mutilation/cutting, by age",2020.Q1.G.01,"['harmful traditional practices', 'advancement of women', 'gender equality', 'female circumcision', 'women', 'girls']",SH_STA_FGMS,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)",232,Eritrea,5,14,Eastern Africa,Country,38.11074289,16.12894644,ERI,1,1,Y15T49,15 to 49 years old,F,Female,[2010],2010,2010,1,PT,Percentage,G,Global,,,,83.0,,,,,,,,,,83.0,,,,Population and Health Survey,,C: Country data
5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050302,5.3.2,I,UNICEF,"Proportion of girls and women aged 15–49 years who have undergone female genital mutilation/cutting, by age",2020.Q1.G.01,"['harmful traditional practices', 'advancement of women', 'gender equality', 'female circumcision', 'women', 'girls']",SH_STA_FGMS,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)",262,Djibouti,5,14,Eastern Africa,Country,42.18274707,11.56004161,DJI,1,1,Y15T49,15 to 49 years old,F,Female,[2012],2012,2012,1,PT,Percentage,G,Global,,,,,,94.4,,,,,,,,94.4,,,,PAPFAM,,C: Country data
5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050302,5.3.2,I,UNICEF,"Proportion of girls and women aged 15–49 years who have undergone female genital mutilation/cutting, by age",2020.Q1.G.01,"['harmful traditional practices', 'advancement of women', 'gender equality', 'female circumcision', 'women', 'girls']",SH_STA_FGMS,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)",270,Gambia,5,11,Western Africa,Country,-15.39944785,13.45295927,GMB,1,1,Y15T49,15 to 49 years old,F,Female,[2018],2018,2018,1,PT,Percentage,G,Global,,,,,,,,,,,,75.7,,75.7,,,,MICS,,C: Country data
5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050302,5.3.2,I,UNICEF,"Proportion of girls and women aged 15–49 years who have undergone female genital mutilation/cutting, by age",2020.Q1.G.01,"['harmful traditional practices', 'advancement of women', 'gender equality', 'female circumcision', 'women', 'girls']",SH_STA_FGMS,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)",288,Ghana,5,11,Western Africa,Country,-1.205623522,7.964825185,GHA,1,1,Y15T49,15 to 49 years old,F,Female,[2011],2011,2011,1,PT,Percentage,G,Global,,,,,3.8,,,,,,,,,3.8,,,,MICS,,C: Country data
5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050302,5.3.2,I,UNICEF,"Proportion of girls and women aged 15–49 years who have undergone female genital mutilation/cutting, by age",2020.Q1.G.01,"['harmful traditional practices', 'advancement of women', 'gender equality', 'female circumcision', 'women', 'girls']",SH_STA_FGMS,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)",324,Guinea,5,11,Western Africa,Country,-11.28173419,11.00210343,GIN,1,1,Y15T49,15 to 49 years old,F,Female,[2018],2018,2018,1,PT,Percentage,G,Global,,,,,,,,,,,,94.5,,94.5,,,,DHS,,C: Country data
5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050302,5.3.2,I,UNICEF,"Proportion of girls and women aged 15–49 years who have undergone female genital mutilation/cutting, by age",2020.Q1.G.01,"['harmful traditional practices', 'advancement of women', 'gender equality', 'female circumcision', 'women', 'girls']",SH_STA_FGMS,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)",368,Iraq,4,145,Western Asia,Country,43.76606267,33.05013795,IRQ,1,1,Y15T49,15 to 49 years old,F,Female,[2018],2018,2018,1,PT,Percentage,G,Global,,,,,,,,,,,,7.4,,7.4,,,,MICS,,C: Country data
5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050302,5.3.2,I,UNICEF,"Proportion of girls and women aged 15–49 years who have undergone female genital mutilation/cutting, by age",2020.Q1.G.01,"['harmful traditional practices', 'advancement of women', 'gender equality', 'female circumcision', 'women', 'girls']",SH_STA_FGMS,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)",384,Côte d'Ivoire,5,11,Western Africa,Country,-5.552690016,7.62211586,CIV,1,1,Y15T49,15 to 49 years old,F,Female,[2016],2016,2016,1,PT,Percentage,G,Global,,,,,,,,,,36.7,,,,36.7,,,,MICS,,C: Country data
5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050302,5.3.2,I,UNICEF,"Proportion of girls and women aged 15–49 years who have undergone female genital mutilation/cutting, by age",2020.Q1.G.01,"['harmful traditional practices', 'advancement of women', 'gender equality', 'female circumcision', 'women', 'girls']",SH_STA_FGMS,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)",404,Kenya,5,14,Eastern Africa,Country,37.86096816,0.534797278,KEN,1,1,Y15T49,15 to 49 years old,F,Female,[2014],2014,2014,1,PT,Percentage,G,Global,,,,,,,,21.0,,,,,,21.0,,,,DHS,,C: Country data
5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050302,5.3.2,I,UNICEF,"Proportion of girls and women aged 15–49 years who have undergone female genital mutilation/cutting, by age",2020.Q1.G.01,"['harmful traditional practices', 'advancement of women', 'gender equality', 'female circumcision', 'women', 'girls']",SH_STA_FGMS,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)",430,Liberia,5,11,Western Africa,Country,-9.311879038,6.448381009,LBR,1,1,Y15T49,15 to 49 years old,F,Female,[2013],2013,2013,1,PT,Percentage,G,Global,,,,,,,44.4,,,,,,,44.4,,,,DHS,,C: Country data
5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050302,5.3.2,I,UNICEF,"Proportion of girls and women aged 15–49 years who have undergone female genital mutilation/cutting, by age",2020.Q1.G.01,"['harmful traditional practices', 'advancement of women', 'gender equality', 'female circumcision', 'women', 'girls']",SH_STA_FGMS,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)",432,Landlocked developing countries (LLDCs),1,,,Group,,,,,,Y15T19,15 to 19 years old,F,Female,"[2004, 2009, 2014, 2019]",2004,2019,4,PT,Percentage,G,Global,50.1,,46.9,,,,,44.0,,,,,38.3,38.3,,,Based on 7 countries covering 50 per cent of the regional population of adolescent girls aged 15 to 19 years,"DHS, MICS and other national surveys",,E: Estimated data
