series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	typeOfSkill_code	typeOfSkill_desc	years	min_year	max_year	n_years
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	SKILL_ICTTRFF	Transferring files between a computer and other devices	[2016]	2016	2016	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	SKILL_ICTSFWR	Finding, downloading, installing and configuring software	[2016]	2016	2016	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	SKILL_ICTPRGM	Writing a computer program using a specialized programming language	[2016]	2016	2016	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	SKILL_ICTPST	Creating electronic presentations with presentation software	[2016]	2016	2016	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	SKILL_ICTCPT	Using copy and paste tools to duplicate or move information within a document	[2016]	2016	2016	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	SKILL_ICTCMFL	Copying or moving a file or folder	[2016]	2016	2016	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	SKILL_ICTSSHT	Using basic arithmetic formula in a spreadsheet	[2016]	2016	2016	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	191	Croatia	4	39	Southern Europe	Country	17.95874553	45.45172212	HRV	1	1	SKILL_ICTSSHT	Using basic arithmetic formula in a spreadsheet	[2016]	2016	2016	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	191	Croatia	4	39	Southern Europe	Country	17.95874553	45.45172212	HRV	1	1	SKILL_ICTSFWR	Finding, downloading, installing and configuring software	[2016]	2016	2016	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	191	Croatia	4	39	Southern Europe	Country	17.95874553	45.45172212	HRV	1	1	SKILL_ICTTRFF	Transferring files between a computer and other devices	[2016]	2016	2016	1
