series	seriesDescription	geoAreaCode	geoAreaName	value	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	nature_code	nature_desc	units_code	units_desc	sex_code	sex_desc	reportingType_code	reportingType_desc	activity_code	activity_desc	timePeriod	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
SL_ISV_IFRM	Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)	1	World	61.1614						ILO estimates based on processing of country microdata sets			E	Estimated data	PT	Percentage	_T	Both sexes	G	Global	_T	No breakdown	2016				1			Region					
SL_ISV_IFRM	Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)	1	World	63.037						ILO estimates based on processing of country microdata sets			E	Estimated data	PT	Percentage	M	Male	G	Global	_T	No breakdown	2016				1			Region					
SL_ISV_IFRM	Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)	1	World	46.3522						ILO estimates based on processing of country microdata sets			E	Estimated data	PT	Percentage	F	Female	G	Global	NONAGR	Non-agriculture	2016				1			Region					
SL_ISV_IFRM	Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)	1	World	93.2157						ILO estimates based on processing of country microdata sets			E	Estimated data	PT	Percentage	M	Male	G	Global	ISIC4_A_011_012_013	Agriculture	2016				1			Region					
SL_ISV_IFRM	Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)	1	World	50.5316						ILO estimates based on processing of country microdata sets			E	Estimated data	PT	Percentage	_T	Both sexes	G	Global	NONAGR	Non-agriculture	2016				1			Region					
SL_ISV_IFRM	Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)	1	World	94.5476						ILO estimates based on processing of country microdata sets			E	Estimated data	PT	Percentage	F	Female	G	Global	ISIC4_A_011_012_013	Agriculture	2016				1			Region					
SL_ISV_IFRM	Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)	1	World	53.1299						ILO estimates based on processing of country microdata sets			E	Estimated data	PT	Percentage	M	Male	G	Global	NONAGR	Non-agriculture	2016				1			Region					
SL_ISV_IFRM	Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)	1	World	93.6033						ILO estimates based on processing of country microdata sets			E	Estimated data	PT	Percentage	_T	Both sexes	G	Global	ISIC4_A_011_012_013	Agriculture	2016				1			Region					
SL_ISV_IFRM	Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)	1	World	58.1193						ILO estimates based on processing of country microdata sets			E	Estimated data	PT	Percentage	F	Female	G	Global	_T	No breakdown	2016				1			Region					
SL_ISV_IFRM	Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)	104	Myanmar	82.56329						LFS - Labour force survey		Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised	C	Country data	PT	Percentage	_T	Both sexes	G	Global	_T	No breakdown	2015				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
SL_ISV_IFRM	Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)	104	Myanmar	80.73458						LFS - Labour force survey		Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised	C	Country data	PT	Percentage	_T	Both sexes	G	Global	NONAGR	Non-agriculture	2015				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
SL_ISV_IFRM	Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)	104	Myanmar	84.28724						LFS - Labour force survey		Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised	C	Country data	PT	Percentage	_T	Both sexes	G	Global	ISIC4_A_011_012_013	Agriculture	2015				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
SL_ISV_IFRM	Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)	104	Myanmar	81.72524						LFS - Labour force survey		Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised	C	Country data	PT	Percentage	M	Male	G	Global	_T	No breakdown	2015				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
SL_ISV_IFRM	Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)	104	Myanmar	81.30795						LFS - Labour force survey		Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised	C	Country data	PT	Percentage	M	Male	G	Global	NONAGR	Non-agriculture	2015				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
SL_ISV_IFRM	Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)	104	Myanmar	82.10102						LFS - Labour force survey		Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised	C	Country data	PT	Percentage	M	Male	G	Global	ISIC4_A_011_012_013	Agriculture	2015				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
SL_ISV_IFRM	Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)	104	Myanmar	83.66803						LFS - Labour force survey		Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised	C	Country data	PT	Percentage	F	Female	G	Global	_T	No breakdown	2015				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
SL_ISV_IFRM	Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%)	104	Myanmar	80.01878						LFS - Labour force survey		Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised	C	Country data	PT	Percentage	F	Female	G	Global	NONAGR	Non-agriculture	2015				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
