series	seriesDescription	geoAreaCode	geoAreaName	value	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	nature_code	nature_desc	units_code	units_desc	age_code	age_desc	sex_code	sex_desc	reportingType_code	reportingType_desc	timePeriod	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
SH_FPL_INFM	Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)	1	World	55.0						UNFPA Global Database, 2020.		57 countries, 13 per cent population coverage	G	Global monitoring data	PT	Percentage	Y15T49	15 to 49 years old	F	Female	G	Global	2020				1			Region					
SH_FPL_INFM	Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)	104	Myanmar	67.5						DHS 2015-2016. UNFPA Global Database, 2020.		Based on women aged 15-49 years married or in union who are currently using any contraceptives.	C	Country data	PT	Percentage	Y15T49	15 to 49 years old	F	Female	G	Global	2016				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
SH_FPL_INFM	Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)	108	Burundi	49.0						DHS 2010. UNFPA Global Database, 2020.		Based on women aged 15-49 years married or in union who are currently using any contraceptives.	C	Country data	PT	Percentage	Y15T49	15 to 49 years old	F	Female	G	Global	2010				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
SH_FPL_INFM	Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)	108	Burundi	44.0						DHS 2016-2017. UNFPA Global Database, 2020.		Based on women aged 15-49 years married or in union who are currently using any contraceptives.	C	Country data	PT	Percentage	Y15T49	15 to 49 years old	F	Female	G	Global	2017				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
SH_FPL_INFM	Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)	11	Western Africa	37.6						UNFPA Global Database, 2020.		13 countries, 99 per cent population coverage	G	Global monitoring data	PT	Percentage	Y15T49	15 to 49 years old	F	Female	G	Global	2020				4	202	Sub-Saharan Africa	Region					
SH_FPL_INFM	Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)	116	Cambodia	74.6						DHS 2010. UNFPA Global Database, 2020.		Based on women aged 15-49 years married or in union who are currently using any contraceptives.	C	Country data	PT	Percentage	Y15T49	15 to 49 years old	F	Female	G	Global	2010				4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1
SH_FPL_INFM	Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)	116	Cambodia	75.6						DHS 2014. UNFPA Global Database, 2020.		Based on women aged 15-49 years married or in union who are currently using any contraceptives.	C	Country data	PT	Percentage	Y15T49	15 to 49 years old	F	Female	G	Global	2014				4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1
SH_FPL_INFM	Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)	120	Cameroon	38.1						DHS 2011. UNFPA Global Database, 2020.		Based on women aged 15-49 years married or in union who are currently using any contraceptives.	C	Country data	PT	Percentage	Y15T49	15 to 49 years old	F	Female	G	Global	2011				5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1
SH_FPL_INFM	Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)	14	Eastern Africa	53.2						UNFPA Global Database, 2020.		12 countries, 97 per cent population coverage	G	Global monitoring data	PT	Percentage	Y15T49	15 to 49 years old	F	Female	G	Global	2020				4	202	Sub-Saharan Africa	Region					
SH_FPL_INFM	Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)	143	Central Asia	52.9						UNFPA Global Database, 2020.		2 countries, 13 per cent population coverage	G	Global monitoring data	PT	Percentage	Y15T49	15 to 49 years old	F	Female	G	Global	2020				3	142	Asia	Region					
SH_FPL_INFM	Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)	145	Western Asia	62.1						UNFPA Global Database, 2020.		2 countries, 5 per cent population coverage	G	Global monitoring data	PT	Percentage	Y15T49	15 to 49 years old	F	Female	G	Global	2020				3	142	Asia	Region					
SH_FPL_INFM	Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)	148	Chad	27.1						DHS 2014-2015. UNFPA Global Database, 2020.		Based on women aged 15-49 years married or in union who are currently using any contraceptives.	C	Country data	PT	Percentage	Y15T49	15 to 49 years old	F	Female	G	Global	2015				5	17	Middle Africa	Country	18.66618401	15.36279341	TCD	1	1
SH_FPL_INFM	Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)	150	Europe	80.5						UNFPA Global Database, 2020.		2 countries, 7 per cent population coverage	G	Global monitoring data	PT	Percentage	Y15T49	15 to 49 years old	F	Female	G	Global	2020				2	1	World	Region					
SH_FPL_INFM	Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)	17	Middle Africa	36.1						UNFPA Global Database, 2020.		7 countries, 96 per cent population coverage	G	Global monitoring data	PT	Percentage	Y15T49	15 to 49 years old	F	Female	G	Global	2020				4	202	Sub-Saharan Africa	Region					
SH_FPL_INFM	Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)	174	Comoros	20.8						DHS 2012. UNFPA Global Database, 2020.		Based on women aged 15-49 years married or in union who are currently using any contraceptives.	C	Country data	PT	Percentage	Y15T49	15 to 49 years old	F	Female	G	Global	2012				5	14	Eastern Africa	Country	43.34234565	-11.66121732	COM	1	1
