series	seriesDescription	geoAreaCode	geoAreaName	value	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	nature_code	nature_desc	units_code	units_desc	age_code	age_desc	reportingType_code	reportingType_desc	timePeriod	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
SG_REG_BRTH	Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age)	1	World	73.4						DHS, MICS, other national surveys, censuses and vital registration systems		Based on 166 countries with a population coverage of 84 per cent	E	Estimated data	PT	Percentage	Y0T4	under 5 years old	G	Global	2019				1			Region					
SG_REG_BRTH	Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age)	100	Bulgaria	100.0						Vital registration data		Births registered	C	Country data	PT	Percentage	Y0	under 1 year old	G	Global	2012				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
SG_REG_BRTH	Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age)	104	Myanmar	81.3						DHS			C	Country data	PT	Percentage	Y0T4	under 5 years old	G	Global	2016				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
SG_REG_BRTH	Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age)	108	Burundi	83.5						DHS			C	Country data	PT	Percentage	Y0T4	under 5 years old	G	Global	2017				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
SG_REG_BRTH	Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age)	112	Belarus	100.0						Vital registration data		Births registered	C	Country data	PT	Percentage	Y0	under 1 year old	G	Global	2012				4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1
SG_REG_BRTH	Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age)	116	Cambodia	73.3						DHS			C	Country data	PT	Percentage	Y0T4	under 5 years old	G	Global	2014				4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1
SG_REG_BRTH	Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age)	12	Algeria	99.6						MICS			C	Country data	PT	Percentage	Y0T4	under 5 years old	G	Global	2013				4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1
SG_REG_BRTH	Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age)	120	Cameroon	66.1						MICS			C	Country data	PT	Percentage	Y0T4	under 5 years old	G	Global	2014				5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1
SG_REG_BRTH	Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age)	124	Canada	100.0						UNSD		Estimates of 100% are assumed given the completeness of the civil registration system and all vital events (including births) are registered	E	Estimated data	PT	Percentage	Y0T4	under 5 years old	G	Global	2011				4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1
SG_REG_BRTH	Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age)	132	Cabo Verde	91.4						Census			C	Country data	PT	Percentage	Y0T4	under 5 years old	G	Global	2010				5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1
