series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	sex_code	sex_desc	year	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail
SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	F	Female	2018	26.0					Compiled by UNECE Statistical Division and UN Women	Administrative data based on most recent election results (2015).	C	Country data	PT	Percentage	G	Global			
SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	F	Female	2018						Compiled by UN Women in collaboration with ESCAP Statistics Division	Indicator not applicable / No elected deliberative bodies of local government.	C	Country data	PT	Percentage	G	Global	N		
SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	F	Female	2018	19.1					Compiled by UNECA African Centre for Statistics and UN Women	Administrative data based on most recent election results (2015) at commune and colline levels.	C	Country data	PT	Percentage	G	Global			
SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	F	Female	2018	48.2					Compiled by UNECE Statistical Division and UN Women	Administrative data based on most recent election results (2018).	C	Country data	PT	Percentage	G	Global			
SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	F	Female	2018	16.1					Compiled by UN Women in collaboration with ESCAP Statistics Division	Administrative data based on most recent election results (2014).	C	Country data	PT	Percentage	G	Global			
SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	F	Female	2018	25.3					Compiled by UNECA African Centre for Statistics and UN Women	Administrative data based on most recent election results (2013) at commune level only.	C	Country data	PT	Percentage	G	Global			
SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1	F	Female	2018	26.6					Compiled by UNECE Statistical Division and UN Women	Data based on most recent election results (2015) at municipal level obtained by NSO from Local Government Associations.	C	Country data	PT	Percentage	G	Global			
SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1	F	Female	2018	28.4					Compiled by UNECA African Centre for Statistics and UN Women	Administrative data based on most recent election results (2016).	C	Country data	PT	Percentage	G	Global			
SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1	F	Female	2018	24.9					Compiled by ECLAC Division for Gender Affairs and UN Women	Administrative data based on most recent election results at regional level (2017) and municipal level (2016).	C	Country data	PT	Percentage	G	Global			
SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	16	American Samoa	4	61	Polynesia	Country	-170.7187269	-14.30587306	ASM	0	1	F	Female	2018						Compiled by UN Women in collaboration with ESCAP Statistics Division	Indicator not applicable / No elected deliberative bodies of local government.	C	Country data	PT	Percentage	G	Global	N		
SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	170	Colombia	5	5	South America	Country	-73.07446751	3.888209046	COL	1	1	F	Female	2018	17.6					Compiled by ECLAC Division for Gender Affairs and UN Women	Administrative data based on most recent election results (2015).	C	Country data	PT	Percentage	G	Global			
SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	174	Comoros	5	14	Eastern Africa	Country	43.34234565	-11.66121732	COM	1	1	F	Female	2018	28.0					Compiled by UNECA African Centre for Statistics and UN Women	Administrative data based on most recent election results (2015).	C	Country data	PT	Percentage	G	Global			
SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	188	Costa Rica	5	13	Central America	Country	-84.19712782	9.970998683	CRI	1	1	F	Female	2018	45.6					Compiled by ECLAC Division for Gender Affairs and UN Women	Administrative data based on most recent election results (2016).	C	Country data	PT	Percentage	G	Global			
