series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	location_code	location_desc	year	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail
ER_H2O_PROCED	Proportion of countries with clearly defined procedures in law or policy for participation by service users/communities in planning program in rural drinking-water supply (%)	1	World	1			Region						R	Rural	2019	75.4386					Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E	Estimated data	PT	Percentage	G	Global			
ER_H2O_PROCED	Proportion of countries with clearly defined procedures in law or policy for participation by service users/communities in planning program in rural drinking-water supply (%)	143	Central Asia	3	142	Asia	Region						R	Rural	2019	33.33333					Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E	Estimated data	PT	Percentage	G	Global			
ER_H2O_PROCED	Proportion of countries with clearly defined procedures in law or policy for participation by service users/communities in planning program in rural drinking-water supply (%)	145	Western Asia	3	142	Asia	Region						R	Rural	2017	100.0					Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E	Estimated data	PT	Percentage	G	Global			
ER_H2O_PROCED	Proportion of countries with clearly defined procedures in law or policy for participation by service users/communities in planning program in rural drinking-water supply (%)	15	Northern Africa	3	2	Africa	Region						R	Rural	2014	100.0					Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E	Estimated data	PT	Percentage	G	Global			
ER_H2O_PROCED	Proportion of countries with clearly defined procedures in law or policy for participation by service users/communities in planning program in rural drinking-water supply (%)	150	Europe	2	1	World	Region						R	Rural	2017	100.0					Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E	Estimated data	PT	Percentage	G	Global			
ER_H2O_PROCED	Proportion of countries with clearly defined procedures in law or policy for participation by service users/communities in planning program in rural drinking-water supply (%)	199	Least Developed Countries (LDC)	1			Group						R	Rural	2019	77.5					Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E	Estimated data	PT	Percentage	G	Global			
ER_H2O_PROCED	Proportion of countries with clearly defined procedures in law or policy for participation by service users/communities in planning program in rural drinking-water supply (%)	202	Sub-Saharan Africa	3	2	Africa	Region						R	Rural	2019	75.0					Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E	Estimated data	PT	Percentage	G	Global			
ER_H2O_PROCED	Proportion of countries with clearly defined procedures in law or policy for participation by service users/communities in planning program in rural drinking-water supply (%)	30	Eastern Asia	3	142	Asia	Region						R	Rural	2019	100.0					Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E	Estimated data	PT	Percentage	G	Global			
ER_H2O_PROCED	Proportion of countries with clearly defined procedures in law or policy for participation by service users/communities in planning program in rural drinking-water supply (%)	34	Southern Asia	3	142	Asia	Region						R	Rural	2017	100.0					Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E	Estimated data	PT	Percentage	G	Global			
ER_H2O_PROCED	Proportion of countries with clearly defined procedures in law or policy for participation by service users/communities in planning program in rural drinking-water supply (%)	35	South-Eastern Asia	3	142	Asia	Region						R	Rural	2019	75.0					Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.		E	Estimated data	PT	Percentage	G	Global			
