series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	educationLevel_code	educationLevel_desc	typeOfSkill_code	typeOfSkill_desc	year	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail
SE_TOT_RUPI	Rural to urban parity index for achievement (ratio)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	ISCED11_1	Primary	SKILL_READ	Skill: Minimum proficiency in reading	2011	0.95098					PIRLS 2011		C	Country data	RO	Ratio	G	Global			
SE_TOT_RUPI	Rural to urban parity index for achievement (ratio)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	ISCED11_2	Lower secondary	SKILL_MATH	Skill: Minimum proficiency in mathematics	2015	0.31828					PISA 2015		C	Country data	RO	Ratio	G	Global			
SE_TOT_RUPI	Rural to urban parity index for achievement (ratio)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	ISCED11_2	Lower secondary	SKILL_READ	Skill: Minimum proficiency in reading	2015	0.21547					PISA 2015		C	Country data	RO	Ratio	G	Global			
SE_TOT_RUPI	Rural to urban parity index for achievement (ratio)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	ISCED11_1	Primary	SKILL_MATH	Skill: Minimum proficiency in mathematics	2015	0.96671					TIMSS 2015		C	Country data	RO	Ratio	G	Global			
SE_TOT_RUPI	Rural to urban parity index for achievement (ratio)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	ISCED11_1	Primary	SKILL_READ	Skill: Minimum proficiency in reading	2014	0.86135					PASEC 2014		C	Country data	RO	Ratio	G	Global			
SE_TOT_RUPI	Rural to urban parity index for achievement (ratio)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	ISCED11_1	Primary	SKILL_MATH	Skill: Minimum proficiency in mathematics	2014	1.02748					PASEC 2014		C	Country data	RO	Ratio	G	Global			
SE_TOT_RUPI	Rural to urban parity index for achievement (ratio)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	ISCED11A_0_G23	Grades 2/3	SKILL_MATH	Skill: Minimum proficiency in mathematics	2014	0.97994					PASEC 2014		C	Country data	RO	Ratio	G	Global			
SE_TOT_RUPI	Rural to urban parity index for achievement (ratio)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	ISCED11A_0_G23	Grades 2/3	SKILL_READ	Skill: Minimum proficiency in reading	2014	0.87217					PASEC 2014		C	Country data	RO	Ratio	G	Global			
SE_TOT_RUPI	Rural to urban parity index for achievement (ratio)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	ISCED11_2	Lower secondary	SKILL_READ	Skill: Minimum proficiency in reading	2017	0.90244					National Learning Assessment (NLA): Results of Grade 8 Student Achievement from the National Assessment in 2017; Grade 8 (-1); Minimum proficiency level: Level 3: Proficient; Reading (Khmer)		C	Country data	RO	Ratio	G	Global			
SE_TOT_RUPI	Rural to urban parity index for achievement (ratio)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	ISCED11_2	Lower secondary	SKILL_MATH	Skill: Minimum proficiency in mathematics	2017	0.68182					National Learning Assessment (NLA): Results of Grade 8 Student Achievement from the National Assessment in 2017; Grade 8 (-1); Minimum proficiency level: Level 3: Proficient		C	Country data	RO	Ratio	G	Global			
SE_TOT_RUPI	Rural to urban parity index for achievement (ratio)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1	ISCED11_2	Lower secondary	SKILL_MATH	Skill: Minimum proficiency in mathematics	2015	0.43265					PISA 2015		C	Country data	RO	Ratio	G	Global			
SE_TOT_RUPI	Rural to urban parity index for achievement (ratio)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1	ISCED11A_0_G23	Grades 2/3	SKILL_MATH	Skill: Minimum proficiency in mathematics	2007	0.94588					TIMSS 2007		C	Country data	RO	Ratio	G	Global			
